Date :,02/18/22 16:17:48,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,180,0,5400,,,,,,,,
tone 01, 0:04:50.000,25,8700,750,,,,,,,,
tone 02, 0:06:05.000,25,10950,750,,,,,,,,
tone 03, 0:08:10.000,25,14700,750,,,,,,,,
tone 04, 0:10:05.000,25,18150,750,,,,,,,,
tone 05, 0:11:20.000,25,20400,750,,,,,,,,
tone 06, 0:12:05.000,25,21750,750,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,pre-tone,0,0,0,0,240.1,0,1358
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 01,0,0,0,0,273.82,0,1052
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 02,2,4.567,0.49,18.27,96.57,0,588
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 03,3,5.733,0.62,22.93,49.55,0,451
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 04,1,4.967,0.53,19.87,32.43,0,328
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 05,6,14.5,1.56,58,16.7,0,285
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 06,3,20.3,2.18,81.2,11.34,0,185
VF120621_FC1,1,Chamber 1,B6-F-44-01,06-050-25-MC,post-tone,22,56.467,6.07,31.37,56.19,0,3459
,,,,,,,,,,,,
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,pre-tone,2,2.267,0.24,1.26,243.78,0,1901
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 01,0,0,0,0,187.56,0,709
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 02,2,2.867,0.31,11.47,106.18,0,608
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 03,5,11.167,1.2,44.67,19.93,0,297
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 04,3,15.8,1.7,63.2,10.05,0,122
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 05,5,11.1,1.19,44.4,34.37,0,381
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 06,4,9.6,1.03,38.4,11.25,0,215
VF120621_FC1,1,Chamber 2,B6-F-44-02,06-050-25-MC,post-tone,17,117.333,12.62,65.19,31.48,0,2977
,,,,,,,,,,,,
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,pre-tone,0,0,0,0,272.9,0,1773
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 01,0,0,0,0,193.75,0,721
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 02,0,0,0,0,118.4,0,813
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 03,3,4.833,0.52,19.33,87.14,0,664
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 04,4,10.433,1.12,41.73,65.64,0,800
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 05,8,13.233,1.42,52.93,19.7,0,259
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 06,1,1.267,0.14,5.07,111.26,0,565
VF120621_FC1,1,Chamber 3,B6-F-52-03,06-050-25-MC,post-tone,15,130.1,13.99,72.28,26.3,0,3411
,,,,,,,,,,,,
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,pre-tone,0,0,0,0,237.83,0,1360
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 01,0,0,0,0,249.15,0,1354
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 02,0,0,0,0,142.09,0,637
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 03,5,6.933,0.75,27.73,20.12,0,221
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 04,5,16.167,1.74,64.67,9.45,0,153
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 05,3,13.2,1.42,52.8,19.33,0,253
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 06,3,12.033,1.29,48.13,26.57,0,551
VF120621_FC1,1,Chamber 4,B6-F-52-04,06-050-25-MC,post-tone,13,135.4,14.56,75.22,20.39,0,2540
