Date :,2003/12/22 13:23,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,305,0,9150,,,,,,,,
tone 01, 0:05:05.000,10,9150,300,,,,,,,,
tone 02, 0:06:20.000,10,11400,300,,,,,,,,
tone 03, 0:08:25.000,10,15150,300,,,,,,,,
tone 04, 0:10:20.000,10,18600,300,,,,,,,,
tone 05, 0:11:35.000,10,20850,300,,,,,,,,
tone 06, 0:12:20.000,10,22200,300,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,pre-tone,1,1.7,0.18,0.56,173.65,0,1133
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 01,0,0,0,0,139.98,0,695
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 02,1,2.8,0.3,28,115.9,0,671
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 03,2,6.3,0.68,63,42.43,0,462
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 04,1,1.767,0.19,17.67,199.14,0,897
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 05,1,1.667,0.18,16.67,76.58,0,1197
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 06,0,0,0,0,99.27,0,640
VF030822_FC1,1,Chamber 1,B6-F-88-01,06-050-10-SC,post-tone,31,88.5,9.52,49.17,35,0,2705
,,,,,,,,,,,,
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,pre-tone,2,2.167,0.23,0.71,173.57,0,1403
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 01,0,0,0,0,129.18,0,707
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 02,0,0,0,0,193.94,9,951
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 03,1,1.033,0.11,10.33,52.9,0,343
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 04,3,5.233,0.56,52.33,27.35,0,403
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 05,0,0,0,0,119.95,0,715
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 06,1,5.933,0.64,59.33,71.21,0,686
VF030822_FC1,1,Chamber 2,B6-F-88-02,06-050-10-SC,post-tone,19,98.233,10.56,54.57,35.75,0,3162
,,,,,,,,,,,,
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,pre-tone,1,1.467,0.16,0.48,268.73,0,1489
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 01,0,0,0,0,204.17,0,805
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 02,1,2.233,0.24,22.33,88.28,0,813
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 03,1,1.333,0.14,13.33,71.85,0,431
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 04,3,4.633,0.5,46.33,16.45,0,164
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 05,4,8.1,0.87,81,8.22,0,158
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,tone 06,3,6.967,0.75,69.67,6.5,0,105
VF030822_FC1,1,Chamber 3,B6-F-88-03,06-050-10-SC,post-tone,34,91.5,9.84,50.83,44.13,0,3791
,,,,,,,,,,,,
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,pre-tone,3,3.967,0.43,1.3,146.79,0,1160
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 01,0,0,0,0,173.11,0,824
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 02,2,5.1,0.55,51,49.74,0,581
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 03,2,7.733,0.83,77.33,12.67,0,184
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 04,1,3.333,0.36,33.33,75.7,0,528
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 05,2,9.233,0.99,92.33,1.55,0,63
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,tone 06,2,9.9,1.06,99,0.44,0,36
VF030822_FC1,1,Chamber 4,B6-F-88-04,06-050-10-SC,post-tone,30,100.9,10.85,56.06,36.72,0,3711
