Date :,04/17/22 15:25:39,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,370,0,11100,,,,,,,,
tone 01, 0:06:10.000,10,11100,300,,,,,,,,
tone 02, 0:09:20.000,10,16800,300,,,,,,,,
tone 03, 0:12:30.000,10,22500,300,,,,,,,,
post-tone, 0:12:40.000,180,22800,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF041422_FC2,2,Chamber 1,B6-M-76-L1,03-100-10-SC,pre-tone,42,75.9,8.07,20.51,88.4,0,1412
VF041422_FC2,2,Chamber 1,B6-M-76-L1,03-100-10-SC,tone 01,1,6.4,0.68,64,21.54,0,271
VF041422_FC2,2,Chamber 1,B6-M-76-L1,03-100-10-SC,tone 02,2,2.333,0.25,23.33,80.92,0,526
VF041422_FC2,2,Chamber 1,B6-M-76-L1,03-100-10-SC,tone 03,3,8.633,0.92,86.33,8.05,0,317
VF041422_FC2,2,Chamber 1,B6-M-76-L1,03-100-10-SC,post-tone,20,59.233,6.3,32.91,94.3,0,3016
,,,,,,,,,,,,
VF041422_FC2,2,Chamber 2,B6-M-76-L2,03-100-10-SC,pre-tone,21,32.8,3.49,8.86,91.16,0,1013
VF041422_FC2,2,Chamber 2,B6-M-76-L2,03-100-10-SC,tone 01,1,1.233,0.13,12.33,184.94,0,697
VF041422_FC2,2,Chamber 2,B6-M-76-L2,03-100-10-SC,tone 02,1,2.767,0.29,27.67,150.49,0,1250
VF041422_FC2,2,Chamber 2,B6-M-76-L2,03-100-10-SC,tone 03,1,1.4,0.15,14,182.29,0,685
VF041422_FC2,2,Chamber 2,B6-M-76-L2,03-100-10-SC,post-tone,25,105.7,11.24,58.72,24.79,0,2327
,,,,,,,,,,,,
VF041422_FC2,2,Chamber 3,B6-M-76-R1,03-100-10-SC,pre-tone,38,54.767,5.83,14.8,71.7,0,844
VF041422_FC2,2,Chamber 3,B6-M-76-R1,03-100-10-SC,tone 01,1,2.767,0.29,27.67,87.55,0,498
VF041422_FC2,2,Chamber 3,B6-M-76-R1,03-100-10-SC,tone 02,3,5.267,0.56,52.67,136.22,0,1065
VF041422_FC2,2,Chamber 3,B6-M-76-R1,03-100-10-SC,tone 03,1,1.467,0.16,14.67,293.74,0,5274
VF041422_FC2,2,Chamber 3,B6-M-76-R1,03-100-10-SC,post-tone,26,78.167,8.32,43.43,23.61,0,2255
,,,,,,,,,,,,
VF041422_FC2,2,Chamber 4,B6-M-76-R2,03-100-10-SC,pre-tone,64,119.7,12.73,32.35,54.81,0,844
VF041422_FC2,2,Chamber 4,B6-M-76-R2,03-100-10-SC,tone 01,0,0,0,0,250.59,0,1085
VF041422_FC2,2,Chamber 4,B6-M-76-R2,03-100-10-SC,tone 02,1,1.633,0.17,16.33,339.31,0,4412
VF041422_FC2,2,Chamber 4,B6-M-76-R2,03-100-10-SC,tone 03,3,8.667,0.92,86.67,4.6,0,136
VF041422_FC2,2,Chamber 4,B6-M-76-R2,03-100-10-SC,post-tone,21,121.933,12.97,67.74,25.22,0,2814
