Date :,05/17/22 14:51:25,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,pre-tone,25,41.767,9.67,34.81,60,0,921
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 01,6,15.467,3.58,61.87,25.61,0,582
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 02,5,13.333,3.09,53.33,80.42,0,753
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 03,7,16.633,3.85,66.53,42.36,0,509
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 04,3,16.633,3.85,66.53,37.83,0,594
VF051722_SR,1,Chamber 1,B6-M-75-L1,06-050-10-SC,post-tone,10,13.3,3.08,11.08,189.68,0,1642
,,,,,,,,,,,,
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,pre-tone,18,23.8,5.51,19.83,87.5,0,1249
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 01,5,10.733,2.48,42.93,62.65,0,880
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 02,5,11.067,2.56,44.27,83.91,0,1096
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 03,2,4.433,1.03,17.73,146.47,0,1069
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 04,5,8.167,1.89,32.67,89.84,0,865
VF051722_SR,1,Chamber 2,B6-M-75-L2,06-050-10-SC,post-tone,5,6.1,1.41,5.08,340.69,0,1890
,,,,,,,,,,,,
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,pre-tone,4,4.3,1,3.58,97.74,0,972
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 01,9,17.633,4.08,70.53,16.35,0,287
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 02,7,21.2,4.91,84.8,7.11,0,248
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 03,8,21.6,5,86.4,4.48,0,152
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 04,7,18.3,4.24,73.2,12.47,0,360
VF051722_SR,1,Chamber 3,B6-M-75-R1,06-050-10-SC,post-tone,12,15.233,3.53,12.69,98.6,0,1090
,,,,,,,,,,,,
VF051722_SR,1,Chamber 4,B6-M-75-R2,06-050-10-SC,pre-tone,20,27.467,6.36,22.89,59.09,0,745
VF051722_SR,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 01,8,19.167,4.44,76.67,9.06,0,196
VF051722_SR,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 02,11,16,3.7,64,11.08,0,215
VF051722_SR,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 03,9,18.133,4.2,72.53,13.51,0,212
VF051722_SR,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 04,8,19.167,4.44,76.67,4.45,0,89
