Date :,05/20/22 15:02:38,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,pre-tone,9,11.6,1.66,9.67,120.87,0,1127
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 01,5,11.7,1.67,46.8,75.28,0,791
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 02,3,20.167,2.88,80.67,22.11,0,447
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 03,3,19.033,2.72,76.13,23.1,0,402
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 04,4,8.933,1.28,35.73,73.29,0,764
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 05,6,21.067,3.01,84.27,6.95,0,131
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 06,5,15.267,2.18,61.07,12.27,0,237
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 07,5,9.067,1.3,36.27,79.84,0,642
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 08,4,12.8,1.83,51.2,26.44,0,328
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 09,5,18.433,2.63,73.73,15.75,0,194
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 10,5,12.533,1.79,50.13,15.72,0,259
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 11,6,14.133,2.02,56.53,41.77,0,701
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 12,1,1.333,0.19,5.33,268.86,0,1316
VF051922_E2,1,Chamber 1,B6-F-68-L1,12-050-10-SC,post-tone,4,4.967,0.71,4.14,227.45,0,1275
,,,,,,,,,,,,
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,pre-tone,9,14.133,2.02,11.78,166.43,0,2175
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 01,3,7.067,1.01,28.27,75.42,0,1393
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 02,2,3.167,0.45,12.67,210.89,0,1591
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 03,4,9.9,1.41,39.6,33.57,0,413
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 04,3,4.767,0.68,19.07,82.41,0,635
VF051922_E2,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 05,2,2.033,0.29,8.13,84.64,0,851
