Date :,2007/04/22 15:15,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,pre-tone,28,54.167,12.54,45.14,30.2,0,660
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,tone 01,2,22.9,5.3,91.6,2.63,0,152
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,tone 02,3,18.5,4.28,74,15.51,0,399
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,tone 03,4,20.833,4.82,83.33,5.77,0,181
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,tone 04,5,21.2,4.91,84.8,4.96,0,171
VF070422_ER,1,Chamber 1,B6-F-70-L1,12-050-10-SC,post-tone,8,18.7,4.33,15.58,123.27,0,1194
,,,,,,,,,,,,
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,pre-tone,18,26.733,6.19,22.28,36.36,0,502
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,tone 01,4,20.1,4.65,80.4,14.26,0,337
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,tone 02,3,17.467,4.04,69.87,9.91,0,267
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,tone 03,4,15.533,3.6,62.13,21.32,0,216
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,tone 04,5,14.967,3.46,59.87,24.97,0,369
VF070422_ER,1,Chamber 2,B6-F-70-L2,12-050-10-SC,post-tone,17,27.9,6.46,23.25,53.1,0,726
,,,,,,,,,,,,
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,pre-tone,24,33.9,7.85,28.25,41.45,0,696
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,tone 01,12,23,5.32,92,3.54,0,156
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,tone 02,7,17.3,4,69.2,8.94,0,197
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,tone 03,4,5.733,1.33,22.93,39.87,0,312
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,tone 04,3,5.833,1.35,23.33,75.35,0,943
VF070422_ER,1,Chamber 3,B6-F-70-R1,12-050-10-SC,post-tone,21,31.633,7.32,26.36,80.43,0,1147
,,,,,,,,,,,,
VF070422_ER,1,Chamber 4,B6-F-70-R2,12-050-10-SC,pre-tone,22,32.767,7.58,27.31,39.44,0,537
VF070422_ER,1,Chamber 4,B6-F-70-R2,12-050-10-SC,tone 01,6,11.133,2.58,44.53,49.6,0,940
VF070422_ER,1,Chamber 4,B6-F-70-R2,12-050-10-SC,tone 02,3,20.9,4.84,83.6,4.44,0,117
VF070422_ER,1,Chamber 4,B6-F-70-R2,12-050-10-SC,tone 03,3,14.767,3.42,59.07,8.89,0,215
VF070422_ER,1,Chamber 4,B6-F-70-R2,12-050-10-SC,tone 04,6,11.333,2.62,45.33,42.82,0,360
