Date :,12/22/07 16:24,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,pre-tone,1,1.3,0.19,1.08,176.06,0,1290
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 01,5,8.733,1.25,34.93,94.5,0,1206
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 02,2,3.367,0.48,13.47,107.21,0,1130
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 03,7,10.1,1.44,40.4,41.85,0,497
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 04,2,2.767,0.4,11.07,20.21,0,207
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 05,1,1.167,0.17,4.67,231.76,0,1334
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 06,0,0,0,0,201.21,0,906
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 07,0,0,0,0,180.17,0,1253
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 08,0,0,0,0,177.2,0,976
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 09,2,6.267,0.9,25.07,66,0,521
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 10,3,4.8,0.69,19.2,143.73,0,845
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 11,0,0,0,0,162.62,0,1116
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 12,4,5.033,0.72,20.13,108.95,0,1228
VF070922_E2,1,Chamber 1,B6-F-72-L1,12-050-10-SC,post-tone,4,6.333,0.9,5.28,139.62,0,1258
,,,,,,,,,,,,
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,pre-tone,5,7.667,1.1,6.39,110.18,0,1340
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 01,6,11.4,1.63,45.6,48.57,0,1036
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 02,6,10.833,1.55,43.33,80.33,0,902
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 03,2,5.333,0.76,21.33,66.04,0,734
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 04,2,3.233,0.46,12.93,103.59,0,912
VF070922_E2,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 05,0,0,0,0,151.91,0,1006
