Date :,9/22/22 13:03,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,180,0,5400,,,,,,,,
tone 01, 0:03:00.000,25,5400,750,,,,,,,,
tone 02, 0:03:40.000,25,6600,750,,,,,,,,
tone 03, 0:04:50.000,25,8700,750,,,,,,,,
tone 04, 0:06:05.000,25,10950,750,,,,,,,,
tone 05, 0:06:40.000,25,12000,750,,,,,,,,
tone 06, 0:07:30.000,25,13500,750,,,,,,,,
tone 07, 0:08:10.000,25,14700,750,,,,,,,,
tone 08, 0:09:10.000,25,16500,750,,,,,,,,
tone 09, 0:10:05.000,25,18150,750,,,,,,,,
tone 10, 0:11:20.000,25,20400,750,,,,,,,,
tone 11, 0:12:05.000,25,21750,750,,,,,,,,
tone 12, 0:12:50.000,25,23100,750,,,,,,,,
post-tone, 0:13:15.000,135,23850,4050,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,pre-tone,4,5.933,0.64,3.3,75.65,0,712
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 01,0,0,0,0,120.67,0,622
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 02,7,9.8,1.05,39.2,21.45,0,392
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 03,0,0,0,0,131.82,0,867
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 04,6,16.5,1.77,66,8.04,0,221
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 05,3,15.433,1.66,61.73,8.64,0,128
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 06,5,21.133,2.27,84.53,8.49,0,153
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 07,6,21.467,2.31,85.87,5.92,0,124
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 08,2,4.767,0.51,19.07,45.3,0,269
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 09,4,21.3,2.29,85.2,3.84,0,132
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 10,5,21.367,2.3,85.47,4.45,0,90
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 11,2,24.933,2.68,99.73,0.37,0,23
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,tone 12,5,22.967,2.47,91.87,4.31,0,234
VF091822_FC1,1,Chamber 1,B6-M-105-L1,12-050-25-SC,post-tone,15,87.9,9.45,65.11,11.57,0,247
,,,,,,,,,,,,
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,pre-tone,1,1,0.11,0.56,154.09,0,1098
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 01,0,0,0,0,122.48,0,981
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 02,0,0,0,0,131.75,0,894
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 03,1,1.233,0.13,4.93,155.44,0,973
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 04,5,9.167,0.99,36.67,44.8,0,365
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 05,5,12.167,1.31,48.67,24.44,0,408
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 06,5,15.1,1.62,60.4,7.22,0,155
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 07,3,5.5,0.59,22,11.49,0,161
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 08,5,14.6,1.57,58.4,22.55,0,336
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 09,1,2.2,0.24,8.8,78.31,0,522
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 10,5,20.6,2.22,82.4,7.86,0,161
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 11,4,19.6,2.11,78.4,6.48,0,188
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,tone 12,3,8.2,0.88,32.8,54.08,0,661
VF091822_FC1,1,Chamber 2,B6-M-105-L2,12-050-25-SC,post-tone,25,68.1,7.32,50.44,21.83,0,602
,,,,,,,,,,,,
VF091822_FC1,1,Chamber 3,B6-M-105-R1,12-050-25-SC,pre-tone,0,0,0,0,117.76,0,843
VF091822_FC1,1,Chamber 3,B6-M-105-R1,12-050-25-SC,tone 01,0,0,0,0,141.88,0,659
VF091822_FC1,1,Chamber 3,B6-M-105-R1,12-050-25-SC,tone 02,0,0,0,0,145.01,0,676
