Date :,11/4/22 12:30,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,30,0,900,,,,,,,,
tone 01, 0:00:30.000,25,900,750,,,,,,,,
tone 02, 0:10:08.000,25,18240,750,,,,,,,,
tone 03, 0:19:50.000,25,35700,750,,,,,,,,
post-tone, 0:20:18.000,30,36540,900,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF102522_FC1,2,Chamber 1,B6-M-106-L6,03-100-25-SC,pre-tone,0,0,0,0,94.95,0,616
VF102522_FC1,2,Chamber 1,B6-M-106-L6,03-100-25-SC,tone 01,0,0,0,0,116.07,0,792
VF102522_FC1,2,Chamber 1,B6-M-106-L6,03-100-25-SC,tone 02,5,6.3,0.51,25.2,63.18,0,643
VF102522_FC1,2,Chamber 1,B6-M-106-L6,03-100-25-SC,tone 03,4,16.233,1.3,64.93,21.34,0,266
VF102522_FC1,2,Chamber 1,B6-M-106-L6,03-100-25-SC,post-tone,4,5.467,0.44,18.22,21.74,0,199
,,,,,,,,,,,,
VF102522_FC1,2,Chamber 2,B6-M-106-L5,03-100-25-SC,pre-tone,0,0,0,0,116.55,0,848
VF102522_FC1,2,Chamber 2,B6-M-106-L5,03-100-25-SC,tone 01,0,0,0,0,174.2,0,763
VF102522_FC1,2,Chamber 2,B6-M-106-L5,03-100-25-SC,tone 02,3,12.233,0.98,48.93,52.64,0,622
VF102522_FC1,2,Chamber 2,B6-M-106-L5,03-100-25-SC,tone 03,3,10.4,0.84,41.6,45.04,0,481
