Date :,11/1/22 17:45,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,pre-tone,22,30.433,7.04,25.36,37.42,0,806
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 01,4,5.867,1.36,23.47,49.39,0,955
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 02,1,1.3,0.3,5.2,109.82,0,812
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 03,4,6.733,1.56,26.93,31.17,0,356
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 04,1,1.133,0.26,4.53,94.53,0,848
VF103122_ER,1,Chamber 1,B6-M-106-L1,30-10-25-SC,post-tone,14,18.733,4.34,15.61,64.62,0,1148
,,,,,,,,,,,,
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,pre-tone,39,61.1,14.14,50.92,33.7,0,723
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 01,2,2.3,0.53,9.2,35.03,0,328
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 02,4,8,1.85,32,41.2,0,384
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 03,1,1.1,0.25,4.4,162.89,0,1307
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 04,2,2.033,0.47,8.13,173.44,0,1316
VF103122_ER,1,Chamber 2,B6-M-106-L2,30-10-25-SC,post-tone,10,16.133,3.73,13.44,172.45,0,1289
,,,,,,,,,,,,
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,pre-tone,12,17.667,4.09,14.72,69.66,0,1210
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 01,9,12,2.78,48,57.63,0,1118
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 02,3,4.4,1.02,17.6,137.71,0,1239
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 03,0,0,0,0,126.65,0,776
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 04,5,7.4,1.71,29.6,52.6,0,582
VF103122_ER,1,Chamber 3,B6-M-106-R1,30-10-25-SC,post-tone,24,39.833,9.22,33.19,76.95,0,1184
,,,,,,,,,,,,
VF103122_ER,1,Chamber 4,B6-M-106-R2,30-10-25-SC,pre-tone,25,36.433,8.43,30.36,49.56,0,876
VF103122_ER,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 01,1,1.1,0.25,4.4,56.37,0,646
VF103122_ER,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 02,10,17.7,4.1,70.8,5.98,0,127
VF103122_ER,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 03,2,2.633,0.61,10.53,59.95,0,759
VF103122_ER,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 04,4,4.833,1.12,19.33,94.93,0,769
