Date :,12/19/22 13:25,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,pre-tone,19,26.767,3.82,22.31,48.68,0,578
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 01,3,24.8,3.54,99.2,0.35,0,41
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 02,2,22.867,3.27,91.47,1.87,0,74
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 03,2,23,3.29,92,1.89,0,94
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 04,3,18.067,2.58,72.27,9.95,0,268
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 05,3,20.833,2.98,83.33,6.61,0,219
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 06,3,20.267,2.9,81.07,5.86,0,115
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 07,4,21.5,3.07,86,3.85,0,149
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 08,3,17.167,2.45,68.67,10.74,0,166
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 09,3,19.4,2.77,77.6,5.1,0,248
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 10,3,10.5,1.5,42,33.89,0,347
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 11,2,5.633,0.8,22.53,61.34,0,400
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 12,0,0,0,0,115.72,0,618
VF110822_E2,1,Chamber 1,B6-F-110-L1,06-50-25-SC,post-tone,8,16.067,2.3,13.39,82.26,0,712
,,,,,,,,,,,,
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,pre-tone,29,59.533,8.5,49.61,13.24,0,274
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 01,8,20.9,2.99,83.6,2.87,0,72
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 02,2,24.967,3.57,99.87,0.27,0,19
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 03,12,17.367,2.48,69.47,5.43,0,197
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 04,2,24.967,3.57,99.87,0.13,0,27
VF110822_E2,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 05,1,25,3.57,100,0.21,0,16
