Date :,5/24/04 15:28,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,305,0,9150,,,,,,,,
tone 01, 0:05:05.000,10,9150,300,,,,,,,,
tone 02, 0:06:20.000,10,11400,300,,,,,,,,
tone 03, 0:08:25.000,10,15150,300,,,,,,,,
tone 04, 0:10:20.000,10,18600,300,,,,,,,,
tone 05, 0:11:35.000,10,20850,300,,,,,,,,
tone 06, 0:12:20.000,10,22200,300,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,pre-tone,0,0,0,0,285.17,0,1553
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 01,0,0,0,0,283.54,1,1025
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 02,0,0,0,0,141.64,0,612
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 03,0,0,0,0,141.25,0,652
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 04,0,0,0,0,97.41,0,361
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 05,2,3.267,0.35,32.67,21.53,0,164
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,tone 06,2,4.933,0.53,49.33,8.17,0,99
VF040424_FC1,1,Chamber 1,B6-F-188-01,06-50-10-SC,post-tone,27,82.267,8.85,45.7,55.39,0,2873
,,,,,,,,,,,,
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,pre-tone,1,1.067,0.11,0.35,229.4,0,1599
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 01,0,0,0,0,261.71,0,1270
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 02,1,2.4,0.26,24,30.77,0,175
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 03,3,5.833,0.63,58.33,18.67,0,308
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 04,1,3.633,0.39,36.33,9.27,0,105
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 05,4,7.3,0.78,73,6.51,0,273
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,tone 06,1,10,1.08,100,0.1,0,7
VF040424_FC1,1,Chamber 2,B6-F-188-02,06-50-10-SC,post-tone,14,163.833,17.62,91.02,20.06,0,5832
,,,,,,,,,,,,
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,pre-tone,0,0,0,0,282.23,0,1563
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 01,0,0,0,0,221.83,2,804
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 02,0,0,0,0,132.9,0,631
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 03,0,0,0,0,126.56,0,590
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 04,2,3.167,0.34,31.67,72.03,0,531
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 05,0,0,0,0,160.44,0,769
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,tone 06,2,4,0.43,40,9.23,0,91
VF040424_FC1,1,Chamber 3,B6-F-188-03,06-50-10-SC,post-tone,25,55.767,6,30.98,39.07,0,2953
,,,,,,,,,,,,
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,pre-tone,0,0,0,0,200.95,0,1372
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 01,0,0,0,0,162.95,0,540
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 02,0,0,0,0,100.18,0,496
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 03,5,7.433,0.8,74.33,9.13,0,89
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 04,2,6.8,0.73,68,40.5,0,511
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 05,2,5.333,0.57,53.33,19.58,0,241
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,tone 06,3,6.167,0.66,61.67,31.48,0,362
VF040424_FC1,1,Chamber 4,B6-F-188-04,06-50-10-SC,post-tone,23,125.7,13.52,69.83,28.87,0,4875
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,pre-tone,10,18.367,1.97,6.02,172.83,0,1361
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 01,1,1.167,0.13,11.67,79.04,0,540
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 02,2,3.933,0.42,39.33,86.96,0,647
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 03,2,3.967,0.43,39.67,27.84,0,393
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 04,0,0,0,0,110.18,0,518
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 05,2,6.167,0.66,61.67,30.66,0,335
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,tone 06,0,0,0,0,117.96,0,577
VF040424_FC1,2,Chamber 1,B6-M-152B-01,06-50-10-SC,post-tone,26,142.367,15.31,79.09,27.02,0,3918
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,pre-tone,0,0,0,0,329.3,0,2456
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 01,0,0,0,0,199.86,0,887
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 02,0,0,0,0,150.7,0,667
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 03,1,1.333,0.14,13.33,106.13,0,669
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 04,1,4.967,0.53,49.67,22.17,0,263
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 05,3,5.5,0.59,55,25.81,0,491
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,tone 06,1,7.433,0.8,74.33,42.17,0,477
VF040424_FC1,2,Chamber 2,B6-M-152B-02,06-50-10-SC,post-tone,19,80.3,8.63,44.61,45.41,0,2669
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,pre-tone,0,0,0,0,195.46,0,1234
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 01,0,0,0,0,122.91,0,501
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 02,1,1.867,0.2,18.67,145.02,0,539
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 03,3,7.7,0.83,77,6.71,0,142
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 04,1,8.667,0.93,86.67,3.41,0,119
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 05,1,7.367,0.79,73.67,3.46,0,99
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,tone 06,2,9.967,1.07,99.67,0.22,0,22
VF040424_FC1,2,Chamber 3,B6-M-190-03,06-50-10-SC,post-tone,24,96.767,10.41,53.76,36.31,0,4368
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,pre-tone,0,0,0,0,178.3,0,1153
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 01,0,0,0,0,104.44,0,467
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 02,1,1.533,0.16,15.33,22.51,0,145
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 03,2,2.933,0.32,29.33,25.82,0,227
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 04,3,6.867,0.74,68.67,6.08,0,128
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 05,3,8,0.86,80,6.94,0,121
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,tone 06,1,5.567,0.6,55.67,15.39,0,149
VF040424_FC1,2,Chamber 4,B6-M-190-04,06-50-10-SC,post-tone,24,110.067,11.84,61.15,28.05,0,6317
,,,,,,,,,,,,
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,pre-tone,3,3.733,0.4,1.22,196.33,0,1157
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 01,0,0,0,0,146.66,0,647
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 02,2,7.067,0.76,70.67,14.32,0,293
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 03,2,5.233,0.56,52.33,55.6,0,549
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 04,2,9.233,0.99,92.33,4.42,0,138
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 05,2,9.667,1.04,96.67,1.67,0,80
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,tone 06,4,5.9,0.63,59,25.21,0,182
VF040424_FC1,3,Chamber 1,B6-F-170-01,06-50-10-SC,post-tone,34,111,11.94,61.67,48.07,0,3408
,,,,,,,,,,,,
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,pre-tone,2,3.633,0.39,1.19,228.51,0,1295
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 01,0,0,0,0,73.29,0,517
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 02,4,6.967,0.75,69.67,2.85,0,66
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 03,4,6.967,0.75,69.67,2.16,0,58
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 04,1,10,1.08,100,0,0,0
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 05,1,9,0.97,90,0.21,0,23
VF040424_FC1,3,Chamber 2,B6-F-170-02,06-50-10-SC,tone 06,2,9.967,1.07,99.67,0.47,0,23
