Date :,4/5/24 12:12,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,pre-tone,26,81.5,11.64,67.92,10.54,0,268
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 01,1,25,3.57,100,0.01,0,1
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 02,3,23.033,3.29,92.13,2.2,0,157
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 03,2,23.7,3.39,94.8,1.03,0,71
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 04,1,9.867,1.41,39.47,17.72,0,184
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 05,4,12.9,1.84,51.6,19.96,0,161
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 06,1,25,3.57,100,0.24,0,17
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 07,3,24.9,3.56,99.6,0.52,0,31
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 08,5,17.7,2.53,70.8,7.63,0,105
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 09,11,21.1,3.01,84.4,4.01,0,104
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 10,4,10.667,1.52,42.67,14.36,0,143
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 11,8,19.133,2.73,76.53,4.46,0,117
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,tone 12,4,19.033,2.72,76.13,12.72,0,319
VF040524_E1,1,Chamber 3,B6-M-189-03,03-100-10-SC,post-tone,15,48.833,6.98,40.69,25.7,0,272
,,,,,,,,,,,,
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,pre-tone,12,22.7,3.24,18.92,46.02,0,374
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 01,5,13.967,2,55.87,6.38,0,166
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 02,2,7.5,1.07,30,6.06,0,115
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 03,4,16.7,2.39,66.8,6.88,0,156
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 04,7,19.333,2.76,77.33,8.54,0,223
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 05,6,20.7,2.96,82.8,3.12,0,103
VF040524_E1,1,Chamber 2,B6-M-189-02,03-100-10-SC,tone 06,4,23.633,3.38,94.53,0.57,0,43
