"Date :",03/31/24 12:33:05
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",60,0,1800
"tone 01"," 0:01:25.000",10,2550,300
"tone 02"," 0:01:50.000",10,3300,300
"tone 03"," 0:02:15.000",10,4050,300
"tone 04"," 0:02:40.000",10,4800,300
"tone 05"," 0:03:05.000",10,5550,300
"tone 06"," 0:03:30.000",10,6300,300
"tone 07"," 0:04:20.000",10,7800,300
"tone 08"," 0:04:45.000",10,8550,300
"tone 09"," 0:05:10.000",10,9300,300
"tone 10"," 0:05:35.000",10,10050,300
"tone 11"," 0:06:25.000",10,11550,300
"tone 12"," 0:07:40.000",10,13800,300
"tone 13"," 0:08:05.000",10,14550,300
"tone 14"," 0:08:30.000",10,15300,300
"tone 15"," 0:08:55.000",10,16050,300
"tone 16"," 0:09:20.000",10,16800,300
"tone 17"," 0:10:10.000",10,18300,300
"tone 18"," 0:11:00.000",10,19800,300
"tone 19"," 0:11:50.000",10,21300,300
"tone 20"," 0:12:15.000",10,22050,300
"post-tone"," 0:13:15.000",45,23850,1350

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","pre-tone",10,13.233,1.55,22.06,43.31,0,364
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 01",4,6.367,0.74,63.67,7.43,0,197
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 02",0,0.000,0.00,0.00,38.78,0,164
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 03",4,5.800,0.68,58.00,2.46,0,52
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 04",3,4.067,0.48,40.67,28.38,0,205
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 05",2,4.000,0.47,40.00,38.97,0,386
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 06",2,2.833,0.33,28.33,41.01,0,330
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 07",1,1.667,0.19,16.67,17.88,0,109
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 08",2,6.767,0.79,67.67,1.99,0,77
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 09",2,6.900,0.81,69.00,5.72,0,103
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 10",3,6.833,0.80,68.33,7.78,0,125
"VF033124_IPE","1",Chamber 1,"B6-F-188-01","PR_N","tone 11",3,4.967,0.58,49.67,3.73,0,57
