Date :,02/18/22 16:35:27,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,290,0,8700,,,,,,,,
tone 01, 0:04:50.000,25,8700,750,,,,,,,,
tone 02, 0:08:10.000,25,14700,750,,,,,,,,
tone 03, 0:12:05.000,25,21750,750,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF120621_FC1,2,Chamber 1,,,pre-tone,6,10.967,1.18,3.78,160.2,0,1554
VF120621_FC1,2,Chamber 1,,,tone 01,4,9.633,1.04,38.53,34.03,0,367
VF120621_FC1,2,Chamber 1,,,tone 02,1,25,2.69,100,0.09,0,12
VF120621_FC1,2,Chamber 1,,,tone 03,2,18.733,2.01,74.93,139.08,0,5258
VF120621_FC1,2,Chamber 1,,,post-tone,8,164.633,17.7,91.46,29.38,0,3479
,,,,,,,,,,,,
VF120621_FC1,2,Chamber 2,,,pre-tone,24,35.167,3.78,12.13,118.75,0,1606
VF120621_FC1,2,Chamber 2,,,tone 01,6,8.133,0.87,32.53,88.82,0,828
VF120621_FC1,2,Chamber 2,,,tone 02,6,15.267,1.64,61.07,23.57,0,579
VF120621_FC1,2,Chamber 2,,,tone 03,3,23.333,2.51,93.33,2.83,0,244
VF120621_FC1,2,Chamber 2,,,post-tone,21,137.967,14.84,76.65,45.55,0,5883
,,,,,,,,,,,,
VF120621_FC1,2,Chamber 3,,,pre-tone,13,17.533,1.89,6.05,162.69,0,1239
VF120621_FC1,2,Chamber 3,,,tone 01,5,6,0.65,24,60.63,0,958
VF120621_FC1,2,Chamber 3,,,tone 02,6,19.967,2.15,79.87,4.74,0,99
VF120621_FC1,2,Chamber 3,,,tone 03,2,11.6,1.25,46.4,77.51,0,3321
VF120621_FC1,2,Chamber 3,,,post-tone,18,103.8,11.16,57.67,41.35,0,5622
,,,,,,,,,,,,
VF120621_FC1,2,Chamber 4,,,pre-tone,5,6.833,0.73,2.36,149.79,0,1544
VF120621_FC1,2,Chamber 4,,,tone 01,1,1.233,0.13,4.93,125.88,0,1115
VF120621_FC1,2,Chamber 4,,,tone 02,4,17.5,1.88,70,15.92,0,495
VF120621_FC1,2,Chamber 4,,,tone 03,2,24.7,2.66,98.8,0.58,0,77
VF120621_FC1,2,Chamber 4,,,post-tone,12,128.833,13.85,71.57,36.67,0,5485
