Date :,01/26/22 10:24:03,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF011422_E2,1,Chamber 1,,,pre-tone,6,9.933,1.42,8.28,186.75,0,1504
VF011422_E2,1,Chamber 1,,,tone 01,4,5.433,0.78,21.73,128.24,0,894
VF011422_E2,1,Chamber 1,,,tone 02,3,12.733,1.82,50.93,71.99,0,639
VF011422_E2,1,Chamber 1,,,tone 03,2,4.3,0.61,17.2,82.29,0,509
VF011422_E2,1,Chamber 1,,,tone 04,1,12.9,1.84,51.6,48.12,0,508
VF011422_E2,1,Chamber 1,,,tone 05,4,13.7,1.96,54.8,42.69,0,458
VF011422_E2,1,Chamber 1,,,tone 06,3,9.333,1.33,37.33,55.84,0,440
VF011422_E2,1,Chamber 1,,,tone 07,5,8.6,1.23,34.4,49.75,0,392
VF011422_E2,1,Chamber 1,,,tone 08,4,6.967,1,27.87,64.8,0,459
VF011422_E2,1,Chamber 1,,,tone 09,2,19.267,2.75,77.07,11.51,0,221
VF011422_E2,1,Chamber 1,,,tone 10,2,15.967,2.28,63.87,14.02,0,265
VF011422_E2,1,Chamber 1,,,tone 11,2,18.533,2.65,74.13,6.7,0,289
VF011422_E2,1,Chamber 1,,,tone 12,4,9.267,1.32,37.07,60.32,0,729
VF011422_E2,1,Chamber 1,,,post-tone,12,22.033,3.15,18.36,73.56,0,1102
,,,,,,,,,,,,
VF011422_E2,1,Chamber 2,,,pre-tone,0,0,0,0,364.03,0,2534
VF011422_E2,1,Chamber 2,,,tone 01,7,11.167,1.6,44.67,63.34,0,1044
VF011422_E2,1,Chamber 2,,,tone 02,4,12.433,1.78,49.73,69.69,0,654
VF011422_E2,1,Chamber 2,,,tone 03,7,10.2,1.46,40.8,17.69,0,310
VF011422_E2,1,Chamber 2,,,tone 04,3,7.767,1.11,31.07,36.29,0,351
VF011422_E2,1,Chamber 2,,,tone 05,3,6.467,0.92,25.87,49.05,0,869
VF011422_E2,1,Chamber 2,,,tone 06,5,13.5,1.93,54,23.31,0,388
VF011422_E2,1,Chamber 2,,,tone 07,2,9.6,1.37,38.4,89.29,0,640
VF011422_E2,1,Chamber 2,,,tone 08,1,1.1,0.16,4.4,98.64,0,833
VF011422_E2,1,Chamber 2,,,tone 09,3,20.967,3,83.87,12.21,0,261
VF011422_E2,1,Chamber 2,,,tone 10,5,9.567,1.37,38.27,59.91,0,691
VF011422_E2,1,Chamber 2,,,tone 11,3,6.1,0.87,24.4,32.86,0,391
VF011422_E2,1,Chamber 2,,,tone 12,3,7.2,1.03,28.8,102.74,0,790
VF011422_E2,1,Chamber 2,,,post-tone,10,28.533,4.08,23.78,111.36,0,826
