Date :,2003/07/22 13:41,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF030722_ER,1,Chamber 1,,,pre-tone,4,6.633,1.54,5.53,316.36,0,1705
VF030722_ER,1,Chamber 1,,,tone 01,5,14.9,3.45,59.6,60.48,0,820
VF030722_ER,1,Chamber 1,,,tone 02,7,10.867,2.52,43.47,96.53,0,991
VF030722_ER,1,Chamber 1,,,tone 03,7,11.567,2.68,46.27,80.3,0,643
VF030722_ER,1,Chamber 1,,,tone 04,2,2.7,0.63,10.8,215.91,0,1073
VF030722_ER,1,Chamber 1,,,post-tone,0,0,0,0,371.59,0,1959
,,,,,,,,,,,,
VF030722_ER,1,Chamber 2,,,pre-tone,1,1.133,0.26,0.94,313.65,0,1971
VF030722_ER,1,Chamber 2,,,tone 01,3,3.767,0.87,15.07,111.56,0,635
VF030722_ER,1,Chamber 2,,,tone 02,3,6.733,1.56,26.93,209.67,0,1426
VF030722_ER,1,Chamber 2,,,tone 03,1,1.4,0.32,5.6,128.11,0,918
VF030722_ER,1,Chamber 2,,,tone 04,2,2.967,0.69,11.87,121.91,0,937
VF030722_ER,1,Chamber 2,,,post-tone,4,7,1.62,5.83,234.77,0,1861
,,,,,,,,,,,,
VF030722_ER,1,Chamber 3,,,pre-tone,10,12.467,2.89,10.39,145.86,0,1456
VF030722_ER,1,Chamber 3,,,tone 01,10,16.833,3.9,67.33,11.6,0,265
VF030722_ER,1,Chamber 3,,,tone 02,4,11.733,2.72,46.93,22.51,0,388
VF030722_ER,1,Chamber 3,,,tone 03,9,20.267,4.69,81.07,5.65,0,146
VF030722_ER,1,Chamber 3,,,tone 04,5,8.9,2.06,35.6,51.43,0,542
VF030722_ER,1,Chamber 3,,,post-tone,21,39.033,9.04,32.53,95.97,0,1251
,,,,,,,,,,,,
VF030722_ER,2,Chamber 1,,,pre-tone,10,12.167,2.82,10.14,162.76,0,1488
VF030722_ER,2,Chamber 1,,,tone 01,2,4.233,0.98,16.93,103.63,0,1274
VF030722_ER,2,Chamber 1,,,tone 02,9,17.533,4.06,70.13,16.97,0,262
VF030722_ER,2,Chamber 1,,,tone 03,6,16.167,3.74,64.67,13.83,0,245
VF030722_ER,2,Chamber 1,,,tone 04,3,5.1,1.18,20.4,140.7,0,1280
VF030722_ER,2,Chamber 1,,,post-tone,7,9.4,2.18,7.83,157.85,0,1395
,,,,,,,,,,,,
VF030722_ER,2,Chamber 2,,,pre-tone,0,0,0,0,302.3,0,1764
VF030722_ER,2,Chamber 2,,,tone 01,10,17.033,3.94,68.13,8.75,0,554
VF030722_ER,2,Chamber 2,,,tone 02,5,12.9,2.99,51.6,66.7,0,927
VF030722_ER,2,Chamber 2,,,tone 03,5,9.033,2.09,36.13,49.39,0,550
VF030722_ER,2,Chamber 2,,,tone 04,4,16.6,3.84,66.4,7.88,0,210
VF030722_ER,2,Chamber 2,,,post-tone,15,25.433,5.89,21.19,113.34,0,1482
,,,,,,,,,,,,
VF030722_ER,2,Chamber 3,,,pre-tone,0,0,0,0,255.64,0,1964
VF030722_ER,2,Chamber 3,,,tone 01,1,1.033,0.24,4.13,185.74,0,1812
