"Date :",04/17/22 15:29:31
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",180,0,5400
"tone 01"," 0:04:50.000",25,8700,750
"tone 02"," 0:06:05.000",25,10950,750
"tone 03"," 0:08:10.000",25,14700,750
"tone 04"," 0:10:05.000",25,18150,750
"tone 05"," 0:11:20.000",25,20400,750
"tone 06"," 0:12:05.000",25,21750,750
"post-tone"," 0:12:30.000",180,22500,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF041622_FC1","3",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,259.27,0,1473
"VF041622_FC1","3",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,214.25,0,1310
"VF041622_FC1","3",Chamber 1,"","","tone 02",1,1.067,0.11,4.27,119.07,0,719
"VF041622_FC1","3",Chamber 1,"","","tone 03",2,2.233,0.24,8.93,201.65,0,893
"VF041622_FC1","3",Chamber 1,"","","tone 04",5,21.533,2.32,86.13,5.85,0,185
"VF041622_FC1","3",Chamber 1,"","","tone 05",5,21.700,2.33,86.80,7.88,0,177
"VF041622_FC1","3",Chamber 1,"","","tone 06",2,19.167,2.06,76.67,14.48,0,238
"VF041622_FC1","3",Chamber 1,"","","post-tone",22,100.733,10.83,55.96,69.51,0,3912

"VF041622_FC1","3",Chamber 2,"","","pre-tone",0,0.000,0.00,0.00,273.13,0,1454
"VF041622_FC1","3",Chamber 2,"","","tone 01",0,0.000,0.00,0.00,232.53,0,1234
"VF041622_FC1","3",Chamber 2,"","","tone 02",0,0.000,0.00,0.00,138.91,0,601
"VF041622_FC1","3",Chamber 2,"","","tone 03",1,1.000,0.11,4.00,120.69,0,848
"VF041622_FC1","3",Chamber 2,"","","tone 04",6,17.567,1.89,70.27,11.33,0,208
"VF041622_FC1","3",Chamber 2,"","","tone 05",4,18.967,2.04,75.87,8.54,0,181
"VF041622_FC1","3",Chamber 2,"","","tone 06",1,12.400,1.33,49.60,63.07,0,1848
"VF041622_FC1","3",Chamber 2,"","","post-tone",10,99.867,10.74,55.48,46.74,0,5080

"VF041622_FC1","3",Chamber 3,"","","pre-tone",0,0.000,0.00,0.00,247.12,0,1360
"VF041622_FC1","3",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,250.25,0,1093
"VF041622_FC1","3",Chamber 3,"","","tone 02",1,1.067,0.11,4.27,60.38,0,653
"VF041622_FC1","3",Chamber 3,"","","tone 03",2,3.300,0.35,13.20,119.65,0,633
"VF041622_FC1","3",Chamber 3,"","","tone 04",4,6.333,0.68,25.33,61.52,0,465
"VF041622_FC1","3",Chamber 3,"","","tone 05",4,6.700,0.72,26.80,34.71,0,268
"VF041622_FC1","3",Chamber 3,"","","tone 06",6,8.533,0.92,34.13,27.46,0,425
"VF041622_FC1","3",Chamber 3,"","","post-tone",24,54.300,5.84,30.17,51.22,0,2557

"VF041622_FC1","3",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,223.65,0,1391
"VF041622_FC1","3",Chamber 4,"","","tone 01",2,4.067,0.44,16.27,94.97,0,986
"VF041622_FC1","3",Chamber 4,"","","tone 02",0,0.000,0.00,0.00,104.11,0,546
"VF041622_FC1","3",Chamber 4,"","","tone 03",0,0.000,0.00,0.00,146.22,0,684
"VF041622_FC1","3",Chamber 4,"","","tone 04",0,0.000,0.00,0.00,96.69,0,944
"VF041622_FC1","3",Chamber 4,"","","tone 05",2,2.300,0.25,9.20,97.61,0,706
"VF041622_FC1","3",Chamber 4,"","","tone 06",0,0.000,0.00,0.00,128.30,0,672
"VF041622_FC1","3",Chamber 4,"","","post-tone",1,1.167,0.13,0.65,133.67,0,2544

