"Date :",04/22/22 13:18:47
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:03:15.000",25,5850,750
"tone 03"," 0:04:02.000",25,7260,750
"tone 04"," 0:04:47.000",25,8610,750
"post-tone"," 0:05:12.000",120,9360,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF042222_ER","1",Chamber 1,"","","pre-tone",6,7.533,1.74,6.28,161.04,0,1348
"VF042222_ER","1",Chamber 1,"","","tone 01",5,10.633,2.46,42.53,86.63,0,805
"VF042222_ER","1",Chamber 1,"","","tone 02",4,7.200,1.67,28.80,112.71,0,893
"VF042222_ER","1",Chamber 1,"","","tone 03",4,11.200,2.59,44.80,72.82,0,746
"VF042222_ER","1",Chamber 1,"","","tone 04",3,4.767,1.10,19.07,182.85,0,978
"VF042222_ER","1",Chamber 1,"","","post-tone",17,25.133,5.82,20.94,136.57,0,1198

"VF042222_ER","1",Chamber 2,"","","pre-tone",10,11.700,2.71,9.75,199.67,0,1560
"VF042222_ER","1",Chamber 2,"","","tone 01",4,17.900,4.14,71.60,21.06,0,220
"VF042222_ER","1",Chamber 2,"","","tone 02",5,17.967,4.16,71.87,34.81,0,696
"VF042222_ER","1",Chamber 2,"","","tone 03",4,15.800,3.66,63.20,54.68,0,444
"VF042222_ER","1",Chamber 2,"","","tone 04",4,12.633,2.92,50.53,66.41,0,646
"VF042222_ER","1",Chamber 2,"","","post-tone",21,46.067,10.66,38.39,134.67,0,1494

"VF042222_ER","1",Chamber 3,"","","pre-tone",2,2.167,0.50,1.81,120.97,0,1114
"VF042222_ER","1",Chamber 3,"","","tone 01",5,16.900,3.91,67.60,54.73,0,1123
"VF042222_ER","1",Chamber 3,"","","tone 02",6,20.767,4.81,83.07,8.93,0,297
"VF042222_ER","1",Chamber 3,"","","tone 03",3,24.000,5.56,96.00,0.90,0,82
"VF042222_ER","1",Chamber 3,"","","tone 04",4,17.367,4.02,69.47,29.73,0,388
"VF042222_ER","1",Chamber 3,"","","post-tone",12,18.567,4.30,15.47,130.04,0,1497

"VF042222_ER","1",Chamber 4,"","","pre-tone",10,12.200,2.82,10.17,154.19,0,1563
"VF042222_ER","1",Chamber 4,"","","tone 01",6,13.000,3.01,52.00,59.86,0,702
"VF042222_ER","1",Chamber 4,"","","tone 02",3,5.167,1.20,20.67,120.14,0,994
"VF042222_ER","1",Chamber 4,"","","tone 03",6,14.933,3.46,59.73,17.97,0,222
"VF042222_ER","1",Chamber 4,"","","tone 04",3,6.400,1.48,25.60,50.37,0,424
"VF042222_ER","1",Chamber 4,"","","post-tone",10,15.333,3.55,12.78,176.21,0,1643

"VF042222_ER","2",Chamber 1,"","","pre-tone",8,11.233,2.60,9.36,193.03,0,1386
"VF042222_ER","2",Chamber 1,"","","tone 01",4,20.100,4.65,80.40,20.10,0,868
"VF042222_ER","2",Chamber 1,"","","tone 02",6,20.700,4.79,82.80,13.57,0,410
"VF042222_ER","2",Chamber 1,"","","tone 03",4,18.000,4.17,72.00,24.76,0,458
"VF042222_ER","2",Chamber 1,"","","tone 04",2,21.167,4.90,84.67,8.20,0,281
"VF042222_ER","2",Chamber 1,"","","post-tone",15,23.600,5.46,19.67,110.89,0,2480

"VF042222_ER","2",Chamber 2,"","","pre-tone",5,6.133,1.42,5.11,277.18,0,1746
"VF042222_ER","2",Chamber 2,"","","tone 01",5,12.467,2.89,49.87,84.21,0,797
"VF042222_ER","2",Chamber 2,"","","tone 02",3,7.300,1.69,29.20,108.39,0,1174
"VF042222_ER","2",Chamber 2,"","","tone 03",4,8.667,2.01,34.67,113.72,0,1338
"VF042222_ER","2",Chamber 2,"","","tone 04",5,8.633,2.00,34.53,141.46,0,2028
"VF042222_ER","2",Chamber 2,"","","post-tone",18,22.700,5.25,18.92,230.25,0,1403

"VF042222_ER","2",Chamber 3,"","","pre-tone",3,3.300,0.76,2.75,184.98,0,1515
"VF042222_ER","2",Chamber 3,"","","tone 01",5,8.933,2.07,35.73,33.98,0,777
"VF042222_ER","2",Chamber 3,"","","tone 02",6,12.000,2.78,48.00,58.84,0,602
"VF042222_ER","2",Chamber 3,"","","tone 03",8,14.267,3.30,57.07,15.85,0,237
"VF042222_ER","2",Chamber 3,"","","tone 04",3,4.767,1.10,19.07,179.50,0,1083
"VF042222_ER","2",Chamber 3,"","","post-tone",15,24.900,5.76,20.75,111.60,0,1127

"VF042222_ER","2",Chamber 4,"","","pre-tone",12,17.667,4.09,14.72,147.52,0,1910
"VF042222_ER","2",Chamber 4,"","","tone 01",5,10.133,2.35,40.53,88.80,0,1623
"VF042222_ER","2",Chamber 4,"","","tone 02",6,11.267,2.61,45.07,58.70,0,946
"VF042222_ER","2",Chamber 4,"","","tone 03",4,15.867,3.67,63.47,47.03,0,867
"VF042222_ER","2",Chamber 4,"","","tone 04",5,18.467,4.27,73.87,15.89,0,202
"VF042222_ER","2",Chamber 4,"","","post-tone",24,43.200,10.00,36.00,37.63,0,555

"VF042222_ER","3",Chamber 1,"","","pre-tone",9,10.233,2.37,8.53,287.19,0,1958
"VF042222_ER","3",Chamber 1,"","","tone 01",4,15.033,3.48,60.13,57.77,0,1017
"VF042222_ER","3",Chamber 1,"","","tone 02",7,11.133,2.58,44.53,48.46,0,455
"VF042222_ER","3",Chamber 1,"","","tone 03",4,5.133,1.19,20.53,209.13,0,1897
"VF042222_ER","3",Chamber 1,"","","tone 04",7,13.400,3.10,53.60,77.91,0,663
"VF042222_ER","3",Chamber 1,"","","post-tone",15,20.933,4.85,17.44,174.60,0,1335

"VF042222_ER","3",Chamber 2,"","","pre-tone",9,10.633,2.46,8.86,193.23,0,2005
"VF042222_ER","3",Chamber 2,"","","tone 01",8,15.100,3.50,60.40,66.08,0,782
"VF042222_ER","3",Chamber 2,"","","tone 02",5,11.700,2.71,46.80,122.18,0,1895
"VF042222_ER","3",Chamber 2,"","","tone 03",4,6.167,1.43,24.67,251.03,0,1906
"VF042222_ER","3",Chamber 2,"","","tone 04",3,3.200,0.74,12.80,126.03,0,814
"VF042222_ER","3",Chamber 2,"","","post-tone",3,3.567,0.83,2.97,295.63,0,2146

"VF042222_ER","3",Chamber 3,"","","pre-tone",9,12.767,2.96,10.64,161.06,0,1482
"VF042222_ER","3",Chamber 3,"","","tone 01",1,12.033,2.79,48.13,39.93,0,790
"VF042222_ER","3",Chamber 3,"","","tone 02",4,22.000,5.09,88.00,3.06,0,123
"VF042222_ER","3",Chamber 3,"","","tone 03",5,17.000,3.94,68.00,18.59,0,356
"VF042222_ER","3",Chamber 3,"","","tone 04",2,2.467,0.57,9.87,121.02,0,900
"VF042222_ER","3",Chamber 3,"","","post-tone",2,2.267,0.52,1.89,253.27,0,1765

"VF042222_ER","3",Chamber 4,"","","pre-tone",1,1.033,0.24,0.86,246.26,0,1626
"VF042222_ER","3",Chamber 4,"","","tone 01",3,3.600,0.83,14.40,108.29,0,1020
"VF042222_ER","3",Chamber 4,"","","tone 02",0,0.000,0.00,0.00,270.72,0,1649
"VF042222_ER","3",Chamber 4,"","","tone 03",0,0.000,0.00,0.00,300.54,0,1521
"VF042222_ER","3",Chamber 4,"","","tone 04",0,0.000,0.00,0.00,294.75,0,1338
"VF042222_ER","3",Chamber 4,"","","post-tone",0,0.000,0.00,0.00,270.13,0,2004

"VF042222_ER","4",Chamber 1,"","","pre-tone",2,3.733,0.86,3.11,185.44,0,1415
"VF042222_ER","4",Chamber 1,"","","tone 01",6,11.300,2.62,45.20,65.78,0,639
"VF042222_ER","4",Chamber 1,"","","tone 02",5,11.600,2.69,46.40,104.24,0,1232
"VF042222_ER","4",Chamber 1,"","","tone 03",2,2.300,0.53,9.20,160.31,0,934
"VF042222_ER","4",Chamber 1,"","","tone 04",3,5.267,1.22,21.07,82.74,0,985
