"Date :",05/14/22 13:30:05
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:02:42.000",25,4860,750
"tone 03"," 0:03:15.000",25,5850,750
"tone 04"," 0:04:02.000",25,7260,750
"tone 05"," 0:04:47.000",25,8610,750
"tone 06"," 0:05:29.000",25,9870,750
"tone 07"," 0:06:09.000",25,11070,750
"tone 08"," 0:06:54.000",25,12420,750
"tone 09"," 0:07:24.000",25,13320,750
"tone 10"," 0:08:08.000",25,14640,750
"tone 11"," 0:08:45.000",25,15750,750
"tone 12"," 0:09:15.000",25,16650,750
"post-tone"," 0:09:40.000",120,17400,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF051222_E1","1",Chamber 1,"","","pre-tone",9,10.933,1.56,9.11,182.98,0,1406
"VF051222_E1","1",Chamber 1,"","","tone 01",6,14.600,2.09,58.40,38.26,0,1114
"VF051222_E1","1",Chamber 1,"","","tone 02",5,12.000,1.71,48.00,15.89,0,270
"VF051222_E1","1",Chamber 1,"","","tone 03",6,16.367,2.34,65.47,9.92,0,343
"VF051222_E1","1",Chamber 1,"","","tone 04",4,19.333,2.76,77.33,5.52,0,182
"VF051222_E1","1",Chamber 1,"","","tone 05",2,6.267,0.90,25.07,78.71,0,530
"VF051222_E1","1",Chamber 1,"","","tone 06",3,5.833,0.83,23.33,109.48,0,619
"VF051222_E1","1",Chamber 1,"","","tone 07",8,19.000,2.71,76.00,13.10,0,352
"VF051222_E1","1",Chamber 1,"","","tone 08",7,14.633,2.09,58.53,49.59,0,579
"VF051222_E1","1",Chamber 1,"","","tone 09",3,13.933,1.99,55.73,37.39,0,365
"VF051222_E1","1",Chamber 1,"","","tone 10",4,16.800,2.40,67.20,17.73,0,405
"VF051222_E1","1",Chamber 1,"","","tone 11",4,18.433,2.63,73.73,9.55,0,160
"VF051222_E1","1",Chamber 1,"","","tone 12",1,1.533,0.22,6.13,235.01,0,884
"VF051222_E1","1",Chamber 1,"","","post-tone",9,31.200,4.46,26.00,148.60,0,1281

"VF051222_E1","1",Chamber 2,"","","pre-tone",11,16.267,2.32,13.56,186.90,0,1467
"VF051222_E1","1",Chamber 2,"","","tone 01",4,11.667,1.67,46.67,89.13,0,1761
"VF051222_E1","1",Chamber 2,"","","tone 02",2,11.600,1.66,46.40,34.89,0,482
"VF051222_E1","1",Chamber 2,"","","tone 03",6,15.533,2.22,62.13,29.96,0,817
"VF051222_E1","1",Chamber 2,"","","tone 04",5,14.433,2.06,57.73,30.09,0,308
"VF051222_E1","1",Chamber 2,"","","tone 05",6,19.800,2.83,79.20,7.15,0,212
"VF051222_E1","1",Chamber 2,"","","tone 06",8,17.233,2.46,68.93,15.04,0,222
"VF051222_E1","1",Chamber 2,"","","tone 07",2,4.133,0.59,16.53,102.01,0,937
"VF051222_E1","1",Chamber 2,"","","tone 08",3,8.933,1.28,35.73,52.75,0,654
"VF051222_E1","1",Chamber 2,"","","tone 09",2,2.667,0.38,10.67,110.67,0,1102
"VF051222_E1","1",Chamber 2,"","","tone 10",5,13.933,1.99,55.73,34.76,0,375
"VF051222_E1","1",Chamber 2,"","","tone 11",3,9.367,1.34,37.47,80.85,0,1005
"VF051222_E1","1",Chamber 2,"","","tone 12",5,12.933,1.85,51.73,35.05,0,428
"VF051222_E1","1",Chamber 2,"","","post-tone",8,13.467,1.92,11.22,148.88,0,1434

"VF051222_E1","1",Chamber 3,"","","pre-tone",2,3.733,0.53,3.11,174.06,0,1478
"VF051222_E1","1",Chamber 3,"","","tone 01",7,22.167,3.17,88.67,8.98,0,640
"VF051222_E1","1",Chamber 3,"","","tone 02",4,13.167,1.88,52.67,20.70,0,428
"VF051222_E1","1",Chamber 3,"","","tone 03",7,11.067,1.58,44.27,23.45,0,343
"VF051222_E1","1",Chamber 3,"","","tone 04",7,21.533,3.08,86.13,3.55,0,128
"VF051222_E1","1",Chamber 3,"","","tone 05",4,18.667,2.67,74.67,15.09,0,330
"VF051222_E1","1",Chamber 3,"","","tone 06",2,7.267,1.04,29.07,126.23,0,1341
"VF051222_E1","1",Chamber 3,"","","tone 07",7,18.000,2.57,72.00,17.95,0,301
"VF051222_E1","1",Chamber 3,"","","tone 08",5,18.533,2.65,74.13,9.52,0,245
"VF051222_E1","1",Chamber 3,"","","tone 09",2,6.067,0.87,24.27,71.98,0,534
"VF051222_E1","1",Chamber 3,"","","tone 10",4,6.133,0.88,24.53,78.39,0,838
"VF051222_E1","1",Chamber 3,"","","tone 11",3,9.433,1.35,37.73,133.84,0,1052
"VF051222_E1","1",Chamber 3,"","","tone 12",4,11.667,1.67,46.67,23.61,0,303
"VF051222_E1","1",Chamber 3,"","","post-tone",4,9.533,1.36,7.94,148.86,0,1182

"VF051222_E1","1",Chamber 4,"","","pre-tone",5,5.733,0.82,4.78,186.93,0,1439
"VF051222_E1","1",Chamber 4,"","","tone 01",2,24.600,3.51,98.40,1.50,0,122
"VF051222_E1","1",Chamber 4,"","","tone 02",3,23.000,3.29,92.00,0.89,0,48
"VF051222_E1","1",Chamber 4,"","","tone 03",1,25.000,3.57,100.00,0.15,0,9
"VF051222_E1","1",Chamber 4,"","","tone 04",2,24.533,3.50,98.13,0.69,0,37
"VF051222_E1","1",Chamber 4,"","","tone 05",3,24.267,3.47,97.07,0.99,0,53
"VF051222_E1","1",Chamber 4,"","","tone 06",3,21.500,3.07,86.00,2.37,0,108
"VF051222_E1","1",Chamber 4,"","","tone 07",5,8.767,1.25,35.07,20.04,0,248
"VF051222_E1","1",Chamber 4,"","","tone 08",0,0.000,0.00,0.00,144.67,0,984
"VF051222_E1","1",Chamber 4,"","","tone 09",0,0.000,0.00,0.00,201.51,0,1178
"VF051222_E1","1",Chamber 4,"","","tone 10",3,7.000,1.00,28.00,94.62,0,931
"VF051222_E1","1",Chamber 4,"","","tone 11",4,7.933,1.13,31.73,83.10,0,658
"VF051222_E1","1",Chamber 4,"","","tone 12",3,21.100,3.01,84.40,10.84,0,423
"VF051222_E1","1",Chamber 4,"","","post-tone",6,7.800,1.11,6.50,163.47,0,1801

"VF051222_E1","2",Chamber 1,"","","pre-tone",8,11.867,1.70,9.89,250.70,0,2098
"VF051222_E1","2",Chamber 1,"","","tone 01",5,21.033,3.00,84.13,37.92,0,1041
"VF051222_E1","2",Chamber 1,"","","tone 02",5,20.567,2.94,82.27,4.65,0,124
"VF051222_E1","2",Chamber 1,"","","tone 03",4,21.367,3.05,85.47,2.52,0,216
"VF051222_E1","2",Chamber 1,"","","tone 04",5,20.200,2.89,80.80,21.62,0,591
"VF051222_E1","2",Chamber 1,"","","tone 05",5,18.067,2.58,72.27,32.28,0,473
"VF051222_E1","2",Chamber 1,"","","tone 06",4,13.533,1.93,54.13,62.28,0,594
"VF051222_E1","2",Chamber 1,"","","tone 07",4,5.967,0.85,23.87,110.69,0,1184
"VF051222_E1","2",Chamber 1,"","","tone 08",5,19.067,2.72,76.27,16.78,0,970
"VF051222_E1","2",Chamber 1,"","","tone 09",2,6.233,0.89,24.93,114.15,0,599
"VF051222_E1","2",Chamber 1,"","","tone 10",3,8.400,1.20,33.60,101.73,0,739
"VF051222_E1","2",Chamber 1,"","","tone 11",6,17.967,2.57,71.87,23.58,0,359
"VF051222_E1","2",Chamber 1,"","","tone 12",2,13.700,1.96,54.80,50.35,0,1170
"VF051222_E1","2",Chamber 1,"","","post-tone",7,10.333,1.48,8.61,167.25,0,1290

"VF051222_E1","2",Chamber 2,"","","pre-tone",4,4.833,0.69,4.03,221.34,0,1478
"VF051222_E1","2",Chamber 2,"","","tone 01",5,6.100,0.87,24.40,66.28,0,1220
"VF051222_E1","2",Chamber 2,"","","tone 02",5,14.100,2.01,56.40,64.06,0,904
"VF051222_E1","2",Chamber 2,"","","tone 03",6,18.500,2.64,74.00,11.43,0,281
"VF051222_E1","2",Chamber 2,"","","tone 04",6,13.800,1.97,55.20,49.21,0,700
"VF051222_E1","2",Chamber 2,"","","tone 05",6,16.733,2.39,66.93,19.13,0,350
"VF051222_E1","2",Chamber 2,"","","tone 06",4,11.700,1.67,46.80,20.22,0,236
"VF051222_E1","2",Chamber 2,"","","tone 07",4,5.633,0.80,22.53,149.70,0,1070
"VF051222_E1","2",Chamber 2,"","","tone 08",6,15.000,2.14,60.00,19.37,0,193
"VF051222_E1","2",Chamber 2,"","","tone 09",4,11.300,1.61,45.20,61.95,0,511
"VF051222_E1","2",Chamber 2,"","","tone 10",3,17.567,2.51,70.27,24.50,0,447
"VF051222_E1","2",Chamber 2,"","","tone 11",5,10.000,1.43,40.00,69.55,0,676
"VF051222_E1","2",Chamber 2,"","","tone 12",5,13.667,1.95,54.67,39.99,0,477
"VF051222_E1","2",Chamber 2,"","","post-tone",5,7.467,1.07,6.22,169.65,0,1081

"VF051222_E1","2",Chamber 3,"","","pre-tone",15,24.767,3.54,20.64,133.31,0,1424
"VF051222_E1","2",Chamber 3,"","","tone 01",5,18.633,2.66,74.53,18.30,0,380
"VF051222_E1","2",Chamber 3,"","","tone 02",6,14.433,2.06,57.73,77.53,0,999
"VF051222_E1","2",Chamber 3,"","","tone 03",6,15.567,2.22,62.27,39.30,0,587
"VF051222_E1","2",Chamber 3,"","","tone 04",5,15.233,2.18,60.93,34.26,0,442
"VF051222_E1","2",Chamber 3,"","","tone 05",5,15.367,2.20,61.47,67.76,0,1023
"VF051222_E1","2",Chamber 3,"","","tone 06",3,9.767,1.40,39.07,95.60,0,853
"VF051222_E1","2",Chamber 3,"","","tone 07",5,8.167,1.17,32.67,74.95,0,831
"VF051222_E1","2",Chamber 3,"","","tone 08",4,8.300,1.19,33.20,105.75,0,599
"VF051222_E1","2",Chamber 3,"","","tone 09",4,9.300,1.33,37.20,79.55,0,886
"VF051222_E1","2",Chamber 3,"","","tone 10",4,9.133,1.30,36.53,67.92,0,907
"VF051222_E1","2",Chamber 3,"","","tone 11",3,5.133,0.73,20.53,155.21,0,876
"VF051222_E1","2",Chamber 3,"","","tone 12",4,14.633,2.09,58.53,35.18,0,406
"VF051222_E1","2",Chamber 3,"","","post-tone",4,4.967,0.71,4.14,209.25,0,1387

"VF051222_E1","2",Chamber 4,"","","pre-tone",15,24.300,3.47,20.25,121.64,0,1205
"VF051222_E1","2",Chamber 4,"","","tone 01",1,24.233,3.46,96.93,0.48,0,71
"VF051222_E1","2",Chamber 4,"","","tone 02",4,21.000,3.00,84.00,5.26,0,215
"VF051222_E1","2",Chamber 4,"","","tone 03",5,18.833,2.69,75.33,11.38,0,204
"VF051222_E1","2",Chamber 4,"","","tone 04",6,22.533,3.22,90.13,2.18,0,75
"VF051222_E1","2",Chamber 4,"","","tone 05",6,19.467,2.78,77.87,13.09,0,291
"VF051222_E1","2",Chamber 4,"","","tone 06",2,24.333,3.48,97.33,0.53,0,65
"VF051222_E1","2",Chamber 4,"","","tone 07",3,15.567,2.22,62.27,34.21,0,584
"VF051222_E1","2",Chamber 4,"","","tone 08",4,13.300,1.90,53.20,26.95,0,274
"VF051222_E1","2",Chamber 4,"","","tone 09",3,9.067,1.30,36.27,98.62,0,717
"VF051222_E1","2",Chamber 4,"","","tone 10",5,20.633,2.95,82.53,10.97,0,250
"VF051222_E1","2",Chamber 4,"","","tone 11",4,9.300,1.33,37.20,58.14,0,476
"VF051222_E1","2",Chamber 4,"","","tone 12",5,12.000,1.71,48.00,24.27,0,340
"VF051222_E1","2",Chamber 4,"","","post-tone",9,18.367,2.62,15.31,135.34,0,1307

"VF051222_E1","3",Chamber 1,"","","pre-tone",3,5.733,0.82,4.78,180.38,0,1298
"VF051222_E1","3",Chamber 1,"","","tone 01",6,20.200,2.89,80.80,9.61,0,222
"VF051222_E1","3",Chamber 1,"","","tone 02",4,20.800,2.97,83.20,7.84,0,265
"VF051222_E1","3",Chamber 1,"","","tone 03",6,15.600,2.23,62.40,22.35,0,498
"VF051222_E1","3",Chamber 1,"","","tone 04",4,17.800,2.54,71.20,13.33,0,223
"VF051222_E1","3",Chamber 1,"","","tone 05",5,16.467,2.35,65.87,14.81,0,273
"VF051222_E1","3",Chamber 1,"","","tone 06",4,12.067,1.72,48.27,29.75,0,313
"VF051222_E1","3",Chamber 1,"","","tone 07",5,16.967,2.42,67.87,20.30,0,348
"VF051222_E1","3",Chamber 1,"","","tone 08",2,19.800,2.83,79.20,10.93,0,258
"VF051222_E1","3",Chamber 1,"","","tone 09",3,21.867,3.12,87.47,6.00,0,147
"VF051222_E1","3",Chamber 1,"","","tone 10",2,8.500,1.21,34.00,143.97,0,1486
"VF051222_E1","3",Chamber 1,"","","tone 11",6,20.167,2.88,80.67,9.37,0,219
"VF051222_E1","3",Chamber 1,"","","tone 12",3,10.900,1.56,43.60,38.17,0,441
"VF051222_E1","3",Chamber 1,"","","post-tone",6,10.133,1.45,8.44,137.10,0,1198

"VF051222_E1","3",Chamber 2,"","","pre-tone",3,4.033,0.58,3.36,221.00,0,1218
"VF051222_E1","3",Chamber 2,"","","tone 01",3,7.033,1.00,28.13,95.59,0,926
"VF051222_E1","3",Chamber 2,"","","tone 02",6,11.100,1.59,44.40,32.15,0,494
"VF051222_E1","3",Chamber 2,"","","tone 03",5,10.467,1.50,41.87,50.37,0,384
"VF051222_E1","3",Chamber 2,"","","tone 04",5,19.867,2.84,79.47,10.53,0,254
"VF051222_E1","3",Chamber 2,"","","tone 05",4,17.900,2.56,71.60,13.89,0,343
"VF051222_E1","3",Chamber 2,"","","tone 06",5,12.867,1.84,51.47,49.20,0,510
"VF051222_E1","3",Chamber 2,"","","tone 07",7,14.367,2.05,57.47,16.41,0,200
"VF051222_E1","3",Chamber 2,"","","tone 08",3,20.333,2.90,81.33,7.14,0,355
"VF051222_E1","3",Chamber 2,"","","tone 09",6,18.267,2.61,73.07,9.99,0,229
"VF051222_E1","3",Chamber 2,"","","tone 10",2,6.933,0.99,27.73,112.54,0,952
"VF051222_E1","3",Chamber 2,"","","tone 11",5,19.267,2.75,77.07,12.34,0,276
"VF051222_E1","3",Chamber 2,"","","tone 12",4,21.000,3.00,84.00,12.30,0,282
"VF051222_E1","3",Chamber 2,"","","post-tone",8,19.967,2.85,16.64,140.85,0,1098

"VF051222_E1","3",Chamber 3,"","","pre-tone",10,14.467,2.07,12.06,78.27,0,976
"VF051222_E1","3",Chamber 3,"","","tone 01",7,16.767,2.40,67.07,25.91,0,431
"VF051222_E1","3",Chamber 3,"","","tone 02",5,18.133,2.59,72.53,10.13,0,328
"VF051222_E1","3",Chamber 3,"","","tone 03",5,11.433,1.63,45.73,31.87,0,427
"VF051222_E1","3",Chamber 3,"","","tone 04",3,4.500,0.64,18.00,103.60,0,709
"VF051222_E1","3",Chamber 3,"","","tone 05",3,15.967,2.28,63.87,28.07,0,570
"VF051222_E1","3",Chamber 3,"","","tone 06",5,16.333,2.33,65.33,25.77,0,418
"VF051222_E1","3",Chamber 3,"","","tone 07",5,11.767,1.68,47.07,46.07,0,580
"VF051222_E1","3",Chamber 3,"","","tone 08",3,8.333,1.19,33.33,123.16,0,1067
"VF051222_E1","3",Chamber 3,"","","tone 09",3,19.800,2.83,79.20,12.51,0,251
"VF051222_E1","3",Chamber 3,"","","tone 10",3,5.400,0.77,21.60,71.12,0,581
"VF051222_E1","3",Chamber 3,"","","tone 11",5,13.333,1.90,53.33,35.69,0,350
"VF051222_E1","3",Chamber 3,"","","tone 12",4,10.300,1.47,41.20,50.52,0,548
"VF051222_E1","3",Chamber 3,"","","post-tone",9,23.833,3.40,19.86,123.63,0,1686

"VF051222_E1","3",Chamber 4,"","","pre-tone",13,24.267,3.47,20.22,131.26,0,1196
"VF051222_E1","3",Chamber 4,"","","tone 01",4,19.933,2.85,79.73,11.52,0,323
"VF051222_E1","3",Chamber 4,"","","tone 02",4,19.167,2.74,76.67,13.79,0,372
"VF051222_E1","3",Chamber 4,"","","tone 03",2,11.800,1.69,47.20,56.23,0,584
"VF051222_E1","3",Chamber 4,"","","tone 04",4,22.133,3.16,88.53,6.11,0,255
"VF051222_E1","3",Chamber 4,"","","tone 05",5,17.633,2.52,70.53,11.96,0,341
"VF051222_E1","3",Chamber 4,"","","tone 06",4,13.633,1.95,54.53,28.65,0,323
"VF051222_E1","3",Chamber 4,"","","tone 07",3,8.700,1.24,34.80,90.91,0,650
"VF051222_E1","3",Chamber 4,"","","tone 08",4,12.533,1.79,50.13,47.65,0,412
"VF051222_E1","3",Chamber 4,"","","tone 09",4,17.333,2.48,69.33,22.55,0,321
"VF051222_E1","3",Chamber 4,"","","tone 10",4,7.167,1.02,28.67,71.87,0,559
