"Date :",06/20/22 11:32:04
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:03:15.000",25,5850,750
"tone 03"," 0:04:02.000",25,7260,750
"tone 04"," 0:04:47.000",25,8610,750
"post-tone"," 0:05:12.000",120,9360,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF061322_SR","1",Chamber 1,"","","pre-tone",30,92.567,21.43,77.14,15.01,0,825
"VF061322_SR","1",Chamber 1,"","","tone 01",4,14.167,3.28,56.67,14.61,0,254
"VF061322_SR","1",Chamber 1,"","","tone 02",5,8.833,2.04,35.33,16.34,0,248
"VF061322_SR","1",Chamber 1,"","","tone 03",1,5.200,1.20,20.80,73.64,0,584
"VF061322_SR","1",Chamber 1,"","","tone 04",7,7.933,1.84,31.73,28.59,0,536
"VF061322_SR","1",Chamber 1,"","","post-tone",15,19.867,4.60,16.56,125.35,0,1483

"VF061322_SR","1",Chamber 2,"","","pre-tone",31,48.100,11.13,40.08,42.90,0,1126
"VF061322_SR","1",Chamber 2,"","","tone 01",2,24.600,5.69,98.40,0.59,0,52
"VF061322_SR","1",Chamber 2,"","","tone 02",2,24.533,5.68,98.13,0.35,0,37
"VF061322_SR","1",Chamber 2,"","","tone 03",4,23.500,5.44,94.00,1.27,0,76
"VF061322_SR","1",Chamber 2,"","","tone 04",2,21.133,4.89,84.53,1.44,0,86
"VF061322_SR","1",Chamber 2,"","","post-tone",5,14.833,3.43,12.36,210.24,0,1375

"VF061322_SR","1",Chamber 3,"","","pre-tone",8,10.933,2.53,9.11,76.00,0,1136
"VF061322_SR","1",Chamber 3,"","","tone 01",8,13.967,3.23,55.87,18.59,0,638
"VF061322_SR","1",Chamber 3,"","","tone 02",5,11.133,2.58,44.53,31.92,0,403
"VF061322_SR","1",Chamber 3,"","","tone 03",10,17.267,4.00,69.07,11.07,0,434
"VF061322_SR","1",Chamber 3,"","","tone 04",8,21.633,5.01,86.53,3.74,0,116
"VF061322_SR","1",Chamber 3,"","","post-tone",20,27.133,6.28,22.61,61.33,0,876

"VF061322_SR","1",Chamber 4,"","","pre-tone",35,45.533,10.54,37.94,11.76,0,388
"VF061322_SR","1",Chamber 4,"","","tone 01",9,22.933,5.31,91.73,2.35,0,64
"VF061322_SR","1",Chamber 4,"","","tone 02",9,11.433,2.65,45.73,8.27,0,263
"VF061322_SR","1",Chamber 4,"","","tone 03",6,8.667,2.01,34.67,21.50,0,315
"VF061322_SR","1",Chamber 4,"","","tone 04",7,8.867,2.05,35.47,48.67,0,668
"VF061322_SR","1",Chamber 4,"","","post-tone",9,12.400,2.87,10.33,123.79,0,1681

"VF061322_SR","2",Chamber 1,"","","pre-tone",15,21.333,4.94,17.78,49.99,0,615
"VF061322_SR","2",Chamber 1,"","","tone 01",9,18.633,4.31,74.53,3.23,0,206
"VF061322_SR","2",Chamber 1,"","","tone 02",7,14.867,3.44,59.47,7.39,0,123
"VF061322_SR","2",Chamber 1,"","","tone 03",8,23.133,5.35,92.53,1.91,0,62
"VF061322_SR","2",Chamber 1,"","","tone 04",6,7.167,1.66,28.67,48.67,0,509
"VF061322_SR","2",Chamber 1,"","","post-tone",2,2.567,0.59,2.14,237.07,0,1294

"VF061322_SR","2",Chamber 2,"","","pre-tone",15,18.167,4.21,15.14,63.51,0,777
"VF061322_SR","2",Chamber 2,"","","tone 01",6,20.233,4.68,80.93,3.31,0,171
"VF061322_SR","2",Chamber 2,"","","tone 02",4,11.300,2.62,45.20,11.96,0,246
"VF061322_SR","2",Chamber 2,"","","tone 03",7,12.400,2.87,49.60,13.92,0,157
"VF061322_SR","2",Chamber 2,"","","tone 04",3,6.667,1.54,26.67,64.48,0,740
"VF061322_SR","2",Chamber 2,"","","post-tone",10,11.667,2.70,9.72,162.44,0,1330

"VF061322_SR","2",Chamber 3,"","","pre-tone",28,40.967,9.48,34.14,39.08,0,892
"VF061322_SR","2",Chamber 3,"","","tone 01",5,20.233,4.68,80.93,4.75,0,150
"VF061322_SR","2",Chamber 3,"","","tone 02",5,17.467,4.04,69.87,26.90,0,574
"VF061322_SR","2",Chamber 3,"","","tone 03",10,18.067,4.18,72.27,11.17,0,210
"VF061322_SR","2",Chamber 3,"","","tone 04",8,11.200,2.59,44.80,53.75,0,786
"VF061322_SR","2",Chamber 3,"","","post-tone",12,15.200,3.52,12.67,131.93,0,1238

"VF061322_SR","2",Chamber 4,"","","pre-tone",4,9.700,2.25,8.08,73.63,0,1248
"VF061322_SR","2",Chamber 4,"","","tone 01",3,5.167,1.20,20.67,52.36,0,653
"VF061322_SR","2",Chamber 4,"","","tone 02",2,5.033,1.17,20.13,63.60,0,521
"VF061322_SR","2",Chamber 4,"","","tone 03",8,10.567,2.45,42.27,68.57,0,1057
"VF061322_SR","2",Chamber 4,"","","tone 04",1,3.133,0.73,12.53,126.33,0,891
"VF061322_SR","2",Chamber 4,"","","post-tone",2,2.200,0.51,1.83,168.23,0,1321

"VF061322_SR","4",Chamber 1,"","","pre-tone",8,9.433,2.18,7.86,155.82,0,1056
"VF061322_SR","4",Chamber 1,"","","tone 01",5,19.100,4.42,76.40,12.83,0,345
"VF061322_SR","4",Chamber 1,"","","tone 02",4,21.133,4.89,84.53,12.79,0,426
"VF061322_SR","4",Chamber 1,"","","tone 03",3,11.400,2.64,45.60,50.52,0,450
"VF061322_SR","4",Chamber 1,"","","tone 04",5,12.533,2.90,50.13,55.24,0,823
