"Date :",05/17/22 14:48:18
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:12.000",10,3960,300
"tone 02"," 0:02:32.000",10,4560,300
"tone 03"," 0:02:57.000",10,5310,300
"tone 04"," 0:03:20.000",10,6000,300
"tone 05"," 0:03:51.000",10,6930,300
"tone 06"," 0:04:20.000",10,7800,300
"tone 07"," 0:04:35.000",10,8250,300
"tone 08"," 0:04:54.000",10,8820,300
"tone 09"," 0:05:27.000",10,9810,300
"tone 10"," 0:05:43.000",10,10290,300
"tone 11"," 0:06:06.000",10,10980,300
"tone 12"," 0:06:23.000",10,11490,300
"post-tone"," 0:06:33.000",120,11790,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF051622_FC1","1",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,255.34,0,1275
"VF051622_FC1","1",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,328.19,1,1302
"VF051622_FC1","1",Chamber 1,"","","tone 02",0,0.000,0.00,0.00,386.91,10,1188
"VF051622_FC1","1",Chamber 1,"","","tone 03",0,0.000,0.00,0.00,260.45,0,1067
"VF051622_FC1","1",Chamber 1,"","","tone 04",0,0.000,0.00,0.00,188.26,0,965
"VF051622_FC1","1",Chamber 1,"","","tone 05",1,1.033,0.20,10.33,171.05,0,4537
"VF051622_FC1","1",Chamber 1,"","","tone 06",2,2.367,0.46,23.67,218.00,0,1428
"VF051622_FC1","1",Chamber 1,"","","tone 07",3,7.367,1.44,73.67,23.20,0,272
"VF051622_FC1","1",Chamber 1,"","","tone 08",0,0.000,0.00,0.00,226.29,0,945
"VF051622_FC1","1",Chamber 1,"","","tone 09",1,2.167,0.42,21.67,115.01,0,625
"VF051622_FC1","1",Chamber 1,"","","tone 10",0,0.000,0.00,0.00,80.53,0,284
