"Date :",11/01/22 17:44:36
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:02:42.000",25,4860,750
"tone 03"," 0:03:15.000",25,5850,750
"tone 04"," 0:04:02.000",25,7260,750
"tone 05"," 0:04:47.000",25,8610,750
"tone 06"," 0:05:29.000",25,9870,750
"tone 07"," 0:06:09.000",25,11070,750
"tone 08"," 0:06:54.000",25,12420,750
"tone 09"," 0:07:24.000",25,13320,750
"tone 10"," 0:08:08.000",25,14640,750
"tone 11"," 0:08:45.000",25,15750,750
"tone 12"," 0:09:15.000",25,16650,750
"post-tone"," 0:09:40.000",120,17400,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF102922_E3","1",Chamber 1,"","","pre-tone",31,42.867,6.12,35.72,15.03,0,344
"VF102922_E3","1",Chamber 1,"","","tone 01",6,8.667,1.24,34.67,57.41,0,917
"VF102922_E3","1",Chamber 1,"","","tone 02",7,9.433,1.35,37.73,21.53,0,370
"VF102922_E3","1",Chamber 1,"","","tone 03",7,14.433,2.06,57.73,31.98,0,478
"VF102922_E3","1",Chamber 1,"","","tone 04",5,6.833,0.98,27.33,19.96,0,511
"VF102922_E3","1",Chamber 1,"","","tone 05",5,9.733,1.39,38.93,40.64,0,360
"VF102922_E3","1",Chamber 1,"","","tone 06",1,1.200,0.17,4.80,52.15,0,743
"VF102922_E3","1",Chamber 1,"","","tone 07",1,2.800,0.40,11.20,95.77,0,610
"VF102922_E3","1",Chamber 1,"","","tone 08",4,5.100,0.73,20.40,61.03,0,491
"VF102922_E3","1",Chamber 1,"","","tone 09",2,3.467,0.50,13.87,83.09,0,872
"VF102922_E3","1",Chamber 1,"","","tone 10",1,1.200,0.17,4.80,187.93,0,967
"VF102922_E3","1",Chamber 1,"","","tone 11",2,2.433,0.35,9.73,151.43,0,1016
"VF102922_E3","1",Chamber 1,"","","tone 12",3,3.667,0.52,14.67,144.17,0,909
"VF102922_E3","1",Chamber 1,"","","post-tone",11,20.467,2.92,17.06,108.18,0,1114

"VF102922_E3","1",Chamber 2,"","","pre-tone",16,29.467,4.21,24.56,88.44,0,914
"VF102922_E3","1",Chamber 2,"","","tone 01",5,8.967,1.28,35.87,84.90,0,943
"VF102922_E3","1",Chamber 2,"","","tone 02",6,7.767,1.11,31.07,58.29,0,642
"VF102922_E3","1",Chamber 2,"","","tone 03",9,14.867,2.12,59.47,23.59,0,373
"VF102922_E3","1",Chamber 2,"","","tone 04",6,11.300,1.61,45.20,14.94,0,164
"VF102922_E3","1",Chamber 2,"","","tone 05",1,1.200,0.17,4.80,30.33,0,378
"VF102922_E3","1",Chamber 2,"","","tone 06",0,0.000,0.00,0.00,141.35,0,767
"VF102922_E3","1",Chamber 2,"","","tone 07",3,4.967,0.71,19.87,149.45,0,1059
"VF102922_E3","1",Chamber 2,"","","tone 08",3,5.200,0.74,20.80,131.64,0,1309
"VF102922_E3","1",Chamber 2,"","","tone 09",1,1.200,0.17,4.80,160.67,0,931
"VF102922_E3","1",Chamber 2,"","","tone 10",3,3.967,0.57,15.87,134.69,0,852
"VF102922_E3","1",Chamber 2,"","","tone 11",3,4.167,0.60,16.67,102.54,0,795
"VF102922_E3","1",Chamber 2,"","","tone 12",2,2.900,0.41,11.60,144.24,0,1176
"VF102922_E3","1",Chamber 2,"","","post-tone",11,18.800,2.69,15.67,126.40,0,1271

"VF102922_E3","1",Chamber 3,"","","pre-tone",11,18.900,2.70,15.75,105.88,0,1398
"VF102922_E3","1",Chamber 3,"","","tone 01",6,8.133,1.16,32.53,100.38,0,873
"VF102922_E3","1",Chamber 3,"","","tone 02",6,9.100,1.30,36.40,88.14,0,709
"VF102922_E3","1",Chamber 3,"","","tone 03",5,8.533,1.22,34.13,82.49,0,772
"VF102922_E3","1",Chamber 3,"","","tone 04",3,3.767,0.54,15.07,131.69,0,1342
"VF102922_E3","1",Chamber 3,"","","tone 05",4,5.767,0.82,23.07,92.60,0,665
"VF102922_E3","1",Chamber 3,"","","tone 06",0,0.000,0.00,0.00,124.53,0,900
"VF102922_E3","1",Chamber 3,"","","tone 07",4,4.833,0.69,19.33,113.59,0,1754
"VF102922_E3","1",Chamber 3,"","","tone 08",3,4.100,0.59,16.40,177.70,0,1184
"VF102922_E3","1",Chamber 3,"","","tone 09",4,5.400,0.77,21.60,91.65,0,937
"VF102922_E3","1",Chamber 3,"","","tone 10",2,4.000,0.57,16.00,112.13,0,883
"VF102922_E3","1",Chamber 3,"","","tone 11",1,1.133,0.16,4.53,131.07,0,1045
"VF102922_E3","1",Chamber 3,"","","tone 12",4,7.233,1.03,28.93,94.10,0,1229
"VF102922_E3","1",Chamber 3,"","","post-tone",23,39.500,5.64,32.92,78.66,0,857

"VF102922_E3","1",Chamber 4,"","","pre-tone",39,55.133,7.88,45.94,29.49,0,776
"VF102922_E3","1",Chamber 4,"","","tone 01",7,10.633,1.52,42.53,34.47,0,392
"VF102922_E3","1",Chamber 4,"","","tone 02",5,8.667,1.24,34.67,21.62,0,298
"VF102922_E3","1",Chamber 4,"","","tone 03",7,10.933,1.56,43.73,18.06,0,258
"VF102922_E3","1",Chamber 4,"","","tone 04",7,8.367,1.20,33.47,18.75,0,228
"VF102922_E3","1",Chamber 4,"","","tone 05",4,5.867,0.84,23.47,94.11,0,671
"VF102922_E3","1",Chamber 4,"","","tone 06",7,10.300,1.47,41.20,22.20,0,318
"VF102922_E3","1",Chamber 4,"","","tone 07",6,8.367,1.20,33.47,40.39,0,419
"VF102922_E3","1",Chamber 4,"","","tone 08",7,10.600,1.51,42.40,27.87,0,416
"VF102922_E3","1",Chamber 4,"","","tone 09",4,7.267,1.04,29.07,52.49,0,678
"VF102922_E3","1",Chamber 4,"","","tone 10",8,13.567,1.94,54.27,14.98,0,204
"VF102922_E3","1",Chamber 4,"","","tone 11",4,7.900,1.13,31.60,39.00,0,336
"VF102922_E3","1",Chamber 4,"","","tone 12",6,12.033,1.72,48.13,25.67,0,527
"VF102922_E3","1",Chamber 4,"","","post-tone",24,40.067,5.72,33.39,54.58,0,772

"VF102922_E3","2",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,161.94,0,1433
"VF102922_E3","2",Chamber 1,"","","tone 01",2,2.100,0.30,8.40,96.24,0,578
"VF102922_E3","2",Chamber 1,"","","tone 02",4,5.433,0.78,21.73,55.99,0,888
"VF102922_E3","2",Chamber 1,"","","tone 03",1,1.033,0.15,4.13,137.30,0,869
"VF102922_E3","2",Chamber 1,"","","tone 04",0,0.000,0.00,0.00,102.68,0,730
"VF102922_E3","2",Chamber 1,"","","tone 05",0,0.000,0.00,0.00,179.85,0,1192
"VF102922_E3","2",Chamber 1,"","","tone 06",1,1.000,0.14,4.00,185.03,0,1257
"VF102922_E3","2",Chamber 1,"","","tone 07",0,0.000,0.00,0.00,124.50,0,976
"VF102922_E3","2",Chamber 1,"","","tone 08",0,0.000,0.00,0.00,206.12,0,1137
"VF102922_E3","2",Chamber 1,"","","tone 09",5,8.133,1.16,32.53,116.77,0,941
"VF102922_E3","2",Chamber 1,"","","tone 10",0,0.000,0.00,0.00,203.48,0,1090
"VF102922_E3","2",Chamber 1,"","","tone 11",1,1.067,0.15,4.27,75.73,0,675
"VF102922_E3","2",Chamber 1,"","","tone 12",0,0.000,0.00,0.00,219.48,0,929
"VF102922_E3","2",Chamber 1,"","","post-tone",3,3.233,0.46,2.69,156.61,0,1147

"VF102922_E3","2",Chamber 2,"","","pre-tone",13,22.400,3.20,18.67,145.95,0,1104
"VF102922_E3","2",Chamber 2,"","","tone 01",3,6.900,0.99,27.60,104.11,0,636
"VF102922_E3","2",Chamber 2,"","","tone 02",3,10.733,1.53,42.93,68.74,0,638
"VF102922_E3","2",Chamber 2,"","","tone 03",4,12.567,1.80,50.27,48.96,0,706
"VF102922_E3","2",Chamber 2,"","","tone 04",3,13.267,1.90,53.07,59.07,0,591
"VF102922_E3","2",Chamber 2,"","","tone 05",4,19.033,2.72,76.13,23.01,0,349
"VF102922_E3","2",Chamber 2,"","","tone 06",4,12.767,1.82,51.07,58.30,0,756
"VF102922_E3","2",Chamber 2,"","","tone 07",4,7.767,1.11,31.07,51.65,0,514
"VF102922_E3","2",Chamber 2,"","","tone 08",4,10.767,1.54,43.07,91.30,0,944
"VF102922_E3","2",Chamber 2,"","","tone 09",2,16.600,2.37,66.40,64.76,0,1295
"VF102922_E3","2",Chamber 2,"","","tone 10",4,8.600,1.23,34.40,95.66,0,1006
"VF102922_E3","2",Chamber 2,"","","tone 11",3,5.500,0.79,22.00,109.59,0,847
"VF102922_E3","2",Chamber 2,"","","tone 12",4,9.467,1.35,37.87,99.73,0,703
"VF102922_E3","2",Chamber 2,"","","post-tone",16,31.467,4.50,26.22,145.41,0,1132

"VF102922_E3","2",Chamber 3,"","","pre-tone",5,6.433,0.92,5.36,140.13,0,1270
"VF102922_E3","2",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,200.36,0,1355
"VF102922_E3","2",Chamber 3,"","","tone 02",5,8.233,1.18,32.93,102.32,0,1136
"VF102922_E3","2",Chamber 3,"","","tone 03",1,1.367,0.20,5.47,106.08,0,469
"VF102922_E3","2",Chamber 3,"","","tone 04",2,2.767,0.40,11.07,172.93,0,1105
"VF102922_E3","2",Chamber 3,"","","tone 05",3,4.267,0.61,17.07,150.28,0,1119
"VF102922_E3","2",Chamber 3,"","","tone 06",2,2.233,0.32,8.93,134.80,0,1131
"VF102922_E3","2",Chamber 3,"","","tone 07",2,2.900,0.41,11.60,122.24,0,1080
"VF102922_E3","2",Chamber 3,"","","tone 08",1,1.367,0.20,5.47,146.63,0,781
"VF102922_E3","2",Chamber 3,"","","tone 09",5,5.967,0.85,23.87,125.41,0,1172
"VF102922_E3","2",Chamber 3,"","","tone 10",0,0.000,0.00,0.00,162.44,0,1257
"VF102922_E3","2",Chamber 3,"","","tone 11",1,1.567,0.22,6.27,213.72,0,1464
"VF102922_E3","2",Chamber 3,"","","tone 12",1,1.267,0.18,5.07,134.61,0,913
"VF102922_E3","2",Chamber 3,"","","post-tone",4,5.167,0.74,4.31,203.11,0,1584

"VF102922_E3","2",Chamber 4,"","","pre-tone",6,7.900,1.13,6.58,153.35,0,1260
