"Date :",12/19/22 13:33:07
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",180,0,5400
"tone 01"," 0:03:40.000",25,6600,750
"tone 02"," 0:05:55.000",25,10650,750
"tone 03"," 0:08:10.000",25,14700,750
"tone 04"," 0:09:05.000",25,16350,750
"tone 05"," 0:09:50.000",25,17700,750
"tone 06"," 0:12:15.000",25,22050,750
"post-tone"," 0:12:40.000",180,22800,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF110622_FC2","1",Chamber 1,"","","pre-tone",41,119.567,9.61,66.43,7.35,0,213
"VF110622_FC2","1",Chamber 1,"","","tone 01",2,6.267,0.50,25.07,45.32,0,381
"VF110622_FC2","1",Chamber 1,"","","tone 02",5,15.500,1.25,62.00,13.19,0,161
"VF110622_FC2","1",Chamber 1,"","","tone 03",4,7.733,0.62,30.93,39.99,0,299
"VF110622_FC2","1",Chamber 1,"","","tone 04",4,12.667,1.02,50.67,15.03,0,313
"VF110622_FC2","1",Chamber 1,"","","tone 05",4,10.533,0.85,42.13,12.61,0,167
"VF110622_FC2","1",Chamber 1,"","","tone 06",3,8.600,0.69,34.40,111.32,0,2481
"VF110622_FC2","1",Chamber 1,"","","post-tone",18,81.467,6.55,45.26,19.73,0,678

"VF110622_FC2","1",Chamber 2,"","","pre-tone",49,103.233,8.30,57.35,8.60,0,230
"VF110622_FC2","1",Chamber 2,"","","tone 01",9,20.400,1.64,81.60,2.70,0,69
"VF110622_FC2","1",Chamber 2,"","","tone 02",4,11.167,0.90,44.67,10.43,0,151
"VF110622_FC2","1",Chamber 2,"","","tone 03",4,19.600,1.58,78.40,9.55,0,484
"VF110622_FC2","1",Chamber 2,"","","tone 04",9,19.567,1.57,78.27,4.26,0,102
"VF110622_FC2","1",Chamber 2,"","","tone 05",2,9.067,0.73,36.27,21.11,0,212
"VF110622_FC2","1",Chamber 2,"","","tone 06",3,12.733,1.02,50.93,76.91,0,3012
"VF110622_FC2","1",Chamber 2,"","","post-tone",26,69.367,5.58,38.54,28.65,0,521

"VF110622_FC2","1",Chamber 3,"","","pre-tone",32,83.700,6.73,46.50,17.79,0,304
"VF110622_FC2","1",Chamber 3,"","","tone 01",2,5.867,0.47,23.47,39.25,0,382
"VF110622_FC2","1",Chamber 3,"","","tone 02",5,9.833,0.79,39.33,14.86,0,226
"VF110622_FC2","1",Chamber 3,"","","tone 03",3,17.200,1.38,68.80,18.22,0,350
"VF110622_FC2","1",Chamber 3,"","","tone 04",5,9.133,0.73,36.53,18.25,0,252
"VF110622_FC2","1",Chamber 3,"","","tone 05",9,16.633,1.34,66.53,5.66,0,117
"VF110622_FC2","1",Chamber 3,"","","tone 06",1,15.100,1.21,60.40,73.85,0,2969
"VF110622_FC2","1",Chamber 3,"","","post-tone",26,98.600,7.93,54.78,11.70,0,231

"VF110622_FC2","1",Chamber 4,"","","pre-tone",31,87.867,7.06,48.81,9.01,0,281
"VF110622_FC2","1",Chamber 4,"","","tone 01",5,11.833,0.95,47.33,10.52,0,134
"VF110622_FC2","1",Chamber 4,"","","tone 02",6,14.200,1.14,56.80,5.63,0,90
"VF110622_FC2","1",Chamber 4,"","","tone 03",1,20.567,1.65,82.27,3.41,0,112
"VF110622_FC2","1",Chamber 4,"","","tone 04",1,25.000,2.01,100.00,0.04,0,6
"VF110622_FC2","1",Chamber 4,"","","tone 05",5,17.033,1.37,68.13,4.29,0,92
"VF110622_FC2","1",Chamber 4,"","","tone 06",1,15.100,1.21,60.40,86.86,0,4376
"VF110622_FC2","1",Chamber 4,"","","post-tone",38,116.933,9.40,64.96,5.24,0,106

"VF110622_FC2","2",Chamber 1,"","","pre-tone",18,43.600,3.50,24.22,37.40,0,584
"VF110622_FC2","2",Chamber 1,"","","tone 01",2,3.333,0.27,13.33,35.04,0,365
"VF110622_FC2","2",Chamber 1,"","","tone 02",2,3.200,0.26,12.80,46.85,0,372
"VF110622_FC2","2",Chamber 1,"","","tone 03",4,20.833,1.67,83.33,2.97,0,155
"VF110622_FC2","2",Chamber 1,"","","tone 04",1,2.533,0.20,10.13,50.96,0,256
"VF110622_FC2","2",Chamber 1,"","","tone 05",1,3.067,0.25,12.27,49.96,0,254
"VF110622_FC2","2",Chamber 1,"","","tone 06",1,15.133,1.22,60.53,67.13,0,3093
"VF110622_FC2","2",Chamber 1,"","","post-tone",27,67.933,5.46,37.74,25.87,0,409

"VF110622_FC2","2",Chamber 2,"","","pre-tone",13,23.400,1.88,13.00,37.41,0,658
"VF110622_FC2","2",Chamber 2,"","","tone 01",7,16.367,1.32,65.47,7.04,0,147
"VF110622_FC2","2",Chamber 2,"","","tone 02",3,4.933,0.40,19.73,14.15,0,122
"VF110622_FC2","2",Chamber 2,"","","tone 03",4,19.667,1.58,78.67,4.40,0,111
"VF110622_FC2","2",Chamber 2,"","","tone 04",2,15.367,1.24,61.47,8.87,0,131
"VF110622_FC2","2",Chamber 2,"","","tone 05",1,1.100,0.09,4.40,72.01,0,370
"VF110622_FC2","2",Chamber 2,"","","tone 06",1,15.100,1.21,60.40,53.16,0,1970
"VF110622_FC2","2",Chamber 2,"","","post-tone",23,47.067,3.78,26.15,20.27,0,377

"VF110622_FC2","2",Chamber 3,"","","pre-tone",29,109.500,8.80,60.83,9.00,0,231
"VF110622_FC2","2",Chamber 3,"","","tone 01",2,2.267,0.18,9.07,30.82,0,329
"VF110622_FC2","2",Chamber 3,"","","tone 02",4,14.900,1.20,59.60,6.89,0,138
"VF110622_FC2","2",Chamber 3,"","","tone 03",5,15.767,1.27,63.07,9.90,0,186
"VF110622_FC2","2",Chamber 3,"","","tone 04",4,19.400,1.56,77.60,6.36,0,127
"VF110622_FC2","2",Chamber 3,"","","tone 05",5,10.933,0.88,43.73,18.43,0,179
"VF110622_FC2","2",Chamber 3,"","","tone 06",3,17.100,1.37,68.40,51.30,0,2920
"VF110622_FC2","2",Chamber 3,"","","post-tone",41,135.333,10.88,75.19,3.31,0,84

"VF110622_FC2","2",Chamber 4,"","","pre-tone",13,21.300,1.71,11.83,49.06,0,563
"VF110622_FC2","2",Chamber 4,"","","tone 01",2,4.167,0.33,16.67,52.94,0,521
"VF110622_FC2","2",Chamber 4,"","","tone 02",2,7.567,0.61,30.27,35.50,0,275
"VF110622_FC2","2",Chamber 4,"","","tone 03",3,18.267,1.47,73.07,21.43,0,563
"VF110622_FC2","2",Chamber 4,"","","tone 04",6,11.933,0.96,47.73,16.71,0,176
"VF110622_FC2","2",Chamber 4,"","","tone 05",4,11.267,0.91,45.07,28.13,0,418
"VF110622_FC2","2",Chamber 4,"","","tone 06",1,15.200,1.22,60.80,48.58,0,685
"VF110622_FC2","2",Chamber 4,"","","post-tone",28,87.100,7.00,48.39,18.03,0,536

