"Date :",03/30/24 11:18:31
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",305,0,9150
"tone 01"," 0:05:05.000",10,9150,300
"tone 02"," 0:08:25.000",10,15150,300
"tone 03"," 0:12:20.000",10,22200,300
"post-tone"," 0:12:30.000",180,22500,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF033024_FC1","2",Chamber 1,"B6-M-174-01","CR_N","pre-tone",12,15.600,1.68,5.11,73.50,0,1524
"VF033024_FC1","2",Chamber 1,"B6-M-174-01","CR_N","tone 01",1,1.500,0.16,15.00,49.81,0,374
"VF033024_FC1","2",Chamber 1,"B6-M-174-01","CR_N","tone 02",1,6.167,0.66,61.67,7.73,0,199
"VF033024_FC1","2",Chamber 1,"B6-M-174-01","CR_N","tone 03",2,2.533,0.27,25.33,68.88,0,2615
"VF033024_FC1","2",Chamber 1,"B6-M-174-01","CR_N","post-tone",9,169.267,18.20,94.04,6.11,0,1781

"VF033024_FC1","2",Chamber 2,"B6-M-174-02","CR_N","pre-tone",1,1.433,0.15,0.47,175.73,0,1209
"VF033024_FC1","2",Chamber 2,"B6-M-174-02","CR_N","tone 01",0,0.000,0.00,0.00,166.44,0,860
"VF033024_FC1","2",Chamber 2,"B6-M-174-02","CR_N","tone 02",3,4.767,0.51,47.67,10.68,0,123
"VF033024_FC1","2",Chamber 2,"B6-M-174-02","CR_N","tone 03",2,7.767,0.84,77.67,2.90,0,80
"VF033024_FC1","2",Chamber 2,"B6-M-174-02","CR_N","post-tone",31,117.633,12.65,65.35,21.18,0,2284

"VF033024_FC1","2",Chamber 3,"B6-M-174-03","CR_N","pre-tone",1,1.767,0.19,0.58,200.80,0,1787
"VF033024_FC1","2",Chamber 3,"B6-M-174-03","CR_N","tone 01",0,0.000,0.00,0.00,293.88,0,1173
"VF033024_FC1","2",Chamber 3,"B6-M-174-03","CR_N","tone 02",1,4.600,0.49,46.00,56.09,0,340
"VF033024_FC1","2",Chamber 3,"B6-M-174-03","CR_N","tone 03",3,6.033,0.65,60.33,31.74,0,461
"VF033024_FC1","2",Chamber 3,"B6-M-174-03","CR_N","post-tone",10,128.300,13.80,71.28,22.60,0,2758

"VF033024_FC1","3",Chamber 1,"B6-F-184-01","CR_Y","pre-tone",4,5.200,0.56,1.70,122.09,0,1620
"VF033024_FC1","3",Chamber 1,"B6-F-184-01","CR_Y","tone 01",0,0.000,0.00,0.00,139.89,0,718
"VF033024_FC1","3",Chamber 1,"B6-F-184-01","CR_Y","tone 02",1,1.267,0.14,12.67,39.75,0,430
"VF033024_FC1","3",Chamber 1,"B6-F-184-01","CR_Y","tone 03",1,1.067,0.11,10.67,53.35,0,405
"VF033024_FC1","3",Chamber 1,"B6-F-184-01","CR_Y","post-tone",28,63.033,6.78,35.02,30.53,0,1401

"VF033024_FC1","3",Chamber 2,"B6-F-184-02","CR_Y","pre-tone",1,1.200,0.13,0.39,227.51,0,1253
"VF033024_FC1","3",Chamber 2,"B6-F-184-02","CR_Y","tone 01",1,1.267,0.14,12.67,142.21,0,1013
"VF033024_FC1","3",Chamber 2,"B6-F-184-02","CR_Y","tone 02",0,0.000,0.00,0.00,108.81,0,652
"VF033024_FC1","3",Chamber 2,"B6-F-184-02","CR_Y","tone 03",1,2.833,0.30,28.33,94.28,0,761
"VF033024_FC1","3",Chamber 2,"B6-F-184-02","CR_Y","post-tone",25,80.900,8.70,44.94,37.10,0,3800

"VF033024_FC1","3",Chamber 3,"B6-F-184-03","CR_Y","pre-tone",2,2.867,0.31,0.94,100.35,0,985
"VF033024_FC1","3",Chamber 3,"B6-F-184-03","CR_Y","tone 01",0,0.000,0.00,0.00,66.39,0,375
"VF033024_FC1","3",Chamber 3,"B6-F-184-03","CR_Y","tone 02",0,0.000,0.00,0.00,58.63,0,387
"VF033024_FC1","3",Chamber 3,"B6-F-184-03","CR_Y","tone 03",2,2.500,0.27,25.00,24.23,0,174
"VF033024_FC1","3",Chamber 3,"B6-F-184-03","CR_Y","post-tone",11,155.967,16.77,86.65,11.27,0,2484

"VF033024_FC1","5",Chamber 1,"B6-F-183-01","CR_N","pre-tone",6,10.600,1.14,3.48,54.85,0,491
"VF033024_FC1","5",Chamber 1,"B6-F-183-01","CR_N","tone 01",0,0.000,0.00,0.00,79.38,0,706
"VF033024_FC1","5",Chamber 1,"B6-F-183-01","CR_N","tone 02",2,3.800,0.41,38.00,37.23,0,349
"VF033024_FC1","5",Chamber 1,"B6-F-183-01","CR_N","tone 03",2,7.433,0.80,74.33,17.64,0,294
"VF033024_FC1","5",Chamber 1,"B6-F-183-01","CR_N","post-tone",9,169.633,18.24,94.24,10.86,0,3039

"VF033024_FC1","5",Chamber 2,"B6-F-183-02","CR_N","pre-tone",5,7.533,0.81,2.47,104.31,0,752
"VF033024_FC1","5",Chamber 2,"B6-F-183-02","CR_N","tone 01",0,0.000,0.00,0.00,132.12,0,827
