"Date :",04/02/24 13:20:42
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:02:42.000",25,4860,750
"tone 03"," 0:03:15.000",25,5850,750
"tone 04"," 0:04:02.000",25,7260,750
"tone 05"," 0:04:47.000",25,8610,750
"tone 06"," 0:05:29.000",25,9870,750
"tone 07"," 0:06:09.000",25,11070,750
"tone 08"," 0:06:54.000",25,12420,750
"tone 09"," 0:07:24.000",25,13320,750
"tone 10"," 0:08:08.000",25,14640,750
"tone 11"," 0:08:45.000",25,15750,750
"tone 12"," 0:09:15.000",25,16650,750
"post-tone"," 0:09:40.000",120,17400,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","pre-tone",5,7.833,1.12,6.53,45.10,0,304
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 01",4,23.767,3.40,95.07,0.80,0,38
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 02",3,23.933,3.42,95.73,2.81,0,186
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 03",2,24.567,3.51,98.27,0.51,0,27
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 04",2,24.000,3.43,96.00,0.54,0,57
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 05",1,25.000,3.57,100.00,0.08,0,8
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 06",4,20.767,2.97,83.07,2.61,0,116
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 07",3,22.833,3.26,91.33,0.76,0,28
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 08",3,21.700,3.10,86.80,3.49,0,122
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 09",4,19.167,2.74,76.67,7.13,0,105
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 10",3,19.967,2.85,79.87,9.43,0,207
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 11",1,25.000,3.57,100.00,0.10,0,9
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","tone 12",2,24.867,3.55,99.47,0.45,0,39
"VF040224_5","",Chamber 1,"B6-F-183-01","CR_N","post-tone",15,103.133,14.73,85.94,2.43,0,262

