Date :,2012/10/21 13:44,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF120921_E2,1,Chamber 1,,,pre-tone,12,16.633,2.38,13.86,47.84,0,770
VF120921_E2,1,Chamber 1,,,tone 01,7,16.233,2.32,64.93,12.13,0,339
VF120921_E2,1,Chamber 1,,,tone 02,9,15,2.14,60,5.57,0,93
VF120921_E2,1,Chamber 1,,,tone 03,5,11.167,1.6,44.67,28.29,0,319
VF120921_E2,1,Chamber 1,,,tone 04,7,20.533,2.93,82.13,2.88,0,77
VF120921_E2,1,Chamber 1,,,tone 05,6,22.6,3.23,90.4,2.07,0,66
VF120921_E2,1,Chamber 1,,,tone 06,7,17.733,2.53,70.93,7.13,0,224
VF120921_E2,1,Chamber 1,,,tone 07,4,18.667,2.67,74.67,4.86,0,133
VF120921_E2,1,Chamber 1,,,tone 08,2,2.433,0.35,9.73,60.6,0,503
VF120921_E2,1,Chamber 1,,,tone 09,1,1.333,0.19,5.33,106.11,0,543
VF120921_E2,1,Chamber 1,,,tone 10,2,2.3,0.33,9.2,96.21,0,902
VF120921_E2,1,Chamber 1,,,tone 11,1,1.267,0.18,5.07,143.35,0,610
VF120921_E2,1,Chamber 1,,,tone 12,1,1.033,0.15,4.13,62.64,0,518
VF120921_E2,1,Chamber 1,,,post-tone,14,19.467,2.78,16.22,80.56,0,1317
,,,,,,,,,,,,
VF120921_E2,1,Chamber 2,,,pre-tone,12,19.1,2.73,15.92,125.62,0,1456
VF120921_E2,1,Chamber 2,,,tone 01,6,15.2,2.17,60.8,15.58,0,211
VF120921_E2,1,Chamber 2,,,tone 02,4,11.133,1.59,44.53,22.7,0,259
VF120921_E2,1,Chamber 2,,,tone 03,8,11.967,1.71,47.87,16.86,0,233
VF120921_E2,1,Chamber 2,,,tone 04,5,8.5,1.21,34,81.82,0,695
VF120921_E2,1,Chamber 2,,,tone 05,2,13.2,1.89,52.8,31.87,0,440
VF120921_E2,1,Chamber 2,,,tone 06,6,10.733,1.53,42.93,56.26,0,647
VF120921_E2,1,Chamber 2,,,tone 07,4,7.2,1.03,28.8,80.38,0,1366
VF120921_E2,1,Chamber 2,,,tone 08,4,8.6,1.23,34.4,105.86,0,957
VF120921_E2,1,Chamber 2,,,tone 09,3,5.933,0.85,23.73,57.45,0,636
VF120921_E2,1,Chamber 2,,,tone 10,4,7.867,1.12,31.47,66.02,0,521
VF120921_E2,1,Chamber 2,,,tone 11,3,5.767,0.82,23.07,133.57,0,1007
VF120921_E2,1,Chamber 2,,,tone 12,5,14.233,2.03,56.93,60.1,0,1506
VF120921_E2,1,Chamber 2,,,post-tone,11,23.367,3.34,19.47,113.92,0,1405
