Date :,02/18/22 16:42:30,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,355,0,10650,,,,,,,,
tone 01, 0:05:55.000,25,10650,750,,,,,,,,
tone 02, 0:09:05.000,25,16350,750,,,,,,,,
tone 03, 0:12:15.000,25,22050,750,,,,,,,,
post-tone, 0:12:40.000,180,22800,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF011222_FC2,2,Chamber 1,,,pre-tone,32,290.533,30.91,81.84,12.5,0,595
VF011222_FC2,2,Chamber 1,,,tone 01,4,22.9,2.44,91.6,1.87,0,99
VF011222_FC2,2,Chamber 1,,,tone 02,1,2.033,0.22,8.13,156.61,0,1059
VF011222_FC2,2,Chamber 1,,,tone 03,4,20.567,2.19,82.27,6.4,0,155
VF011222_FC2,2,Chamber 1,,,post-tone,15,149.533,15.91,83.07,23.83,0,1893
,,,,,,,,,,,,
VF011222_FC2,2,Chamber 2,,,pre-tone,52,117.567,12.51,33.12,73,0,1246
VF011222_FC2,2,Chamber 2,,,tone 01,3,19.433,2.07,77.73,51.73,0,1170
VF011222_FC2,2,Chamber 2,,,tone 02,4,13.633,1.45,54.53,86.46,0,1121
VF011222_FC2,2,Chamber 2,,,tone 03,4,9.133,0.97,36.53,98.93,0,769
VF011222_FC2,2,Chamber 2,,,post-tone,24,127.867,13.6,71.04,27.43,0,2766
,,,,,,,,,,,,
VF011222_FC2,2,Chamber 3,,,pre-tone,46,98.133,10.44,27.64,74.45,0,1254
VF011222_FC2,2,Chamber 3,,,tone 01,3,11.967,1.27,47.87,77.77,0,1309
VF011222_FC2,2,Chamber 3,,,tone 02,2,5.2,0.55,20.8,88.7,0,1344
VF011222_FC2,2,Chamber 3,,,tone 03,3,20.133,2.14,80.53,5.81,0,158
VF011222_FC2,2,Chamber 3,,,post-tone,17,93.4,9.94,51.89,47.16,0,2848
,,,,,,,,,,,,
VF011222_FC2,2,Chamber 4,,,pre-tone,44,116.967,12.44,32.95,50.07,0,1242
VF011222_FC2,2,Chamber 4,,,tone 01,2,15.933,1.7,63.73,16.75,0,223
VF011222_FC2,2,Chamber 4,,,tone 02,4,14.1,1.5,56.4,19.51,0,267
VF011222_FC2,2,Chamber 4,,,tone 03,2,9.633,1.02,38.53,34.97,0,344
VF011222_FC2,2,Chamber 4,,,post-tone,14,82.6,8.79,45.89,57.55,0,5464
