Date :,02/20/22 12:31:25,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF022022_E3,1,Chamber 1,,,pre-tone,13,25.967,3.71,21.64,143.38,0,1304
VF022022_E3,1,Chamber 1,,,tone 01,3,14.633,2.09,58.53,48.68,0,1033
VF022022_E3,1,Chamber 1,,,tone 02,3,7.3,1.04,29.2,95.06,0,667
VF022022_E3,1,Chamber 1,,,tone 03,3,17.933,2.56,71.73,46.63,0,477
VF022022_E3,1,Chamber 1,,,tone 04,3,9.6,1.37,38.4,110.94,0,886
VF022022_E3,1,Chamber 1,,,tone 05,3,16.133,2.3,64.53,45.29,0,516
VF022022_E3,1,Chamber 1,,,tone 06,2,21.6,3.09,86.4,10.46,0,222
VF022022_E3,1,Chamber 1,,,tone 07,3,23.1,3.3,92.4,3.93,0,233
VF022022_E3,1,Chamber 1,,,tone 08,3,15.533,2.22,62.13,49.28,0,580
VF022022_E3,1,Chamber 1,,,tone 09,3,7.3,1.04,29.2,143.17,0,944
VF022022_E3,1,Chamber 1,,,tone 10,4,12.7,1.81,50.8,62.78,0,679
VF022022_E3,1,Chamber 1,,,tone 11,3,7.633,1.09,30.53,124.95,0,1147
VF022022_E3,1,Chamber 1,,,tone 12,5,13.767,1.97,55.07,65.85,0,552
VF022022_E3,1,Chamber 1,,,post-tone,9,28.9,4.13,24.08,134.54,0,1172
,,,,,,,,,,,,
VF022022_E3,1,Chamber 2,,,pre-tone,3,3.933,0.56,3.28,291.83,0,1995
VF022022_E3,1,Chamber 2,,,tone 01,3,18.367,2.62,73.47,115.62,0,2306
VF022022_E3,1,Chamber 2,,,tone 02,2,10.033,1.43,40.13,44.25,0,894
VF022022_E3,1,Chamber 2,,,tone 03,4,17.7,2.53,70.8,50.71,0,774
VF022022_E3,1,Chamber 2,,,tone 04,5,13.1,1.87,52.4,66.67,0,775
VF022022_E3,1,Chamber 2,,,tone 05,3,19.333,2.76,77.33,42.79,0,599
VF022022_E3,1,Chamber 2,,,tone 06,7,13.767,1.97,55.07,38.2,0,413
VF022022_E3,1,Chamber 2,,,tone 07,3,10.667,1.52,42.67,86.05,0,702
VF022022_E3,1,Chamber 2,,,tone 08,4,6.367,0.91,25.47,179.3,0,1576
VF022022_E3,1,Chamber 2,,,tone 09,3,13.267,1.9,53.07,80.33,0,987
VF022022_E3,1,Chamber 2,,,tone 10,4,6.233,0.89,24.93,118.13,0,963
VF022022_E3,1,Chamber 2,,,tone 11,1,1.767,0.25,7.07,166.21,0,1376
VF022022_E3,1,Chamber 2,,,tone 12,1,1.833,0.26,7.33,118.63,0,815
