Date :,03/05/22 15:22:52,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:12.000,10,3960,300,,,,,,,,
tone 02, 0:02:32.000,10,4560,300,,,,,,,,
tone 03, 0:02:57.000,10,5310,300,,,,,,,,
tone 04, 0:03:20.000,10,6000,300,,,,,,,,
tone 05, 0:03:51.000,10,6930,300,,,,,,,,
tone 06, 0:04:20.000,10,7800,300,,,,,,,,
tone 07, 0:04:35.000,10,8250,300,,,,,,,,
tone 08, 0:04:54.000,10,8820,300,,,,,,,,
tone 09, 0:05:27.000,10,9810,300,,,,,,,,
tone 10, 0:05:43.000,10,10290,300,,,,,,,,
tone 11, 0:06:06.000,10,10980,300,,,,,,,,
tone 12, 0:06:23.000,10,11490,300,,,,,,,,
post-tone, 0:06:33.000,120,11790,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF030122_FC1,3,Chamber 1,,,pre-tone,0,0,0,0,228.69,0,1269
VF030122_FC1,3,Chamber 1,,,tone 01,0,0,0,0,200.07,0,799
VF030122_FC1,3,Chamber 1,,,tone 02,0,0,0,0,115.57,1,400
VF030122_FC1,3,Chamber 1,,,tone 03,0,0,0,0,103.18,0,436
VF030122_FC1,3,Chamber 1,,,tone 04,1,1.167,0.23,11.67,54.9,0,454
VF030122_FC1,3,Chamber 1,,,tone 05,1,1.733,0.34,17.33,48.24,0,278
VF030122_FC1,3,Chamber 1,,,tone 06,1,1.033,0.2,10.33,70.07,0,329
VF030122_FC1,3,Chamber 1,,,tone 07,1,2.6,0.51,26,55.58,0,275
VF030122_FC1,3,Chamber 1,,,tone 08,1,3.633,0.71,36.33,16.74,0,202
VF030122_FC1,3,Chamber 1,,,tone 09,3,9.067,1.77,90.67,2.81,0,67
VF030122_FC1,3,Chamber 1,,,tone 10,2,8.333,1.62,83.33,6.44,0,165
VF030122_FC1,3,Chamber 1,,,tone 11,1,6.067,1.18,60.67,33.25,0,342
VF030122_FC1,3,Chamber 1,,,tone 12,2,8.933,1.74,89.33,2.47,0,33
VF030122_FC1,3,Chamber 1,,,post-tone,8,93.033,18.14,77.53,11.62,0,326
,,,,,,,,,,,,
VF030122_FC1,3,Chamber 2,,,pre-tone,0,0,0,0,273.44,0,1702
VF030122_FC1,3,Chamber 2,,,tone 01,0,0,0,0,302.2,0,828
VF030122_FC1,3,Chamber 2,,,tone 02,0,0,0,0,182.1,2,583
VF030122_FC1,3,Chamber 2,,,tone 03,0,0,0,0,177.54,3,674
VF030122_FC1,3,Chamber 2,,,tone 04,0,0,0,0,191.13,0,1255
VF030122_FC1,3,Chamber 2,,,tone 05,0,0,0,0,135.08,0,643
VF030122_FC1,3,Chamber 2,,,tone 06,0,0,0,0,295.77,0,4166
VF030122_FC1,3,Chamber 2,,,tone 07,0,0,0,0,144.22,0,664
VF030122_FC1,3,Chamber 2,,,tone 08,0,0,0,0,154.5,0,1142
VF030122_FC1,3,Chamber 2,,,tone 09,0,0,0,0,325.78,0,3942
VF030122_FC1,3,Chamber 2,,,tone 10,1,4.433,0.86,44.33,268.93,0,7748
VF030122_FC1,3,Chamber 2,,,tone 11,1,1.6,0.31,16,354.07,0,3611
VF030122_FC1,3,Chamber 2,,,tone 12,0,0,0,0,313.43,0,4744
VF030122_FC1,3,Chamber 2,,,post-tone,20,81.3,15.85,67.75,20.93,0,4111
,,,,,,,,,,,,
VF030122_FC1,3,Chamber 3,,,pre-tone,0,0,0,0,181.9,0,866
VF030122_FC1,3,Chamber 3,,,tone 01,0,0,0,0,333.38,9,895
VF030122_FC1,3,Chamber 3,,,tone 02,0,0,0,0,133,0,431
VF030122_FC1,3,Chamber 3,,,tone 03,0,0,0,0,78.6,0,540
VF030122_FC1,3,Chamber 3,,,tone 04,0,0,0,0,82.9,0,479
VF030122_FC1,3,Chamber 3,,,tone 05,1,3.533,0.69,35.33,41.3,0,437
VF030122_FC1,3,Chamber 3,,,tone 06,5,7.867,1.53,78.67,4.6,0,58
VF030122_FC1,3,Chamber 3,,,tone 07,2,9.733,1.9,97.33,1.55,0,50
VF030122_FC1,3,Chamber 3,,,tone 08,3,4.2,0.82,42,14.99,0,225
VF030122_FC1,3,Chamber 3,,,tone 09,1,9.033,1.76,90.33,9.71,0,210
VF030122_FC1,3,Chamber 3,,,tone 10,3,5.033,0.98,50.33,15.71,0,199
VF030122_FC1,3,Chamber 3,,,tone 11,3,5.7,1.11,57,34.31,0,246
VF030122_FC1,3,Chamber 3,,,tone 12,0,0,0,0,278.41,0,3414
VF030122_FC1,3,Chamber 3,,,post-tone,10,72.233,14.08,60.19,25.47,0,763
,,,,,,,,,,,,
VF030122_FC1,3,Chamber 4,,,pre-tone,0,0,0,0,242.35,0,1459
VF030122_FC1,3,Chamber 4,,,tone 01,0,0,0,0,153.05,0,647
VF030122_FC1,3,Chamber 4,,,tone 02,0,0,0,0,178.9,4,886
VF030122_FC1,3,Chamber 4,,,tone 03,0,0,0,0,197.52,0,2986
VF030122_FC1,3,Chamber 4,,,tone 04,0,0,0,0,154.7,0,2747
VF030122_FC1,3,Chamber 4,,,tone 05,0,0,0,0,215.65,0,5758
VF030122_FC1,3,Chamber 4,,,tone 06,1,4.067,0.79,40.67,132.6,0,4109
VF030122_FC1,3,Chamber 4,,,tone 07,0,0,0,0,130.66,0,824
VF030122_FC1,3,Chamber 4,,,tone 08,0,0,0,0,39.42,0,223
VF030122_FC1,3,Chamber 4,,,tone 09,0,0,0,0,71.95,0,225
VF030122_FC1,3,Chamber 4,,,tone 10,1,1.1,0.21,11,34.56,0,374
VF030122_FC1,3,Chamber 4,,,tone 11,0,0,0,0,91.73,0,414
VF030122_FC1,3,Chamber 4,,,tone 12,0,0,0,0,77.36,0,400
VF030122_FC1,3,Chamber 4,,,post-tone,5,7,1.36,5.83,59.54,0,441
