Date :,03/14/22 12:57:51,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF031422_ER,1,Chamber 1,,,pre-tone,15,20,4.63,16.67,92,0,1208
VF031422_ER,1,Chamber 1,,,tone 01,3,22.633,5.24,90.53,4.17,0,226
VF031422_ER,1,Chamber 1,,,tone 02,5,20.067,4.65,80.27,11,0,394
VF031422_ER,1,Chamber 1,,,tone 03,6,14.667,3.4,58.67,23.75,0,390
VF031422_ER,1,Chamber 1,,,tone 04,6,10.633,2.46,42.53,45.84,0,588
VF031422_ER,1,Chamber 1,,,post-tone,11,16.367,3.79,13.64,147.2,0,1107
,,,,,,,,,,,,
VF031422_ER,1,Chamber 2,,,pre-tone,24,32.333,7.48,26.94,32.84,0,451
VF031422_ER,1,Chamber 2,,,tone 01,4,20,4.63,80,6.24,0,202
VF031422_ER,1,Chamber 2,,,tone 02,4,20.9,4.84,83.6,14.5,0,281
VF031422_ER,1,Chamber 2,,,tone 03,3,24.4,5.65,97.6,1.64,0,119
VF031422_ER,1,Chamber 2,,,tone 04,6,16.367,3.79,65.47,32.57,0,615
VF031422_ER,1,Chamber 2,,,post-tone,27,56.133,12.99,46.78,71.06,0,1564
,,,,,,,,,,,,
VF031422_ER,1,Chamber 3,,,pre-tone,11,12.633,2.92,10.53,62.74,0,733
VF031422_ER,1,Chamber 3,,,tone 01,6,16.2,3.75,64.8,35.9,0,535
VF031422_ER,1,Chamber 3,,,tone 02,9,18.167,4.21,72.67,8.73,0,166
VF031422_ER,1,Chamber 3,,,tone 03,3,5.7,1.32,22.8,52.2,0,547
VF031422_ER,1,Chamber 3,,,tone 04,6,13.533,3.13,54.13,22.54,0,284
VF031422_ER,1,Chamber 3,,,post-tone,12,17,3.94,14.17,95.26,0,1106
,,,,,,,,,,,,
VF031422_ER,1,Chamber 4,,,pre-tone,18,24.667,5.71,20.56,63.43,0,986
VF031422_ER,1,Chamber 4,,,tone 01,4,19.733,4.57,78.93,20.39,0,437
VF031422_ER,1,Chamber 4,,,tone 02,5,19.467,4.51,77.87,9.56,0,245
VF031422_ER,1,Chamber 4,,,tone 03,6,20.567,4.76,82.27,6.37,0,139
VF031422_ER,1,Chamber 4,,,tone 04,7,23.567,5.46,94.27,1.76,0,87
VF031422_ER,1,Chamber 4,,,post-tone,22,39.2,9.07,32.67,46.74,0,783
,,,,,,,,,,,,
VF031422_ER,2,Chamber 1,,,pre-tone,6,10.033,2.32,8.36,110.55,0,1207
VF031422_ER,2,Chamber 1,,,tone 01,5,15.567,3.6,62.27,17.88,0,243
VF031422_ER,2,Chamber 1,,,tone 02,5,14.5,3.36,58,10.27,0,277
VF031422_ER,2,Chamber 1,,,tone 03,5,14.767,3.42,59.07,13.77,0,266
VF031422_ER,2,Chamber 1,,,tone 04,2,2.8,0.65,11.2,72.64,0,640
VF031422_ER,2,Chamber 1,,,post-tone,19,27,6.25,22.5,112.89,0,1186
,,,,,,,,,,,,
VF031422_ER,2,Chamber 2,,,pre-tone,5,8.533,1.98,7.11,130.96,0,1004
VF031422_ER,2,Chamber 2,,,tone 01,3,15.9,3.68,63.6,22,0,378
VF031422_ER,2,Chamber 2,,,tone 02,2,8.067,1.87,32.27,37.43,0,354
VF031422_ER,2,Chamber 2,,,tone 03,2,4.433,1.03,17.73,75.21,0,552
VF031422_ER,2,Chamber 2,,,tone 04,2,4.333,1,17.33,105.66,0,922
VF031422_ER,2,Chamber 2,,,post-tone,9,15.8,3.66,13.17,87.13,0,1107
,,,,,,,,,,,,
VF031422_ER,2,Chamber 3,,,pre-tone,7,8.5,1.97,7.08,93.72,0,1101
VF031422_ER,2,Chamber 3,,,tone 01,5,13.467,3.12,53.87,50.08,0,1287
VF031422_ER,2,Chamber 3,,,tone 02,8,15.167,3.51,60.67,36.51,0,690
VF031422_ER,2,Chamber 3,,,tone 03,4,6.933,1.6,27.73,41.07,0,407
VF031422_ER,2,Chamber 3,,,tone 04,6,10.067,2.33,40.27,28.4,0,494
VF031422_ER,2,Chamber 3,,,post-tone,9,14.633,3.39,12.19,109.88,0,1330
,,,,,,,,,,,,
VF031422_ER,2,Chamber 4,,,pre-tone,11,16.833,3.9,14.03,95.21,0,849
VF031422_ER,2,Chamber 4,,,tone 01,5,17.433,4.04,69.73,19.42,0,344
VF031422_ER,2,Chamber 4,,,tone 02,6,7.633,1.77,30.53,58.49,0,473
VF031422_ER,2,Chamber 4,,,tone 03,3,4.167,0.96,16.67,140.83,0,2086
VF031422_ER,2,Chamber 4,,,tone 04,6,9.767,2.26,39.07,49.2,0,435
VF031422_ER,2,Chamber 4,,,post-tone,19,36.9,8.54,30.75,95.85,0,873
