"Date :",05/17/22 14:48:53
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",152,0,4560
"tone 01"," 0:02:32.000",10,4560,300
"tone 02"," 0:02:57.000",10,5310,300
"tone 03"," 0:03:20.000",10,6000,300
"tone 04"," 0:04:35.000",10,8250,300
"tone 05"," 0:05:27.000",10,9810,300
"tone 06"," 0:05:43.000",10,10290,300
"post-tone"," 0:05:53.000",160,10590,4800

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF051622_FC1","3",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,192.36,0,1325
"VF051622_FC1","3",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,211.54,0,715
"VF051622_FC1","3",Chamber 1,"","","tone 02",0,0.000,0.00,0.00,320.33,4,1288
"VF051622_FC1","3",Chamber 1,"","","tone 03",0,0.000,0.00,0.00,145.78,0,785
"VF051622_FC1","3",Chamber 1,"","","tone 04",3,7.000,1.36,70.00,12.00,0,147
"VF051622_FC1","3",Chamber 1,"","","tone 05",1,1.467,0.29,14.67,35.38,0,338
"VF051622_FC1","3",Chamber 1,"","","tone 06",1,10.000,1.95,100.00,2.47,0,16
"VF051622_FC1","3",Chamber 1,"","","post-tone",11,137.500,26.80,85.94,22.33,0,3448

"VF051622_FC1","3",Chamber 2,"","","pre-tone",0,0.000,0.00,0.00,232.58,0,1477
"VF051622_FC1","3",Chamber 2,"","","tone 01",0,0.000,0.00,0.00,324.93,0,1324
"VF051622_FC1","3",Chamber 2,"","","tone 02",0,0.000,0.00,0.00,241.70,0,636
"VF051622_FC1","3",Chamber 2,"","","tone 03",1,1.733,0.34,17.33,96.75,0,587
"VF051622_FC1","3",Chamber 2,"","","tone 04",1,1.900,0.37,19.00,95.05,0,756
"VF051622_FC1","3",Chamber 2,"","","tone 05",1,5.667,1.10,56.67,11.56,0,158
"VF051622_FC1","3",Chamber 2,"","","tone 06",2,5.367,1.05,53.67,19.93,0,370
"VF051622_FC1","3",Chamber 2,"","","post-tone",17,111.633,21.76,69.77,28.80,0,2929

"VF051622_FC1","3",Chamber 3,"","","pre-tone",0,0.000,0.00,0.00,141.73,0,1014
"VF051622_FC1","3",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,195.41,2,625
"VF051622_FC1","3",Chamber 3,"","","tone 02",0,0.000,0.00,0.00,122.30,3,613
"VF051622_FC1","3",Chamber 3,"","","tone 03",0,0.000,0.00,0.00,93.39,0,428
"VF051622_FC1","3",Chamber 3,"","","tone 04",0,0.000,0.00,0.00,54.40,0,346
"VF051622_FC1","3",Chamber 3,"","","tone 05",2,7.600,1.48,76.00,7.46,0,349
"VF051622_FC1","3",Chamber 3,"","","tone 06",0,0.000,0.00,0.00,162.86,0,724
"VF051622_FC1","3",Chamber 3,"","","post-tone",16,48.800,9.51,30.50,48.36,0,2917

"VF051622_FC1","3",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,168.28,0,1006
"VF051622_FC1","3",Chamber 4,"","","tone 01",0,0.000,0.00,0.00,244.96,0,1196
"VF051622_FC1","3",Chamber 4,"","","tone 02",0,0.000,0.00,0.00,177.19,0,539
"VF051622_FC1","3",Chamber 4,"","","tone 03",0,0.000,0.00,0.00,134.32,0,574
"VF051622_FC1","3",Chamber 4,"","","tone 04",2,5.233,1.02,52.33,17.00,0,211
"VF051622_FC1","3",Chamber 4,"","","tone 05",3,8.900,1.73,89.00,1.27,0,32
"VF051622_FC1","3",Chamber 4,"","","tone 06",1,2.167,0.42,21.67,241.28,0,3003
"VF051622_FC1","3",Chamber 4,"","","post-tone",28,69.133,13.48,43.21,59.12,0,5655

"VF051622_FC1","4",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,143.20,0,909
"VF051622_FC1","4",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,118.86,0,481
"VF051622_FC1","4",Chamber 1,"","","tone 02",0,0.000,0.00,0.00,152.37,0,972
"VF051622_FC1","4",Chamber 1,"","","tone 03",0,0.000,0.00,0.00,248.86,14,852
"VF051622_FC1","4",Chamber 1,"","","tone 04",1,2.667,0.52,26.67,37.38,0,593
"VF051622_FC1","4",Chamber 1,"","","tone 05",3,7.333,1.43,73.33,10.28,0,249
"VF051622_FC1","4",Chamber 1,"","","tone 06",1,1.200,0.23,12.00,145.14,0,1851
"VF051622_FC1","4",Chamber 1,"","","post-tone",10,45.100,8.79,28.19,77.64,0,2413

"VF051622_FC1","4",Chamber 2,"","","pre-tone",1,1.300,0.25,0.86,153.91,0,907
"VF051622_FC1","4",Chamber 2,"","","tone 01",0,0.000,0.00,0.00,137.27,0,438
"VF051622_FC1","4",Chamber 2,"","","tone 02",0,0.000,0.00,0.00,171.15,0,678
"VF051622_FC1","4",Chamber 2,"","","tone 03",0,0.000,0.00,0.00,60.78,0,300
"VF051622_FC1","4",Chamber 2,"","","tone 04",1,2.633,0.51,26.33,21.48,0,210
"VF051622_FC1","4",Chamber 2,"","","tone 05",1,6.900,1.35,69.00,15.44,0,541
"VF051622_FC1","4",Chamber 2,"","","tone 06",1,7.867,1.53,78.67,3.35,0,81
"VF051622_FC1","4",Chamber 2,"","","post-tone",10,108.633,21.18,67.90,20.89,0,4706

"VF051622_FC1","4",Chamber 3,"","","pre-tone",0,0.000,0.00,0.00,203.21,0,857
"VF051622_FC1","4",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,246.28,0,767
"VF051622_FC1","4",Chamber 3,"","","tone 02",0,0.000,0.00,0.00,208.93,0,689
"VF051622_FC1","4",Chamber 3,"","","tone 03",0,0.000,0.00,0.00,149.33,0,484
"VF051622_FC1","4",Chamber 3,"","","tone 04",0,0.000,0.00,0.00,158.61,0,740
"VF051622_FC1","4",Chamber 3,"","","tone 05",2,4.733,0.92,47.33,14.84,0,155
"VF051622_FC1","4",Chamber 3,"","","tone 06",1,4.800,0.94,48.00,45.80,0,376
"VF051622_FC1","4",Chamber 3,"","","post-tone",17,61.400,11.97,38.38,54.58,0,1885

"VF051622_FC1","4",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,157.00,0,1021
"VF051622_FC1","4",Chamber 4,"","","tone 01",0,0.000,0.00,0.00,153.65,0,567
"VF051622_FC1","4",Chamber 4,"","","tone 02",2,2.433,0.47,24.33,27.33,0,209
"VF051622_FC1","4",Chamber 4,"","","tone 03",1,1.600,0.31,16.00,34.11,0,301
"VF051622_FC1","4",Chamber 4,"","","tone 04",3,8.533,1.66,85.33,13.77,0,358
"VF051622_FC1","4",Chamber 4,"","","tone 05",0,0.000,0.00,0.00,224.23,0,3468
"VF051622_FC1","4",Chamber 4,"","","tone 06",1,3.467,0.68,34.67,54.12,0,646
"VF051622_FC1","4",Chamber 4,"","","post-tone",15,91.300,17.80,57.06,35.16,0,2460

