"Date :",07/04/22 15:14:56
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:02:42.000",25,4860,750
"tone 03"," 0:03:15.000",25,5850,750
"tone 04"," 0:04:02.000",25,7260,750
"tone 05"," 0:04:47.000",25,8610,750
"tone 06"," 0:05:29.000",25,9870,750
"tone 07"," 0:06:09.000",25,11070,750
"tone 08"," 0:06:54.000",25,12420,750
"tone 09"," 0:07:24.000",25,13320,750
"tone 10"," 0:08:08.000",25,14640,750
"tone 11"," 0:08:45.000",25,15750,750
"tone 12"," 0:09:15.000",25,16650,750
"post-tone"," 0:09:40.000",120,17400,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF070222_E3","1",Chamber 1,"","","pre-tone",20,45.700,6.53,38.08,41.76,0,962
"VF070222_E3","1",Chamber 1,"","","tone 01",5,19.667,2.81,78.67,29.71,0,720
"VF070222_E3","1",Chamber 1,"","","tone 02",2,22.300,3.19,89.20,2.01,0,71
"VF070222_E3","1",Chamber 1,"","","tone 03",3,21.600,3.09,86.40,5.67,0,191
"VF070222_E3","1",Chamber 1,"","","tone 04",7,18.333,2.62,73.33,5.15,0,79
"VF070222_E3","1",Chamber 1,"","","tone 05",5,8.100,1.16,32.40,58.83,0,589
"VF070222_E3","1",Chamber 1,"","","tone 06",3,20.333,2.90,81.33,8.22,0,190
"VF070222_E3","1",Chamber 1,"","","tone 07",2,17.933,2.56,71.73,13.71,0,223
"VF070222_E3","1",Chamber 1,"","","tone 08",2,19.633,2.80,78.53,11.67,0,256
"VF070222_E3","1",Chamber 1,"","","tone 09",4,7.067,1.01,28.27,76.60,0,1396
"VF070222_E3","1",Chamber 1,"","","tone 10",4,15.833,2.26,63.33,14.70,0,224
"VF070222_E3","1",Chamber 1,"","","tone 11",2,4.900,0.70,19.60,57.48,0,576
"VF070222_E3","1",Chamber 1,"","","tone 12",5,10.200,1.46,40.80,44.63,0,677
"VF070222_E3","1",Chamber 1,"","","post-tone",14,33.567,4.80,27.97,62.94,0,839

"VF070222_E3","1",Chamber 2,"","","pre-tone",18,30.300,4.33,25.25,73.61,0,856
"VF070222_E3","1",Chamber 2,"","","tone 01",5,19.600,2.80,78.40,17.03,0,816
"VF070222_E3","1",Chamber 2,"","","tone 02",2,21.500,3.07,86.00,6.00,0,174
