"Date :",07/12/22 16:31:40
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:12.000",10,3960,300
"tone 02"," 0:02:32.000",10,4560,300
"tone 03"," 0:02:57.000",10,5310,300
"tone 04"," 0:03:20.000",10,6000,300
"tone 05"," 0:03:51.000",10,6930,300
"tone 06"," 0:04:20.000",10,7800,300
"tone 07"," 0:04:35.000",10,8250,300
"tone 08"," 0:04:54.000",10,8820,300
"tone 09"," 0:05:27.000",10,9810,300
"tone 10"," 0:05:43.000",10,10290,300
"tone 11"," 0:06:06.000",10,10980,300
"tone 12"," 0:06:23.000",10,11490,300
"post-tone"," 0:06:33.000",120,11790,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF070522_FC1","1",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,206.84,0,920
"VF070522_FC1","1",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,176.70,0,707
"VF070522_FC1","1",Chamber 1,"","","tone 02",0,0.000,0.00,0.00,101.03,0,421
"VF070522_FC1","1",Chamber 1,"","","tone 03",1,1.100,0.21,11.00,43.60,0,667
"VF070522_FC1","1",Chamber 1,"","","tone 04",3,4.767,0.93,47.67,8.33,0,96
"VF070522_FC1","1",Chamber 1,"","","tone 05",0,0.000,0.00,0.00,117.84,0,665
"VF070522_FC1","1",Chamber 1,"","","tone 06",1,2.267,0.44,22.67,14.53,0,160
"VF070522_FC1","1",Chamber 1,"","","tone 07",1,1.767,0.34,17.67,59.82,0,702
"VF070522_FC1","1",Chamber 1,"","","tone 08",3,7.833,1.53,78.33,6.14,0,86
"VF070522_FC1","1",Chamber 1,"","","tone 09",3,5.900,1.15,59.00,13.35,0,133
"VF070522_FC1","1",Chamber 1,"","","tone 10",2,4.533,0.88,45.33,36.75,0,266
"VF070522_FC1","1",Chamber 1,"","","tone 11",1,6.600,1.29,66.00,3.16,0,56
"VF070522_FC1","1",Chamber 1,"","","tone 12",2,8.767,1.71,87.67,1.74,0,105
"VF070522_FC1","1",Chamber 1,"","","post-tone",23,80.433,15.68,67.03,10.93,0,288

"VF070522_FC1","1",Chamber 2,"","","pre-tone",0,0.000,0.00,0.00,189.94,0,1162
"VF070522_FC1","1",Chamber 2,"","","tone 01",0,0.000,0.00,0.00,134.95,7,467
"VF070522_FC1","1",Chamber 2,"","","tone 02",0,0.000,0.00,0.00,192.24,6,740
"VF070522_FC1","1",Chamber 2,"","","tone 03",0,0.000,0.00,0.00,79.93,0,369
"VF070522_FC1","1",Chamber 2,"","","tone 04",0,0.000,0.00,0.00,38.63,0,347
"VF070522_FC1","1",Chamber 2,"","","tone 05",2,2.733,0.53,27.33,102.15,0,540
"VF070522_FC1","1",Chamber 2,"","","tone 06",0,0.000,0.00,0.00,61.63,0,356
"VF070522_FC1","1",Chamber 2,"","","tone 07",2,4.567,0.89,45.67,37.36,0,368
"VF070522_FC1","1",Chamber 2,"","","tone 08",3,7.667,1.49,76.67,4.56,0,62
"VF070522_FC1","1",Chamber 2,"","","tone 09",2,6.433,1.25,64.33,4.35,0,71
"VF070522_FC1","1",Chamber 2,"","","tone 10",1,4.567,0.89,45.67,36.83,0,578
"VF070522_FC1","1",Chamber 2,"","","tone 11",1,6.800,1.33,68.00,5.56,0,91
"VF070522_FC1","1",Chamber 2,"","","tone 12",2,8.000,1.56,80.00,2.07,0,39
"VF070522_FC1","1",Chamber 2,"","","post-tone",19,88.567,17.26,73.81,10.56,0,363

"VF070522_FC1","1",Chamber 3,"","","pre-tone",0,0.000,0.00,0.00,149.39,0,892
"VF070522_FC1","1",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,205.82,0,854
"VF070522_FC1","1",Chamber 3,"","","tone 02",1,1.100,0.21,11.00,120.69,0,506
"VF070522_FC1","1",Chamber 3,"","","tone 03",0,0.000,0.00,0.00,63.74,0,244
"VF070522_FC1","1",Chamber 3,"","","tone 04",2,2.700,0.53,27.00,11.69,0,133
"VF070522_FC1","1",Chamber 3,"","","tone 05",1,2.333,0.45,23.33,37.71,0,477
"VF070522_FC1","1",Chamber 3,"","","tone 06",3,8.700,1.70,87.00,2.00,0,45
"VF070522_FC1","1",Chamber 3,"","","tone 07",2,7.867,1.53,78.67,2.28,0,40
"VF070522_FC1","1",Chamber 3,"","","tone 08",3,7.200,1.40,72.00,3.45,0,72
"VF070522_FC1","1",Chamber 3,"","","tone 09",1,7.633,1.49,76.33,2.69,0,95
"VF070522_FC1","1",Chamber 3,"","","tone 10",4,6.833,1.33,68.33,4.75,0,72
"VF070522_FC1","1",Chamber 3,"","","tone 11",2,9.467,1.85,94.67,0.78,0,26
"VF070522_FC1","1",Chamber 3,"","","tone 12",1,10.000,1.95,100.00,0.00,0,0
"VF070522_FC1","1",Chamber 3,"","","post-tone",6,116.533,22.72,97.11,0.42,0,62

"VF070522_FC1","1",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,215.46,0,1219
"VF070522_FC1","1",Chamber 4,"","","tone 01",0,0.000,0.00,0.00,126.76,0,487
"VF070522_FC1","1",Chamber 4,"","","tone 02",0,0.000,0.00,0.00,158.58,0,500
"VF070522_FC1","1",Chamber 4,"","","tone 03",0,0.000,0.00,0.00,160.47,1,583
"VF070522_FC1","1",Chamber 4,"","","tone 04",0,0.000,0.00,0.00,27.42,0,221
"VF070522_FC1","1",Chamber 4,"","","tone 05",1,1.300,0.25,13.00,25.70,0,199
"VF070522_FC1","1",Chamber 4,"","","tone 06",0,0.000,0.00,0.00,23.94,0,143
"VF070522_FC1","1",Chamber 4,"","","tone 07",4,4.933,0.96,49.33,13.11,0,134
"VF070522_FC1","1",Chamber 4,"","","tone 08",0,0.000,0.00,0.00,89.98,0,475
"VF070522_FC1","1",Chamber 4,"","","tone 09",3,6.233,1.22,62.33,8.14,0,127
"VF070522_FC1","1",Chamber 4,"","","tone 10",1,1.133,0.22,11.33,51.85,0,322
"VF070522_FC1","1",Chamber 4,"","","tone 11",2,6.800,1.33,68.00,7.75,0,98
"VF070522_FC1","1",Chamber 4,"","","tone 12",3,8.567,1.67,85.67,3.82,0,185
"VF070522_FC1","1",Chamber 4,"","","post-tone",23,87.033,16.97,72.53,8.02,0,181

"VF070522_FC1","2",Chamber 1,"","","pre-tone",0,0.000,0.00,0.00,171.05,0,913
"VF070522_FC1","2",Chamber 1,"","","tone 01",0,0.000,0.00,0.00,240.64,0,762
"VF070522_FC1","2",Chamber 1,"","","tone 02",0,0.000,0.00,0.00,249.57,0,878
"VF070522_FC1","2",Chamber 1,"","","tone 03",0,0.000,0.00,0.00,75.92,0,371
"VF070522_FC1","2",Chamber 1,"","","tone 04",0,0.000,0.00,0.00,139.04,0,813
"VF070522_FC1","2",Chamber 1,"","","tone 05",2,8.233,1.60,82.33,9.79,0,199
"VF070522_FC1","2",Chamber 1,"","","tone 06",3,6.500,1.27,65.00,6.18,0,165
"VF070522_FC1","2",Chamber 1,"","","tone 07",1,10.000,1.95,100.00,0.03,0,2
"VF070522_FC1","2",Chamber 1,"","","tone 08",1,5.633,1.10,56.33,9.91,0,90
"VF070522_FC1","2",Chamber 1,"","","tone 09",2,3.267,0.64,32.67,22.51,0,201
"VF070522_FC1","2",Chamber 1,"","","tone 10",2,4.867,0.95,48.67,14.17,0,241
"VF070522_FC1","2",Chamber 1,"","","tone 11",1,8.967,1.75,89.67,1.33,0,156
"VF070522_FC1","2",Chamber 1,"","","tone 12",1,8.200,1.60,82.00,4.08,0,189
"VF070522_FC1","2",Chamber 1,"","","post-tone",8,104.033,20.28,86.69,5.12,0,457

"VF070522_FC1","2",Chamber 2,"","","pre-tone",1,1.000,0.19,0.83,211.99,0,1104
"VF070522_FC1","2",Chamber 2,"","","tone 01",0,0.000,0.00,0.00,188.11,0,850
"VF070522_FC1","2",Chamber 2,"","","tone 02",0,0.000,0.00,0.00,105.79,0,613
"VF070522_FC1","2",Chamber 2,"","","tone 03",0,0.000,0.00,0.00,275.98,1,978
"VF070522_FC1","2",Chamber 2,"","","tone 04",3,4.633,0.90,46.33,13.41,0,134
"VF070522_FC1","2",Chamber 2,"","","tone 05",3,5.233,1.02,52.33,22.40,0,200
"VF070522_FC1","2",Chamber 2,"","","tone 06",3,7.733,1.51,77.33,6.10,0,110
"VF070522_FC1","2",Chamber 2,"","","tone 07",3,7.200,1.40,72.00,6.38,0,73
"VF070522_FC1","2",Chamber 2,"","","tone 08",1,4.100,0.80,41.00,21.32,0,248
"VF070522_FC1","2",Chamber 2,"","","tone 09",2,3.600,0.70,36.00,19.23,0,233
"VF070522_FC1","2",Chamber 2,"","","tone 10",1,7.667,1.49,76.67,8.15,0,179
"VF070522_FC1","2",Chamber 2,"","","tone 11",1,9.300,1.81,93.00,0.44,0,20
"VF070522_FC1","2",Chamber 2,"","","tone 12",1,9.267,1.81,92.67,0.76,0,44
"VF070522_FC1","2",Chamber 2,"","","post-tone",10,115.400,22.50,96.17,2.51,0,396

"VF070522_FC1","2",Chamber 3,"","","pre-tone",0,0.000,0.00,0.00,168.77,0,1003
"VF070522_FC1","2",Chamber 3,"","","tone 01",0,0.000,0.00,0.00,111.82,0,479
"VF070522_FC1","2",Chamber 3,"","","tone 02",0,0.000,0.00,0.00,48.92,0,316
"VF070522_FC1","2",Chamber 3,"","","tone 03",1,1.867,0.36,18.67,145.05,0,783
"VF070522_FC1","2",Chamber 3,"","","tone 04",3,7.667,1.49,76.67,10.09,0,277
"VF070522_FC1","2",Chamber 3,"","","tone 05",3,8.367,1.63,83.67,10.07,0,299
"VF070522_FC1","2",Chamber 3,"","","tone 06",1,1.167,0.23,11.67,74.04,0,519
"VF070522_FC1","2",Chamber 3,"","","tone 07",3,5.167,1.01,51.67,15.21,0,294
"VF070522_FC1","2",Chamber 3,"","","tone 08",2,6.533,1.27,65.33,28.80,0,452
"VF070522_FC1","2",Chamber 3,"","","tone 09",1,9.067,1.77,90.67,4.02,0,376
"VF070522_FC1","2",Chamber 3,"","","tone 10",2,3.267,0.64,32.67,11.15,0,164
"VF070522_FC1","2",Chamber 3,"","","tone 11",1,9.367,1.83,93.67,4.98,0,245
"VF070522_FC1","2",Chamber 3,"","","tone 12",1,9.567,1.86,95.67,2.20,0,138
"VF070522_FC1","2",Chamber 3,"","","post-tone",17,96.333,18.78,80.28,9.35,0,579

"VF070522_FC1","2",Chamber 4,"","","pre-tone",0,0.000,0.00,0.00,284.39,0,1476
"VF070522_FC1","2",Chamber 4,"","","tone 01",0,0.000,0.00,0.00,139.91,0,635
"VF070522_FC1","2",Chamber 4,"","","tone 02",0,0.000,0.00,0.00,331.99,0,1269
