Strain,Sex,DOB,Cage,Animal,Tx,Exp_Date,Exp_Type,Group,Box,Trial,CS_Time
C57BL6,F,,44,1,NCFE,21-12-06,FC1,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,44,2,NCFE,21-12-06,FC1,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,52,3,NCFE,21-12-06,FC1,6CS_CSUS_50,Chamber 3,1,25
C57BL6,F,,52,4,NCFE,21-12-06,FC1,6CS_CSUS_50,Chamber 4,1,25
C57BL6,F,,59,1,NCFE,21-12-06,FC1,3CS_CSUS_100,Chamber 1,2,25
C57BL6,F,,59,2,NCFE,21-12-06,FC1,3CS_CSUS_100,Chamber 2,2,25
C57BL6,F,,59,3,NCFE,21-12-06,FC1,3CS_CSUS_100,Chamber 3,2,25
C57BL6,F,,59,4,NCFE,21-12-06,FC1,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,44,1,NCFE,21-12-07,FC2,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,44,2,NCFE,21-12-07,FC2,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,52,3,NCFE,21-12-07,FC2,6CS_CSUS_50,Chamber 3,1,25
C57BL6,F,,52,4,NCFE,21-12-07,FC2,6CS_CSUS_50,Chamber 4,1,25
C57BL6,F,,59,1,NCFE,21-12-07,FC2,3CS_CSUS_100,Chamber 1,2,25
C57BL6,F,,59,2,NCFE,21-12-07,FC2,3CS_CSUS_100,Chamber 2,2,25
C57BL6,F,,59,3,NCFE,21-12-07,FC2,3CS_CSUS_100,Chamber 3,2,25
C57BL6,F,,59,4,NCFE,21-12-07,FC2,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,44,1,NCFE,21-12-08,E1,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,44,2,NCFE,21-12-08,E1,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,52,3,NCFE,21-12-08,E1,6CS_CSUS_50,Chamber 3,1,25
C57BL6,F,,52,4,NCFE,21-12-08,E1,6CS_CSUS_50,Chamber 4,1,25
C57BL6,F,,59,1,NCFE,21-12-08,E1,3CS_CSUS_100,Chamber 1,2,25
C57BL6,F,,59,2,NCFE,21-12-08,E1,3CS_CSUS_100,Chamber 2,2,25
C57BL6,F,,59,3,NCFE,21-12-08,E1,3CS_CSUS_100,Chamber 3,2,25
C57BL6,F,,59,4,NCFE,21-12-08,E1,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,44,1,NCFE,21-12-09,E2,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,44,2,NCFE,21-12-09,E2,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,52,3,NCFE,21-12-09,E2,6CS_CSUS_50,Chamber 3,1,25
C57BL6,F,,52,4,NCFE,21-12-09,E2,6CS_CSUS_50,Chamber 4,1,25
C57BL6,F,,59,1,NCFE,21-12-09,E2,3CS_CSUS_100,Chamber 1,2,25
C57BL6,F,,59,2,NCFE,21-12-09,E2,3CS_CSUS_100,Chamber 2,2,25
C57BL6,F,,59,3,NCFE,21-12-09,E2,3CS_CSUS_100,Chamber 3,2,25
C57BL6,F,,59,4,NCFE,21-12-09,E2,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,44,1,NCFE,21-12-10,E3,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,44,2,NCFE,21-12-10,E3,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,52,3,NCFE,21-12-10,E3,6CS_CSUS_50,Chamber 3,1,25
C57BL6,F,,52,4,NCFE,21-12-10,E3,6CS_CSUS_50,Chamber 4,1,25
C57BL6,F,,59,1,NCFE,21-12-10,E3,3CS_CSUS_100,Chamber 1,2,25
C57BL6,F,,59,2,NCFE,21-12-10,E3,3CS_CSUS_100,Chamber 2,2,25
C57BL6,F,,59,3,NCFE,21-12-10,E3,3CS_CSUS_100,Chamber 3,2,25
C57BL6,F,,59,4,NCFE,21-12-10,E3,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,61R,1,NCFE,22-01-11,FC1,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,61R,2,NCFE,22-01-11,FC1,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,61R,3,NCFE,22-01-11,FC1,6CS_CSUS_50,Chamber 3,1,25
C57BL6,M,10/7/21,62R,1,NCFE,22-01-11,FC1,3CS_CSUS_100,Chamber 1,2,25
C57BL6,M,10/7/21,62R,2,NCFE,22-01-11,FC1,3CS_CSUS_100,Chamber 2,2,25
C57BL6,M,7/3/21,63R,3,NCFE,22-01-11,FC1,3CS_CSUS_100,Chamber 3,2,25
C57BL6,M,7/3/21,63R,4,NCFE,22-01-11,FC1,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,61R,1,NCFE,22-01-12,FC2,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,61R,2,NCFE,22-01-12,FC2,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,61R,3,NCFE,22-01-12,FC2,6CS_CSUS_50,Chamber 3,1,25
C57BL6,M,10/7/21,62R,1,NCFE,22-01-12,FC2,3CS_CSUS_100,Chamber 1,2,25
C57BL6,M,10/7/21,62R,2,NCFE,22-01-12,FC2,3CS_CSUS_100,Chamber 2,2,25
C57BL6,M,7/3/21,63R,3,NCFE,22-01-12,FC2,3CS_CSUS_100,Chamber 3,2,25
C57BL6,M,7/3/21,63R,4,NCFE,22-01-12,FC2,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,61R,1,NCFE,22-01-13,E1,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,61R,2,NCFE,22-01-13,E1,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,61R,3,NCFE,22-01-13,E1,6CS_CSUS_50,Chamber 3,1,25
C57BL6,M,10/7/21,62R,1,NCFE,22-01-13,E1,3CS_CSUS_100,Chamber 1,2,25
C57BL6,M,10/7/21,62R,2,NCFE,22-01-13,E1,3CS_CSUS_100,Chamber 2,2,25
C57BL6,M,7/3/21,63R,3,NCFE,22-01-13,E1,3CS_CSUS_100,Chamber 3,2,25
C57BL6,M,7/3/21,63R,4,NCFE,22-01-13,E1,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,61R,1,NCFE,22-01-14,E2,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,61R,2,NCFE,22-01-14,E2,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,61R,3,NCFE,22-01-14,E2,6CS_CSUS_50,Chamber 3,1,25
C57BL6,M,10/7/21,62R,1,NCFE,22-01-14,E2,3CS_CSUS_100,Chamber 1,2,25
C57BL6,M,10/7/21,62R,2,NCFE,22-01-14,E2,3CS_CSUS_100,Chamber 2,2,25
C57BL6,M,7/3/21,63R,3,NCFE,22-01-14,E2,3CS_CSUS_100,Chamber 3,2,25
C57BL6,M,7/3/21,63R,4,NCFE,22-01-14,E2,3CS_CSUS_100,Chamber 4,2,25
C57BL6,F,,61R,1,NCFE,22-01-15,E3,6CS_CSUS_50,Chamber 1,1,25
C57BL6,F,,61R,2,NCFE,22-01-15,E3,6CS_CSUS_50,Chamber 2,1,25
C57BL6,F,,61R,3,NCFE,22-01-15,E3,6CS_CSUS_50,Chamber 3,1,25
C57BL6,M,10/7/21,62R,1,NCFE,22-01-15,E3,3CS_CSUS_100,Chamber 1,2,25
C57BL6,M,10/7/21,62R,2,NCFE,22-01-15,E3,3CS_CSUS_100,Chamber 2,2,25
C57BL6,M,7/3/21,63R,3,NCFE,22-01-15,E3,3CS_CSUS_100,Chamber 3,2,25
C57BL6,M,7/3/2021,63R,4,NCFE,22-01-15,E3,3CS_CSUS_100,Chamber 4,2,25
C57BL6,M,10/7/2021,34,1,NCFE,22-02-16,FC1,12CS_CSUS_50,Chamber 1,1,10
C57BL6,M,10/7/2021,34,2,NCFE,22-02-16,FC1,12CS_CSUS_50,Chamber 2,1,10
C57BL6,M,10/7/2021,34,3,NCFE,22-02-16,FC1,12CS_CSUS_50,Chamber 3,1,10
C57BL6,M,10/7/2021,34,4,NCFE,22-02-16,FC1,12CS_CSUS_50,Chamber 4,1,10
C57BL6,M,10/7/2021,33,1,NCFE,22-02-16,FC1,6CS_CSUS_100,Chamber 1,2,10
C57BL6,M,10/7/2021,33,2,NCFE,22-02-16,FC1,6CS_CSUS_100,Chamber 2,2,10
C57BL6,M,10/7/2021,33,3,NCFE,22-02-16,FC1,6CS_CSUS_100,Chamber 3,2,10
C57BL6,M,10/7/2021,34,1,NCFE,22-02-17,FC2,12CS_CSUS_50,Chamber 1,1,10
C57BL6,M,10/7/2021,34,2,NCFE,22-02-17,FC2,12CS_CSUS_50,Chamber 2,1,10
C57BL6,M,10/7/2021,34,3,NCFE,22-02-17,FC2,12CS_CSUS_50,Chamber 3,1,10
C57BL6,M,10/7/2021,34,4,NCFE,22-02-17,FC2,12CS_CSUS_50,Chamber 4,1,10
C57BL6,M,10/7/2021,33,1,NCFE,22-02-17,FC2,6CS_CSUS_100,Chamber 1,2,10
C57BL6,M,10/7/2021,33,2,NCFE,22-02-17,FC2,6CS_CSUS_100,Chamber 2,2,10
C57BL6,M,10/7/2021,33,3,NCFE,22-02-17,FC2,6CS_CSUS_100,Chamber 3,2,10
C57BL6,M,10/7/2021,34,1,NCFE,22-02-18,E1,12CS_CSUS_50,Chamber 1,1,10
C57BL6,M,10/7/2021,34,2,NCFE,22-02-18,E1,12CS_CSUS_50,Chamber 2,1,10
C57BL6,M,10/7/2021,34,3,NCFE,22-02-18,E1,12CS_CSUS_50,Chamber 3,1,10
C57BL6,M,10/7/2021,34,4,NCFE,22-02-18,E1,12CS_CSUS_50,Chamber 4,1,10
C57BL6,M,10/7/2021,33,1,NCFE,22-02-18,E1,6CS_CSUS_100,Chamber 1,2,10
C57BL6,M,10/7/2021,33,2,NCFE,22-02-18,E1,6CS_CSUS_100,Chamber 2,2,10
C57BL6,M,10/7/2021,33,3,NCFE,22-02-18,E1,6CS_CSUS_100,Chamber 3,2,10
C57BL6,M,10/7/2021,34,1,NCFE,22-02-19,E2,12CS_CSUS_50,Chamber 1,1,10
C57BL6,M,10/7/2021,34,2,NCFE,22-02-19,E2,12CS_CSUS_50,Chamber 2,1,10
C57BL6,M,10/7/2021,34,3,NCFE,22-02-19,E2,12CS_CSUS_50,Chamber 3,1,10
C57BL6,M,10/7/2021,34,4,NCFE,22-02-19,E2,12CS_CSUS_50,Chamber 4,1,10
C57BL6,M,10/7/2021,33,1,NCFE,22-02-19,E2,6CS_CSUS_100,Chamber 1,2,10
C57BL6,M,10/7/2021,33,2,NCFE,22-02-19,E2,6CS_CSUS_100,Chamber 2,2,10
C57BL6,M,10/7/2021,33,3,NCFE,22-02-19,E2,6CS_CSUS_100,Chamber 3,2,10
C57BL6,M,10/7/2021,34,1,NCFE,22-02-20,E3,12CS_CSUS_50,Chamber 1,1,10
C57BL6,M,10/7/2021,34,2,NCFE,22-02-20,E3,12CS_CSUS_50,Chamber 2,1,10
C57BL6,M,10/7/2021,34,3,NCFE,22-02-20,E3,12CS_CSUS_50,Chamber 3,1,10
C57BL6,M,10/7/2021,34,4,NCFE,22-02-20,E3,12CS_CSUS_50,Chamber 4,1,10
C57BL6,M,10/7/2021,33,1,NCFE,22-02-20,E3,6CS_CSUS_100,Chamber 1,2,10
C57BL6,M,10/7/2021,33,2,NCFE,22-02-20,E3,6CS_CSUS_100,Chamber 2,2,10
