"Date :",11/03/22 23:00:50
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",30,0,900
"tone 01"," 0:00:30.000",25,900,750
"tone 02"," 0:01:09.000",25,2070,750
"tone 03"," 0:01:52.000",25,3360,750
"tone 04"," 0:02:29.000",25,4470,750
"tone 05"," 0:03:10.000",25,5700,750
"tone 06"," 0:03:49.000",25,6870,750
"tone 07"," 0:04:33.000",25,8190,750
"tone 08"," 0:05:13.000",25,9390,750
"tone 09"," 0:05:55.000",25,10650,750
"tone 10"," 0:06:38.000",25,11940,750
"tone 11"," 0:07:20.000",25,13200,750
"tone 12"," 0:08:03.000",25,14490,750
"tone 13"," 0:08:44.000",25,15720,750
"tone 14"," 0:09:26.000",25,16980,750
"tone 15"," 0:10:09.000",25,18270,750
"tone 16"," 0:10:49.000",25,19470,750
"tone 17"," 0:11:28.000",25,20640,750
"tone 18"," 0:12:03.000",25,21690,750
"tone 19"," 0:12:47.000",25,23010,750
"tone 20"," 0:13:26.000",25,24180,750
"tone 21"," 0:14:02.000",25,25260,750
"tone 22"," 0:14:39.000",25,26370,750
"tone 23"," 0:15:22.000",25,27660,750
"tone 24"," 0:15:59.000",25,28770,750
"tone 25"," 0:16:35.000",25,29850,750
"tone 26"," 0:17:15.000",25,31050,750
"tone 27"," 0:17:54.000",25,32220,750
"tone 28"," 0:18:31.000",25,33330,750
"tone 29"," 0:19:08.000",25,34440,750
"tone 30"," 0:19:50.000",25,35700,750
"post-tone"," 0:20:15.000",30,36450,900

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF102622_FC2","1",Chamber 1,"","","pre-tone",4,5.433,0.44,18.11,42.01,0,340
"VF102622_FC2","1",Chamber 1,"","","tone 01",3,3.933,0.32,15.73,37.24,0,337
"VF102622_FC2","1",Chamber 1,"","","tone 02",7,12.900,1.04,51.60,15.11,0,224
"VF102622_FC2","1",Chamber 1,"","","tone 03",5,16.833,1.35,67.33,4.00,0,92
"VF102622_FC2","1",Chamber 1,"","","tone 04",3,8.033,0.65,32.13,19.58,0,383
"VF102622_FC2","1",Chamber 1,"","","tone 05",6,18.833,1.51,75.33,2.81,0,63
"VF102622_FC2","1",Chamber 1,"","","tone 06",5,21.133,1.70,84.53,4.96,0,87
"VF102622_FC2","1",Chamber 1,"","","tone 07",4,23.467,1.88,93.87,2.96,0,117
"VF102622_FC2","1",Chamber 1,"","","tone 08",7,15.933,1.28,63.73,4.63,0,89
"VF102622_FC2","1",Chamber 1,"","","tone 09",6,16.067,1.29,64.27,5.91,0,170
"VF102622_FC2","1",Chamber 1,"","","tone 10",3,8.600,0.69,34.40,9.41,0,88
"VF102622_FC2","1",Chamber 1,"","","tone 11",4,11.867,0.95,47.47,5.34,0,53
"VF102622_FC2","1",Chamber 1,"","","tone 12",6,14.033,1.13,56.13,6.85,0,93
"VF102622_FC2","1",Chamber 1,"","","tone 13",7,14.900,1.20,59.60,9.81,0,149
"VF102622_FC2","1",Chamber 1,"","","tone 14",2,7.733,0.62,30.93,40.73,0,381
"VF102622_FC2","1",Chamber 1,"","","tone 15",3,5.233,0.42,20.93,18.74,0,434
"VF102622_FC2","1",Chamber 1,"","","tone 16",6,11.833,0.95,47.33,8.89,0,113
"VF102622_FC2","1",Chamber 1,"","","tone 17",2,5.467,0.44,21.87,63.03,0,434
