Strain,Sex,DOB,Cage,Animal,Tx,Exp_Date,Exp_Type,Group,Box,Trial,CS_Time
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 1,1,25
