Date :,2004/05/24 12:13,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,305,0,9150,,,,,,,,
tone 01, 0:05:05.000,10,9150,300,,,,,,,,
tone 02, 0:08:25.000,10,15150,300,,,,,,,,
tone 03, 0:12:20.000,10,22200,300,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040424_FC1,1,Chamber 3,B6-M-189-03,CR,pre-tone,0,0,0,0,140.1,0,1873
VF040424_FC1,1,Chamber 3,B6-M-189-03,CR,tone 01,3,3.267,0.35,32.67,27.76,0,358
VF040424_FC1,1,Chamber 3,B6-M-189-03,CR,tone 02,0,0,0,0,105.79,0,491
VF040424_FC1,1,Chamber 3,B6-M-189-03,CR,tone 03,3,4.567,0.49,45.67,37.81,0,380
VF040424_FC1,1,Chamber 3,B6-M-189-03,CR,post-tone,17,92.167,9.91,51.2,23.56,0,1867
,,,,,,,,,,,,
VF040424_FC1,1,Chamber 2,B6-M-189-02,CR,pre-tone,4,4.467,0.48,1.46,143.09,0,3836
VF040424_FC1,1,Chamber 2,B6-M-189-02,CR,tone 01,1,1,0.11,10,69.9,0,513
VF040424_FC1,1,Chamber 2,B6-M-189-02,CR,tone 02,1,1.033,0.11,10.33,84.84,0,845
VF040424_FC1,1,Chamber 2,B6-M-189-02,CR,tone 03,2,2.4,0.26,24,178.39,0,3077
VF040424_FC1,1,Chamber 2,B6-M-189-02,CR,post-tone,15,25.467,2.74,14.15,50,0,4682
,,,,,,,,,,,,
VF040424_FC1,1,Chamber 1,B6-M-189-01,CR,pre-tone,13,21.3,2.29,6.98,85.06,0,2274
VF040424_FC1,1,Chamber 1,B6-M-189-01,CR,tone 01,0,0,0,0,75.04,0,426
VF040424_FC1,1,Chamber 1,B6-M-189-01,CR,tone 02,3,4.967,0.53,49.67,9.57,0,128
VF040424_FC1,1,Chamber 1,B6-M-189-01,CR,tone 03,2,6.233,0.67,62.33,4.97,0,67
VF040424_FC1,1,Chamber 1,B6-M-189-01,CR,post-tone,13,139.567,15.01,77.54,9.06,0,1438
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 3,B6-F-156-03,CR,pre-tone,2,2.967,0.32,0.97,176.77,0,1672
VF040424_FC1,2,Chamber 3,B6-F-156-03,CR,tone 01,0,0,0,0,150.24,0,529
VF040424_FC1,2,Chamber 3,B6-F-156-03,CR,tone 02,1,3.333,0.36,33.33,50.97,0,556
VF040424_FC1,2,Chamber 3,B6-F-156-03,CR,tone 03,2,3.033,0.33,30.33,93.81,0,748
VF040424_FC1,2,Chamber 3,B6-F-156-03,CR,post-tone,11,113.733,12.23,63.19,30.96,0,2278
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 2,B6-F-156-02,CR,pre-tone,3,4.667,0.5,1.53,186.45,0,2513
VF040424_FC1,2,Chamber 2,B6-F-156-02,CR,tone 01,1,1.2,0.13,12,69.67,0,335
VF040424_FC1,2,Chamber 2,B6-F-156-02,CR,tone 02,2,2.267,0.24,22.67,86.76,0,784
VF040424_FC1,2,Chamber 2,B6-F-156-02,CR,tone 03,2,4.7,0.51,47,10.09,0,121
VF040424_FC1,2,Chamber 2,B6-F-156-02,CR,post-tone,14,106.6,11.46,59.22,26.32,0,2389
,,,,,,,,,,,,
VF040424_FC1,2,Chamber 1,B6-F-156-01,CR,pre-tone,7,19.5,2.1,6.39,102.83,0,1156
VF040424_FC1,2,Chamber 1,B6-F-156-01,CR,tone 01,0,0,0,0,109.82,0,646
VF040424_FC1,2,Chamber 1,B6-F-156-01,CR,tone 02,3,4.533,0.49,45.33,55.44,0,1808
VF040424_FC1,2,Chamber 1,B6-F-156-01,CR,tone 03,1,1.5,0.16,15,147.33,0,2166
VF040424_FC1,2,Chamber 1,B6-F-156-01,CR,post-tone,15,145,15.59,80.56,15.22,0,1546
,,,,,,,,,,,,
VF040424_FC1,3,Chamber 3,B6-M-191-03,CR,pre-tone,9,15.133,1.63,4.96,129.87,0,866
VF040424_FC1,3,Chamber 3,B6-M-191-03,CR,tone 01,0,0,0,0,143.11,0,459
VF040424_FC1,3,Chamber 3,B6-M-191-03,CR,tone 02,0,0,0,0,82.41,0,355
VF040424_FC1,3,Chamber 3,B6-M-191-03,CR,tone 03,1,5.433,0.58,54.33,8.59,0,100
VF040424_FC1,3,Chamber 3,B6-M-191-03,CR,post-tone,19,122.833,13.21,68.24,30.04,0,2572
,,,,,,,,,,,,
VF040424_FC1,3,Chamber 2,B6-M-191-02,CR,pre-tone,1,1.067,0.11,0.35,157.66,0,1320
VF040424_FC1,3,Chamber 2,B6-M-191-02,CR,tone 01,0,0,0,0,181.36,0,1042
VF040424_FC1,3,Chamber 2,B6-M-191-02,CR,tone 02,0,0,0,0,57.54,0,347
VF040424_FC1,3,Chamber 2,B6-M-191-02,CR,tone 03,2,3.367,0.36,33.67,65.21,0,325
VF040424_FC1,3,Chamber 2,B6-M-191-02,CR,post-tone,14,48.633,5.23,27.02,62.11,0,4410
,,,,,,,,,,,,
VF040424_FC1,3,Chamber 1,B6-M-191-01,CR,pre-tone,12,24.4,2.62,8,64.68,0,671
VF040424_FC1,3,Chamber 1,B6-M-191-01,CR,tone 01,1,1.2,0.13,12,84.08,0,438
VF040424_FC1,3,Chamber 1,B6-M-191-01,CR,tone 02,1,3.267,0.35,32.67,38.11,0,267
VF040424_FC1,3,Chamber 1,B6-M-191-01,CR,tone 03,4,8.767,0.94,87.67,5.47,0,111
VF040424_FC1,3,Chamber 1,B6-M-191-01,CR,post-tone,17,98.033,10.54,54.46,21.73,0,2957
