"Date :",03/30/24 11:17:32
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",305,0,9150
"tone 01"," 0:05:05.000",10,9150,300
"tone 02"," 0:06:20.000",10,11400,300
"tone 03"," 0:08:25.000",10,15150,300
"tone 04"," 0:10:20.000",10,18600,300
"tone 05"," 0:11:35.000",10,20850,300
"tone 06"," 0:12:20.000",10,22200,300
"post-tone"," 0:12:30.000",180,22500,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","pre-tone",8,10.667,1.15,3.50,93.43,0,1339
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 01",0,0.000,0.00,0.00,237.64,0,1156
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 02",0,0.000,0.00,0.00,69.23,0,380
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 03",1,1.167,0.13,11.67,37.58,0,288
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 04",1,2.567,0.28,25.67,21.16,0,208
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 05",3,9.500,1.02,95.00,1.30,0,42
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","tone 06",3,7.733,0.83,77.33,9.82,0,283
"VF033024_FC1","1",Chamber 1,"B6-F-188-01","PR_N","post-tone",32,126.833,13.64,70.46,13.27,0,2563

"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","pre-tone",0,0.000,0.00,0.00,147.35,0,1793
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 01",1,1.200,0.13,12.00,113.26,0,478
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 02",1,1.267,0.14,12.67,52.49,0,686
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 03",0,0.000,0.00,0.00,86.99,0,636
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 04",0,0.000,0.00,0.00,86.60,0,647
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 05",2,6.900,0.74,69.00,13.44,0,189
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","tone 06",1,7.100,0.76,71.00,6.16,0,106
"VF033024_FC1","1",Chamber 2,"B6-F-188-02","PR_N","post-tone",20,98.767,10.62,54.87,24.22,0,1813

"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","pre-tone",0,0.000,0.00,0.00,192.59,0,1290
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 01",0,0.000,0.00,0.00,240.79,0,1129
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 02",0,0.000,0.00,0.00,124.46,0,724
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 03",0,0.000,0.00,0.00,117.51,0,525
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 04",0,0.000,0.00,0.00,53.62,0,367
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 05",2,2.267,0.24,22.67,35.72,0,405
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","tone 06",0,0.000,0.00,0.00,56.98,0,342
"VF033024_FC1","1",Chamber 3,"B6-F-188-03","PR_N","post-tone",16,31.100,3.34,17.28,68.46,0,2204

"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","pre-tone",10,16.333,1.76,5.36,92.20,0,781
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 01",0,0.000,0.00,0.00,88.61,0,455
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 02",1,1.400,0.15,14.00,32.32,0,252
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 03",2,3.433,0.37,34.33,28.32,0,258
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 04",2,8.267,0.89,82.67,3.16,0,49
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 05",0,0.000,0.00,0.00,62.06,0,334
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","tone 06",1,6.100,0.66,61.00,28.46,0,520
"VF033024_FC1","4",Chamber 1,"B6-M-185-01","PR_Y","post-tone",24,65.867,7.08,36.59,44.60,0,4088

"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","pre-tone",1,1.033,0.11,0.34,123.25,0,1652
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 01",0,0.000,0.00,0.00,187.18,0,905
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 02",2,5.300,0.57,53.00,12.75,0,113
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 03",1,4.300,0.46,43.00,59.01,0,341
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 04",1,3.133,0.34,31.33,12.61,0,104
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 05",2,5.467,0.59,54.67,8.16,0,135
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","tone 06",2,2.567,0.28,25.67,33.53,0,236
"VF033024_FC1","4",Chamber 2,"B6-M-185-02","PR_Y","post-tone",28,91.133,9.80,50.63,21.62,0,2372

"VF033024_FC1","4",Chamber 3,"B6-M-185-03","PR_Y","pre-tone",1,1.467,0.16,0.48,164.09,0,1433
"VF033024_FC1","4",Chamber 3,"B6-M-185-03","PR_Y","tone 01",1,1.000,0.11,10.00,122.01,0,485
"VF033024_FC1","4",Chamber 3,"B6-M-185-03","PR_Y","tone 02",0,0.000,0.00,0.00,189.43,1,570
"VF033024_FC1","4",Chamber 3,"B6-M-185-03","PR_Y","tone 03",2,3.033,0.33,30.33,66.00,0,600
