"Date :",03/31/24 15:39:17
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",60,0,1800
"tone 01"," 0:01:25.000",10,2550,300
"tone 02"," 0:01:50.000",10,3300,300
"tone 03"," 0:02:15.000",10,4050,300
"tone 04"," 0:02:40.000",10,4800,300
"tone 05"," 0:03:05.000",10,5550,300
"tone 06"," 0:03:30.000",10,6300,300
"tone 07"," 0:04:20.000",10,7800,300
"tone 08"," 0:04:45.000",10,8550,300
"tone 09"," 0:05:10.000",10,9300,300
"tone 10"," 0:05:35.000",10,10050,300
"tone 11"," 0:06:25.000",10,11550,300
"tone 12"," 0:07:40.000",10,13800,300
"tone 13"," 0:08:05.000",10,14550,300
"tone 14"," 0:08:30.000",10,15300,300
"tone 15"," 0:08:55.000",10,16050,300
"tone 16"," 0:09:20.000",10,16800,300
"tone 17"," 0:10:10.000",10,18300,300
"tone 18"," 0:11:00.000",10,19800,300
"tone 19"," 0:11:50.000",10,21300,300
"tone 20"," 0:12:15.000",10,22050,300
"post-tone"," 0:13:15.000",45,23850,1350

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","pre-tone",2,2.500,0.29,4.17,62.35,0,596
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 01",2,8.433,0.99,84.33,8.71,0,217
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 02",2,7.700,0.90,77.00,3.08,0,61
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 03",4,9.233,1.08,92.33,2.01,0,46
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 04",3,8.967,1.05,89.67,1.17,0,32
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 05",3,6.933,0.81,69.33,11.14,0,176
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 06",1,1.333,0.16,13.33,41.58,0,431
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 07",3,6.933,0.81,69.33,6.27,0,106
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 08",1,8.800,1.03,88.00,13.05,0,194
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 09",4,5.033,0.59,50.33,25.40,0,319
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 10",2,3.867,0.45,38.67,120.91,0,1340
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 11",5,7.233,0.85,72.33,6.12,0,88
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 12",2,4.567,0.53,45.67,18.39,0,160
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 13",3,5.933,0.69,59.33,11.67,0,162
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 14",3,7.067,0.83,70.67,7.28,0,122
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 15",1,1.833,0.21,18.33,74.80,0,391
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 16",4,8.100,0.95,81.00,4.25,0,128
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 17",5,7.700,0.90,77.00,8.26,0,132
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 18",0,0.000,0.00,0.00,147.81,0,769
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 19",2,8.033,0.94,80.33,3.74,0,85
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","tone 20",3,6.133,0.72,61.33,7.29,0,90
"VF033124_IPE","1",Chamber 1,"B6-F-178-01","PR_Y","post-tone",4,4.500,0.53,10.00,86.58,0,474

"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","pre-tone",0,0.000,0.00,0.00,69.77,0,699
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 01",3,9.033,1.06,90.33,10.39,0,264
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 02",3,4.800,0.56,48.00,42.56,0,487
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 03",1,2.733,0.32,27.33,123.69,0,983
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 04",3,5.400,0.63,54.00,17.61,0,342
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 05",2,6.700,0.78,67.00,15.56,0,400
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 06",2,5.100,0.60,51.00,14.69,0,371
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 07",4,8.100,0.95,81.00,10.74,0,171
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 08",2,6.467,0.76,64.67,7.33,0,134
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 09",2,4.367,0.51,43.67,57.45,0,702
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 10",2,5.567,0.65,55.67,16.41,0,168
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 11",5,8.267,0.97,82.67,4.64,0,121
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 12",2,9.767,1.14,97.67,1.43,0,107
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 13",1,10.000,1.17,100.00,0.18,0,8
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 14",2,8.933,1.04,89.33,3.75,0,209
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 15",2,7.733,0.90,77.33,7.29,0,144
"VF033124_IPE","1",Chamber 2,"B6-F-178-02","PR_Y","tone 16",4,6.600,0.77,66.00,22.98,0,369
