"Date :",04/02/24 16:25:41
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",370,0,11100
"tone 01"," 0:06:10.000",10,11100,300
"tone 02"," 0:09:20.000",10,16800,300
"tone 03"," 0:12:30.000",10,22500,300
"post-tone"," 0:12:40.000",180,22800,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF040124_FC2","2",Chamber 1,"B6-M-190-01","CR_Y","pre-tone",13,24.167,2.57,6.53,138.37,0,1014
"VF040124_FC2","2",Chamber 1,"B6-M-190-01","CR_Y","tone 01",2,5.500,0.59,55.00,102.08,0,1012
"VF040124_FC2","2",Chamber 1,"B6-M-190-01","CR_Y","tone 02",2,8.200,0.87,82.00,23.02,0,501
"VF040124_FC2","2",Chamber 1,"B6-M-190-01","CR_Y","tone 03",2,5.000,0.53,50.00,58.13,0,609
"VF040124_FC2","2",Chamber 1,"B6-M-190-01","CR_Y","post-tone",18,58.800,6.26,32.67,87.29,0,2099

"VF040124_FC2","2",Chamber 2,"B6-M-190-02","CR_Y","pre-tone",44,101.133,10.76,27.33,63.23,0,1204
"VF040124_FC2","2",Chamber 2,"B6-M-190-02","CR_Y","tone 01",2,5.133,0.55,51.33,34.34,0,475
"VF040124_FC2","2",Chamber 2,"B6-M-190-02","CR_Y","tone 02",1,3.833,0.41,38.33,132.18,0,1130
"VF040124_FC2","2",Chamber 2,"B6-M-190-02","CR_Y","tone 03",2,2.533,0.27,25.33,300.37,0,6001
"VF040124_FC2","2",Chamber 2,"B6-M-190-02","CR_Y","post-tone",23,62.433,6.64,34.69,103.87,0,3453

"VF040124_FC2","2",Chamber 3,"B6-M-190-03","CR_Y","pre-tone",36,56.133,5.97,15.17,54.80,0,763
"VF040124_FC2","2",Chamber 3,"B6-M-190-03","CR_Y","tone 01",2,6.333,0.67,63.33,60.84,0,692
"VF040124_FC2","2",Chamber 3,"B6-M-190-03","CR_Y","tone 02",2,7.733,0.82,77.33,33.72,0,492
"VF040124_FC2","2",Chamber 3,"B6-M-190-03","CR_Y","tone 03",1,1.233,0.13,12.33,109.40,0,679
"VF040124_FC2","2",Chamber 3,"B6-M-190-03","CR_Y","post-tone",27,96.333,10.25,53.52,40.59,0,2523

"VF040124_FC2","2",Chamber 4,"B6-M-190-04","CR_Y","pre-tone",56,114.033,12.13,30.82,23.42,0,361
"VF040124_FC2","2",Chamber 4,"B6-M-190-04","CR_Y","tone 01",1,8.900,0.95,89.00,5.56,0,208
"VF040124_FC2","2",Chamber 4,"B6-M-190-04","CR_Y","tone 02",2,3.233,0.34,32.33,67.98,0,495
"VF040124_FC2","2",Chamber 4,"B6-M-190-04","CR_Y","tone 03",1,1.933,0.21,19.33,410.81,0,4091
"VF040124_FC2","2",Chamber 4,"B6-M-190-04","CR_Y","post-tone",24,73.767,7.85,40.98,48.07,0,4299

"VF040124_FC2","3",Chamber 1,"B6-F-189-01","CR_N","pre-tone",33,55.967,5.95,15.13,60.38,0,1149
"VF040124_FC2","3",Chamber 1,"B6-F-189-01","CR_N","tone 01",0,0.000,0.00,0.00,259.95,0,3632
"VF040124_FC2","3",Chamber 1,"B6-F-189-01","CR_N","tone 02",0,0.000,0.00,0.00,222.39,0,3306
"VF040124_FC2","3",Chamber 1,"B6-F-189-01","CR_N","tone 03",1,2.733,0.29,27.33,286.95,0,2170
"VF040124_FC2","3",Chamber 1,"B6-F-189-01","CR_N","post-tone",25,80.900,8.61,44.94,43.89,0,2008

"VF040124_FC2","3",Chamber 2,"B6-F-189-02","CR_N","pre-tone",49,89.833,9.56,24.28,31.66,0,773
"VF040124_FC2","3",Chamber 2,"B6-F-189-02","CR_N","tone 01",1,2.333,0.25,23.33,375.51,0,6147
"VF040124_FC2","3",Chamber 2,"B6-F-189-02","CR_N","tone 02",1,4.733,0.50,47.33,292.22,0,3761
"VF040124_FC2","3",Chamber 2,"B6-F-189-02","CR_N","tone 03",2,5.233,0.56,52.33,303.63,0,4306
"VF040124_FC2","3",Chamber 2,"B6-F-189-02","CR_N","post-tone",10,165.033,17.56,91.69,22.82,0,5811

"VF040124_FC2","3",Chamber 3,"B6-F-189-03","CR_N","pre-tone",60,88.767,9.44,23.99,51.35,0,1142
"VF040124_FC2","3",Chamber 3,"B6-F-189-03","CR_N","tone 01",1,5.033,0.54,50.33,218.93,0,4405
"VF040124_FC2","3",Chamber 3,"B6-F-189-03","CR_N","tone 02",1,1.167,0.12,11.67,100.25,0,781
"VF040124_FC2","3",Chamber 3,"B6-F-189-03","CR_N","tone 03",1,2.033,0.22,20.33,357.49,0,5117
"VF040124_FC2","3",Chamber 3,"B6-F-189-03","CR_N","post-tone",26,57.200,6.09,31.78,97.33,0,3402

"VF040124_FC2","3",Chamber 4,"B6-F-189-04","CR_N","pre-tone",41,61.633,6.56,16.66,81.57,0,1199
"VF040124_FC2","3",Chamber 4,"B6-F-189-04","CR_N","tone 01",3,4.900,0.52,49.00,74.59,0,653
"VF040124_FC2","3",Chamber 4,"B6-F-189-04","CR_N","tone 02",3,4.600,0.49,46.00,106.69,0,848
"VF040124_FC2","3",Chamber 4,"B6-F-189-04","CR_N","tone 03",2,4.700,0.50,47.00,196.30,0,2925
"VF040124_FC2","3",Chamber 4,"B6-F-189-04","CR_N","post-tone",16,27.033,2.88,15.02,54.15,0,2138

