Date :,02/18/22 16:36:23,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,180,0,5400,,,,,,,,
tone 01, 0:03:40.000,25,6600,750,,,,,,,,
tone 02, 0:05:55.000,25,10650,750,,,,,,,,
tone 03, 0:08:10.000,25,14700,750,,,,,,,,
tone 04, 0:09:05.000,25,16350,750,,,,,,,,
tone 05, 0:09:50.000,25,17700,750,,,,,,,,
tone 06, 0:12:15.000,25,22050,750,,,,,,,,
post-tone, 0:12:40.000,180,22800,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,pre-tone,19,29.333,3.12,16.3,29.4,0,437
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 01,5,10.367,1.1,41.47,32.94,0,447
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 02,3,7.6,0.81,30.4,75.77,0,730
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 03,3,10.267,1.09,41.07,107.56,0,3000
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 04,1,1.267,0.13,5.07,80.11,0,1091
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 05,4,8,0.85,32,64.45,0,417
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,tone 06,2,8.033,0.85,32.13,114.38,0,1653
VF120721_FC2,1,Chamber 1,B6-F-44-01,06-050-25-MC,post-tone,36,118.233,12.58,65.69,24.14,0,4105
,,,,,,,,,,,,
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,pre-tone,3,5.8,0.62,3.22,154.7,0,1050
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 01,4,9.6,1.02,38.4,62.99,0,638
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 02,1,3.367,0.36,13.47,90,0,683
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 03,2,4.567,0.49,18.27,90.84,0,508
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 04,1,8.567,0.91,34.27,61.9,0,434
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 05,3,6.533,0.7,26.13,56.48,0,580
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,tone 06,2,24.9,2.65,99.6,0.23,0,47
VF120721_FC2,1,Chamber 2,B6-F-44-02,06-050-25-MC,post-tone,21,90.2,9.6,50.11,41.59,0,4111
,,,,,,,,,,,,
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,pre-tone,24,50.033,5.32,27.8,85.14,0,905
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 01,3,6.633,0.71,26.53,74.35,0,849
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 02,7,10.667,1.13,42.67,68.73,0,751
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 03,2,20.833,2.22,83.33,19.14,0,644
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 04,2,18.967,2.02,75.87,22.77,0,435
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 05,3,16.633,1.77,66.53,40.27,0,546
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,tone 06,3,21.1,2.24,84.4,4.27,0,154
VF120721_FC2,1,Chamber 3,B6-F-52-03,06-050-25-MC,post-tone,27,122.733,13.06,68.19,33.01,0,3781
,,,,,,,,,,,,
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,pre-tone,33,76.633,8.15,42.57,33.82,0,464
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 01,5,19.133,2.04,76.53,6.7,0,167
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 02,4,13.633,1.45,54.53,20.08,0,237
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 03,3,7.5,0.8,30,83.34,0,560
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 04,1,24.533,2.61,98.13,0.15,0,32
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 05,3,24,2.55,96,1.01,0,71
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,tone 06,1,23.567,2.51,94.27,0.29,0,60
VF120721_FC2,1,Chamber 4,B6-F-52-04,06-050-25-MC,post-tone,15,105.133,11.18,58.41,73.78,0,1195
