Date :,2004/04/22 15:50,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,pre-tone,11,16.2,3.75,13.5,123.9,0,1346
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,tone 01,8,21.633,5.01,86.53,5.08,0,161
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,tone 02,5,16.633,3.85,66.53,13.81,0,233
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,tone 03,8,18.433,4.27,73.73,10.55,0,246
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,tone 04,7,14.3,3.31,57.2,15.71,0,212
VF040422_SR,1,Chamber 1,B6-M-51-01,03-050-25-MC,post-tone,6,8.6,1.99,7.17,233.61,0,1735
,,,,,,,,,,,,
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,pre-tone,4,5.8,1.34,4.83,216.45,0,1957
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,tone 01,2,3.833,0.89,15.33,73.54,0,1292
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,tone 02,3,4.667,1.08,18.67,169.53,0,1398
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,tone 03,3,6.433,1.49,25.73,109.18,0,1297
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,tone 04,1,2.367,0.55,9.47,172.78,0,944
VF040422_SR,1,Chamber 2,B6-M-51-02,03-050-25-MC,post-tone,11,15.767,3.65,13.14,231.61,0,1452
,,,,,,,,,,,,
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,pre-tone,19,27.867,6.45,23.22,73.33,0,1334
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,tone 01,3,22.4,5.19,89.6,3.46,0,110
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,tone 02,9,19.433,4.5,77.73,32.75,0,707
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,tone 03,4,24.133,5.59,96.53,1.48,0,122
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,tone 04,3,24.5,5.67,98,1.29,0,217
VF040422_SR,1,Chamber 3,B6-M-51-03,03-050-25-MC,post-tone,18,41.867,9.69,34.89,94.35,0,1308
,,,,,,,,,,,,
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,pre-tone,8,12.967,3,10.81,43.77,0,931
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,tone 01,6,15.1,3.5,60.4,11.23,0,275
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,tone 02,6,22.8,5.28,91.2,1.88,0,111
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,tone 03,2,21.6,5,86.4,1.95,0,184
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,tone 04,4,24.267,5.62,97.07,1.04,0,119
VF040422_SR,2,Chamber 1,B6-F-58-01,03-050-25-MC,post-tone,11,108.633,25.15,90.53,1.52,0,177
