Date :,2003/12/22 13:26,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,pre-tone,15,51.267,7.32,42.72,43.86,0,720
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 01,1,24.533,3.5,98.13,0.41,0,113
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 02,1,22.533,3.22,90.13,2.57,0,128
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 03,3,23.533,3.36,94.13,1.46,0,104
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 04,7,21.7,3.1,86.8,2.41,0,62
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 05,7,14.8,2.11,59.2,12.71,0,207
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 06,5,21.7,3.1,86.8,4.22,0,302
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 07,4,17,2.43,68,44.68,0,835
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 08,2,3.333,0.48,13.33,94.29,0,668
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 09,5,17.367,2.48,69.47,32.76,0,433
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 10,4,18.433,2.63,73.73,7.65,0,123
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 11,2,24.4,3.49,97.6,0.84,0,57
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,tone 12,3,20.4,2.91,81.6,8.47,0,167
VF031022_E1,1,Chamber 1,B6-F-88-01,06-050-10-SC,post-tone,12,49.867,7.12,41.56,39.83,0,550
,,,,,,,,,,,,
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,pre-tone,9,16.8,2.4,14,247.22,0,1800
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 01,3,17.033,2.43,68.13,28.98,0,783
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 02,2,19.833,2.83,79.33,18.62,0,451
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 03,1,25,3.57,100,0.03,0,4
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 04,2,24.067,3.44,96.27,3.75,0,222
VF031022_E1,1,Chamber 2,B6-F-88-02,06-050-10-SC,tone 05,3,23.833,3.4,95.33,1.35,0,170
