Date :,04/19/22 14:41:42,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,pre-tone,7,8.067,1.87,6.72,135.16,0,1287
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 01,8,12.467,2.89,49.87,91.19,0,1152
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 02,4,5.533,1.28,22.13,77.17,0,705
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 03,3,5.2,1.2,20.8,153.59,0,1301
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,tone 04,3,4.067,0.94,16.27,128.06,0,1039
VF041922_ER,1,Chamber 1,B6-M-75-L1,06-050-10-SC,post-tone,21,36.1,8.36,30.08,144.45,0,1590
,,,,,,,,,,,,
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,pre-tone,21,27.633,6.4,23.03,43.65,0,670
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 01,4,13.533,3.13,54.13,37.87,0,459
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 02,1,2.067,0.48,8.27,74.26,0,611
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 03,3,3.933,0.91,15.73,291.55,0,1753
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,tone 04,5,7.233,1.67,28.93,147.09,0,1045
VF041922_ER,1,Chamber 2,B6-M-75-L2,06-050-10-SC,post-tone,6,8.567,1.98,7.14,204.43,0,1562
,,,,,,,,,,,,
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,pre-tone,9,10.467,2.42,8.72,97.39,0,954
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 01,4,5.067,1.17,20.27,81.05,0,810
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 02,7,15.067,3.49,60.27,14.45,0,251
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 03,3,7.9,1.83,31.6,109.6,0,1000
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,tone 04,6,7.933,1.84,31.73,94.01,0,1170
VF041922_ER,1,Chamber 3,B6-M-75-R1,06-050-10-SC,post-tone,6,6.733,1.56,5.61,175.89,0,1260
,,,,,,,,,,,,
VF041922_ER,1,Chamber 4,B6-M-75-R2,06-050-10-SC,pre-tone,13,16.533,3.83,13.78,63.23,0,553
VF041922_ER,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 01,7,12.667,2.93,50.67,17.06,0,263
VF041922_ER,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 02,2,4.9,1.13,19.6,55.53,0,433
VF041922_ER,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 03,3,5.533,1.28,22.13,26.59,0,246
VF041922_ER,1,Chamber 4,B6-M-75-R2,06-050-10-SC,tone 04,5,6.967,1.61,27.87,55.68,0,559
