Date :,2005/11/22 10:59,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,290,0,8700,,,,,,,,
tone 01, 0:04:50.000,25,8700,750,,,,,,,,
tone 02, 0:08:10.000,25,14700,750,,,,,,,,
tone 03, 0:12:05.000,25,21750,750,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF051022_FC1,4,Chamber 1,B6-F-67-L1,03-100-25-SC,pre-tone,0,0,0,0,196.27,0,1107
VF051022_FC1,4,Chamber 1,B6-F-67-L1,03-100-25-SC,tone 01,0,0,0,0,225.35,0,1020
VF051022_FC1,4,Chamber 1,B6-F-67-L1,03-100-25-SC,tone 02,2,2.033,0.22,8.13,85.24,0,595
VF051022_FC1,4,Chamber 1,B6-F-67-L1,03-100-25-SC,tone 03,3,17.267,1.86,69.07,37.73,0,957
VF051022_FC1,4,Chamber 1,B6-F-67-L1,03-100-25-SC,post-tone,36,84.2,9.05,46.78,38.56,0,3192
,,,,,,,,,,,,
VF051022_FC1,4,Chamber 2,B6-F-67-L2,03-100-25-SC,pre-tone,0,0,0,0,261.03,0,1445
VF051022_FC1,4,Chamber 2,B6-F-67-L2,03-100-25-SC,tone 01,0,0,0,0,225.52,0,1277
VF051022_FC1,4,Chamber 2,B6-F-67-L2,03-100-25-SC,tone 02,1,1.1,0.12,4.4,157.45,0,776
VF051022_FC1,4,Chamber 2,B6-F-67-L2,03-100-25-SC,tone 03,3,16.333,1.76,65.33,40.01,0,653
VF051022_FC1,4,Chamber 2,B6-F-67-L2,03-100-25-SC,post-tone,28,99.3,10.68,55.17,48.54,0,2348
,,,,,,,,,,,,
VF051022_FC1,4,Chamber 3,B6-F-67-R1,03-100-25-SC,pre-tone,0,0,0,0,200.59,0,1385
VF051022_FC1,4,Chamber 3,B6-F-67-R1,03-100-25-SC,tone 01,0,0,0,0,211.65,0,1180
VF051022_FC1,4,Chamber 3,B6-F-67-R1,03-100-25-SC,tone 02,1,1.4,0.15,5.6,95.86,0,827
VF051022_FC1,4,Chamber 3,B6-F-67-R1,03-100-25-SC,tone 03,4,7.333,0.79,29.33,80.79,0,789
VF051022_FC1,4,Chamber 3,B6-F-67-R1,03-100-25-SC,post-tone,26,64.567,6.94,35.87,39.55,0,4938
,,,,,,,,,,,,
VF051022_FC1,4,Chamber 4,B6-F-67-R2,03-100-25-SC,pre-tone,0,0,0,0,239.24,0,1311
VF051022_FC1,4,Chamber 4,B6-F-67-R2,03-100-25-SC,tone 01,0,0,0,0,269.19,0,1594
VF051022_FC1,4,Chamber 4,B6-F-67-R2,03-100-25-SC,tone 02,3,3.867,0.42,15.47,47.6,0,398
VF051022_FC1,4,Chamber 4,B6-F-67-R2,03-100-25-SC,tone 03,5,20.2,2.17,80.8,7.76,0,219
VF051022_FC1,4,Chamber 4,B6-F-67-R2,03-100-25-SC,post-tone,27,84.067,9.04,46.7,33.47,0,2910
