Date :,05/20/22 15:03:45,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,pre-tone,2,2.333,0.33,1.94,175.52,0,1353
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 01,4,13.167,1.88,52.67,59.34,0,848
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 02,4,14.6,2.09,58.4,46.82,0,525
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 03,6,14.167,2.02,56.67,39.57,0,494
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 04,6,13.533,1.93,54.13,27.77,0,482
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 05,5,9.633,1.38,38.53,57.92,0,672
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 06,5,9.167,1.31,36.67,43.1,0,432
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 07,1,1.333,0.19,5.33,179.05,0,826
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 08,2,2.833,0.4,11.33,156.65,0,796
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 09,3,3.933,0.56,15.73,240.81,0,1588
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 10,2,2.2,0.31,8.8,234.2,0,1162
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 11,2,2.933,0.42,11.73,237.15,0,1632
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,tone 12,1,1.133,0.16,4.53,213.23,0,1267
VF052022_E3,1,Chamber 1,B6-F-68-L1,12-050-10-SC,post-tone,8,12.367,1.77,10.31,154.97,0,1191
,,,,,,,,,,,,
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,pre-tone,8,15.3,2.19,12.75,180.26,0,1821
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 01,2,8.633,1.23,34.53,104.09,0,865
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 02,3,7.467,1.07,29.87,103.92,0,774
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 03,8,16.633,2.38,66.53,15.57,0,241
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 04,5,11.333,1.62,45.33,67.88,0,716
VF052022_E3,1,Chamber 2,B6-F-68-L2,12-050-10-SC,tone 05,1,1.633,0.23,6.53,196.93,0,856
