Date :,11/22/07 14:18,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,pre-tone,10,17.167,3.97,14.31,116.35,0,1211
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 01,5,6.4,1.48,25.6,65.83,0,619
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 02,8,13.767,3.19,55.07,33.21,0,476
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 03,3,3.567,0.83,14.27,64.03,0,753
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,tone 04,2,4.533,1.05,18.13,108.33,0,688
VF071122_ER,1,Chamber 1,B6-F-72-L1,12-050-10-SC,post-tone,9,13.733,3.18,11.44,126.38,0,1054
,,,,,,,,,,,,
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,pre-tone,20,44.067,10.2,36.72,70.54,0,1080
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 01,8,21.333,4.94,85.33,10.15,0,272
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 02,4,21.067,4.88,84.27,5.63,0,155
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 03,3,10.967,2.54,43.87,61.29,0,493
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,tone 04,2,5,1.16,20,69.39,0,684
VF071122_ER,1,Chamber 2,B6-F-72-L2,12-050-10-SC,post-tone,16,36.233,8.39,30.19,76.89,0,1218
,,,,,,,,,,,,
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,pre-tone,19,39.533,9.15,32.94,36.81,0,626
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,tone 01,3,16.667,3.86,66.67,15.23,0,274
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,tone 02,4,21.5,4.98,86,4.6,0,118
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,tone 03,2,22.7,5.25,90.8,3.08,0,113
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,tone 04,3,15.267,3.53,61.07,5.77,0,159
VF071122_ER,1,Chamber 3,B6-F-72-R1,12-050-10-SC,post-tone,11,22.033,5.1,18.36,60.97,0,938
,,,,,,,,,,,,
VF071122_ER,1,Chamber 4,B6-F-72-R2,12-050-10-SC,pre-tone,15,21.467,4.97,17.89,134.03,0,1780
VF071122_ER,1,Chamber 4,B6-F-72-R2,12-050-10-SC,tone 01,7,16.667,3.86,66.67,24.53,0,421
VF071122_ER,1,Chamber 4,B6-F-72-R2,12-050-10-SC,tone 02,6,12.567,2.91,50.27,66.51,0,1828
VF071122_ER,1,Chamber 4,B6-F-72-R2,12-050-10-SC,tone 03,3,10.233,2.37,40.93,87.11,0,768
VF071122_ER,1,Chamber 4,B6-F-72-R2,12-050-10-SC,tone 04,1,2.1,0.49,8.4,146.25,0,1564
