Date :,11/1/22 17:42,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,pre-tone,9,21.2,3.03,17.67,88.26,0,563
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 01,6,12.367,1.77,49.47,22.93,0,378
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 02,3,6.467,0.92,25.87,48.74,0,311
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 03,4,11.7,1.67,46.8,63.5,0,515
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 04,4,8.667,1.24,34.67,23.96,0,187
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 05,4,7.067,1.01,28.27,52.84,0,355
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 06,4,9.867,1.41,39.47,52.82,0,398
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 07,3,4.333,0.62,17.33,43.75,0,408
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 08,3,3.8,0.54,15.2,66.32,0,406
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 09,3,6.033,0.86,24.13,76.37,0,777
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 10,3,5.2,0.74,20.8,73.29,0,844
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 11,4,5.367,0.77,21.47,104.71,0,1100
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 12,4,8.2,1.17,32.8,53.64,0,376
VF102722_E1,1,Chamber 1,B6-M-106-L1,30-10-25-SC,post-tone,13,33.3,4.76,27.75,45.57,0,709
,,,,,,,,,,,,
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,pre-tone,17,45.4,6.49,37.83,90.98,0,1511
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 01,5,18.233,2.6,72.93,14.96,0,464
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 02,3,6.933,0.99,27.73,86.31,0,486
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 03,5,18.5,2.64,74,9.41,0,309
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 04,6,20.567,2.94,82.27,5.61,0,141
VF102722_E1,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 05,4,17.767,2.54,71.07,24.17,0,617
