Date :,12/19/22 13:21,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,pre-tone,23,35.5,8.22,29.58,60.66,0,1163
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 01,6,12.467,2.89,49.87,51.99,0,452
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 02,7,11.133,2.58,44.53,29.77,0,410
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 03,5,7.833,1.81,31.33,67.69,0,574
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,tone 04,8,15.4,3.56,61.6,7.75,0,135
VF112822_SR,1,Chamber 1,B6-M-106-L1,30-10-25-SC,post-tone,16,26.133,6.05,21.78,94.4,0,1010
,,,,,,,,,,,,
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,pre-tone,52,83.3,19.28,69.42,16.75,0,506
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 01,7,23.533,5.45,94.13,1.24,0,54
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 02,6,9.533,2.21,38.13,74.24,0,823
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 03,5,18.3,4.24,73.2,5.52,0,83
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,tone 04,0,0,0,0,203.53,0,1199
VF112822_SR,1,Chamber 2,B6-M-106-L2,30-10-25-SC,post-tone,3,3.533,0.82,2.94,179.83,0,1133
,,,,,,,,,,,,
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,pre-tone,23,32.3,7.48,26.92,42.63,0,682
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 01,5,5.333,1.23,21.33,78.06,0,1161
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 02,2,2.733,0.63,10.93,83.33,0,1055
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 03,6,7.833,1.81,31.33,34.79,0,448
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,tone 04,1,1.233,0.29,4.93,129.43,0,895
VF112822_SR,1,Chamber 3,B6-M-106-R1,30-10-25-SC,post-tone,11,15.967,3.7,13.31,89.68,0,982
,,,,,,,,,,,,
VF112822_SR,1,Chamber 4,B6-M-106-R2,30-10-25-SC,pre-tone,32,49.2,11.39,41,26.22,0,554
VF112822_SR,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 01,9,17.2,3.98,68.8,6.33,0,181
VF112822_SR,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 02,3,5.367,1.24,21.47,17.14,0,165
VF112822_SR,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 03,4,4.767,1.1,19.07,35.43,0,684
VF112822_SR,1,Chamber 4,B6-M-106-R2,30-10-25-SC,tone 04,4,5.867,1.36,23.47,58.81,0,719
