Date :,12/19/22 13:32,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,180,0,5400,,,,,,,,
tone 01, 0:04:50.000,25,8700,750,,,,,,,,
tone 02, 0:06:05.000,25,10950,750,,,,,,,,
tone 03, 0:08:10.000,25,14700,750,,,,,,,,
tone 04, 0:10:05.000,25,18150,750,,,,,,,,
tone 05, 0:11:20.000,25,20400,750,,,,,,,,
tone 06, 0:12:05.000,25,21750,750,,,,,,,,
post-tone, 0:12:30.000,180,22500,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,pre-tone,7,10.567,0.85,5.87,84.18,0,587
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 01,2,2.933,0.24,11.73,59.83,0,522
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 02,2,4.633,0.37,18.53,48.49,0,274
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 03,5,10.8,0.87,43.2,22.93,0,399
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 04,3,14.067,1.13,56.27,21.06,0,228
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 05,3,6.933,0.56,27.73,23.08,0,299
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 06,2,22.8,1.83,91.2,1.98,0,170
VF110522_FC1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,post-tone,11,39.167,3.15,21.76,48.73,0,2306
,,,,,,,,,,,,
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,pre-tone,6,10.4,0.84,5.78,58.89,0,605
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 01,5,6.267,0.5,25.07,17.44,0,150
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 02,1,1.7,0.14,6.8,84.56,0,452
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 03,4,6.967,0.56,27.87,41.31,0,297
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 04,7,11.733,0.94,46.93,13.02,0,229
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 05,1,1.3,0.1,5.2,48.96,0,467
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 06,5,7.333,0.59,29.33,19.99,0,225
VF110522_FC1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,post-tone,26,78.4,6.3,43.56,29.08,0,2328
,,,,,,,,,,,,
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,pre-tone,6,9.533,0.77,5.3,57.58,0,640
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 01,3,4.433,0.36,17.73,20.32,0,126
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 02,1,2.333,0.19,9.33,31.48,0,245
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 03,3,6.5,0.52,26,23.34,0,234
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 04,6,10.133,0.81,40.53,20.2,0,235
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 05,0,0,0,0,47.26,0,548
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,tone 06,8,11.533,0.93,46.13,13.66,0,217
VF110522_FC1,1,Chamber 3,B6-F-110-R1,06-50-25-SC,post-tone,41,88.3,7.1,49.06,17.25,0,2196
,,,,,,,,,,,,
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,pre-tone,1,1.067,0.09,0.59,91.34,0,610
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 01,3,3.933,0.32,15.73,49.43,0,473
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 02,1,5,0.4,20,31.4,0,245
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 03,2,3.1,0.25,12.4,24.38,0,248
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 04,4,7.933,0.64,31.73,11.24,0,74
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 05,3,10.067,0.81,40.27,14.07,0,148
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,tone 06,5,10.6,0.85,42.4,13.85,0,116
VF110522_FC1,1,Chamber 4,B6-F-110-R2,06-50-25-SC,post-tone,44,136.467,10.97,75.81,9.53,0,1999
,,,,,,,,,,,,
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,pre-tone,1,1.2,0.1,0.67,87.89,0,536
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 01,0,0,0,0,66.74,0,326
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 02,0,0,0,0,54.03,0,363
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 03,5,10.067,0.81,40.27,37,0,261
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 04,1,1.1,0.09,4.4,43.82,0,334
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 05,0,0,0,0,54.49,0,284
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,tone 06,5,14.4,1.16,57.6,22.82,0,262
VF110522_FC1,2,Chamber 1,B6-M-111-L1,06-50-25-SC,post-tone,19,39.033,3.14,21.69,35.35,0,3389
,,,,,,,,,,,,
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,pre-tone,0,0,0,0,103.13,0,668
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 01,0,0,0,0,72.12,0,290
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 02,1,1.367,0.11,5.47,57.65,0,355
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 03,2,2.3,0.18,9.2,25.89,0,206
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 04,0,0,0,0,30.93,0,170
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 05,2,3.933,0.32,15.73,29.28,0,200
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,tone 06,4,11.767,0.95,47.07,8.25,0,139
VF110522_FC1,2,Chamber 2,B6-M-111-L2,06-50-25-SC,post-tone,17,25.267,2.03,14.04,38.19,0,2560
,,,,,,,,,,,,
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,pre-tone,3,4.733,0.38,2.63,77.9,0,641
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 01,1,1.1,0.09,4.4,54.55,0,568
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 02,1,1.2,0.1,4.8,34.54,0,179
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 03,3,4.033,0.32,16.13,36.28,0,330
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 04,1,2.133,0.17,8.53,47.29,0,321
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 05,1,1.3,0.1,5.2,49.02,0,314
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,tone 06,5,11.433,0.92,45.73,11.39,0,243
VF110522_FC1,2,Chamber 3,B6-M-111-R1,06-50-25-SC,post-tone,23,44.233,3.56,24.57,27.53,0,2109
,,,,,,,,,,,,
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,pre-tone,2,3.567,0.29,1.98,73.43,0,499
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 01,1,1.567,0.13,6.27,39.87,0,336
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 02,5,10.2,0.82,40.8,11.56,0,119
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 03,6,8.633,0.69,34.53,26.67,0,293
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 04,4,7.267,0.58,29.07,16.55,0,372
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 05,5,9.4,0.76,37.6,18.7,0,297
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,tone 06,4,15.333,1.23,61.33,19.41,0,686
VF110522_FC1,2,Chamber 4,B6-M-111-R2,06-50-25-SC,post-tone,25,84.833,6.82,47.13,23.17,0,2272
