Date :,4/2/24 16:25,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,235,0,7050,,,,,,,,
tone 01, 0:03:55.000,10,7050,300,,,,,,,,
tone 02, 0:06:10.000,10,11100,300,,,,,,,,
tone 03, 0:08:25.000,10,15150,300,,,,,,,,
tone 04, 0:09:20.000,10,16800,300,,,,,,,,
tone 05, 0:10:05.000,10,18150,300,,,,,,,,
tone 06, 0:12:30.000,10,22500,300,,,,,,,,
post-tone, 0:12:40.000,180,22800,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,pre-tone,27,37.167,3.95,15.82,36.35,0,709
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 01,1,9.533,1.01,95.33,1.01,0,93
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 02,2,7.533,0.8,75.33,11.98,0,213
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 03,1,10,1.06,100,0.02,0,3
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 04,2,9.167,0.98,91.67,2.56,0,82
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 05,2,8.433,0.9,84.33,6.65,0,155
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,tone 06,1,9.6,1.02,96,0.9,0,114
VF040124_FC2,1,Chamber 1,B6-F-178-01,PR_Y,post-tone,28,114.7,12.2,63.72,26.39,0,3835
,,,,,,,,,,,,
VF040124_FC2,1,Chamber 2,B6-F-178-02,PR_Y,pre-tone,27,35.833,3.81,15.25,60.41,0,1337
VF040124_FC2,1,Chamber 2,B6-F-178-02,PR_Y,tone 01,2,9.4,1,94,0.95,0,63
VF040124_FC2,1,Chamber 2,B6-F-178-02,PR_Y,tone 02,1,5.833,0.62,58.33,74.57,0,589
VF040124_FC2,1,Chamber 2,B6-F-178-02,PR_Y,tone 03,1,7.4,0.79,74,11.95,0,243
