"Date :",04/02/24 13:22:03
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",305,0,9150
"tone 01"," 0:05:05.000",10,9150,300
"tone 02"," 0:06:20.000",10,11400,300
"tone 03"," 0:08:25.000",10,15150,300
"tone 04"," 0:10:20.000",10,18600,300
"tone 05"," 0:11:35.000",10,20850,300
"tone 06"," 0:12:20.000",10,22200,300
"post-tone"," 0:12:30.000",180,22500,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","pre-tone",53,118.733,12.63,38.93,28.88,0,448
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 01",1,2.733,0.29,27.33,26.15,0,265
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 02",0,0.000,0.00,0.00,172.31,0,1766
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 03",2,4.567,0.49,45.67,31.43,0,285
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 04",2,3.400,0.36,34.00,16.43,0,162
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 05",3,9.800,1.04,98.00,1.13,0,45
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","tone 06",1,3.867,0.41,38.67,13.35,0,124
"VF040124_FC2","1",Chamber 1,"B6-F-188-01","PR_N","post-tone",20,157.533,16.76,87.52,6.71,0,1395

"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","pre-tone",43,128.733,13.70,42.21,31.65,0,480
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 01",1,6.467,0.69,64.67,2.14,0,67
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 02",0,0.000,0.00,0.00,241.07,0,4518
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 03",3,6.433,0.68,64.33,39.51,0,465
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 04",2,3.500,0.37,35.00,19.01,0,214
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 05",2,6.667,0.71,66.67,5.40,0,87
"VF040124_FC2","1",Chamber 2,"B6-F-188-02","PR_N","tone 06",0,0.000,0.00,0.00,59.01,0,276
